substation_id,timestamp,target_load_mw
SUB-004,2022-12-01,571.5
SUB-004,2023-01-01,590.1
SUB-004,2023-02-01,572.1
SUB-004,2023-03-01,551.8
SUB-004,2023-04-01,566.7
SUB-004,2023-05-01,565.3
SUB-004,2023-06-01,735.4
SUB-004,2023-07-01,811.3
SUB-004,2023-08-01,789.7
SUB-004,2023-09-01,717.8
SUB-004,2023-10-01,565.0
SUB-004,2023-11-01,554.7
SUB-004,2023-12-01,583.9
SUB-004,2024-01-01,579.3
SUB-004,2024-02-01,584.4
SUB-004,2024-03-01,578.6
SUB-004,2024-04-01,562.5
SUB-004,2024-05-01,587.6
SUB-004,2024-06-01,775.0
SUB-005,2022-01-01,360.5
SUB-005,2022-02-01,388.5
SUB-005,2022-03-01,351.0
SUB-005,2022-04-01,355.9
SUB-005,2022-05-01,359.1
SUB-005,2022-06-01,514.8
SUB-005,2022-07-01,479.6
SUB-005,2022-08-01,521.2
SUB-005,2022-09-01,456.5
SUB-005,2022-10-01,370.1
SUB-005,2022-11-01,348.0
SUB-005,2022-12-01,392.0
SUB-005,2023-01-01,401.1
SUB-005,2023-02-01,377.9
SUB-005,2023-03-01,400.0
SUB-005,2023-04-01,384.7
SUB-005,2023-05-01,388.0
SUB-005,2023-06-01,515.8
SUB-005,2023-07-01,547.6
SUB-005,2023-08-01,534.7
SUB-005,2023-09-01,481.2
SUB-005,2023-10-01,373.4
SUB-005,2023-11-01,365.0
SUB-005,2023-12-01,404.8
SUB-005,2024-01-01,387.8
SUB-005,2024-02-01,377.6
SUB-005,2024-03-01,407.2
SUB-005,2024-04-01,372.8
SUB-005,2024-05-01,403.2
SUB-005,2024-06-01,551.5
SUB-006,2022-01-01,291.5
SUB-006,2022-02-01,289.6
SUB-006,2022-03-01,284.7
SUB-006,2022-04-01,266.7
SUB-006,2022-05-01,288.2
SUB-006,2022-06-01,367.5
SUB-006,2022-07-01,362.5
SUB-006,2022-08-01,379.5
SUB-006,2022-09-01,334.0
SUB-006,2022-10-01,270.4
SUB-006,2022-11-01,263.8
SUB-006,2022-12-01,279.8
SUB-006,2023-01-01,307.5
SUB-006,2023-02-01,310.7
SUB-006,2023-03-01,272.8
SUB-006,2023-04-01,275.8
SUB-006,2023-05-01,279.4
SUB-006,2023-06-01,377.7
SUB-006,2023-07-01,382.4
SUB-006,2023-08-01,376.1
SUB-006,2023-09-01,340.7
SUB-006,2023-10-01,287.8
SUB-006,2023-11-01,279.0
SUB-006,2023-12-01,292.1
SUB-006,2024-01-01,290.2
SUB-006,2024-02-01,311.0
SUB-006,2024-03-01,294.2
SUB-006,2024-04-01,299.7
SUB-006,2024-05-01,273.8
SUB-006,2024-06-01,403.3
SUB-007,2022-01-01,483.0
SUB-007,2022-02-01,491.7
SUB-007,2022-03-01,460.1
SUB-007,2022-04-01,469.9
SUB-007,2022-05-01,469.6
SUB-007,2022-06-01,674.2
SUB-007,2022-07-01,622.0
SUB-007,2022-08-01,639.1
SUB-007,2022-09-01,583.0
SUB-007,2022-10-01,492.5
SUB-007,2022-11-01,497.2
SUB-007,2022-12-01,464.9
SUB-007,2023-01-01,510.0
SUB-007,2023-02-01,494.9
SUB-007,2023-03-01,488.1
SUB-007,2023-04-01,466.9
SUB-007,2023-05-01,461.0
SUB-007,2023-06-01,681.3
SUB-007,2023-07-01,644.5
SUB-007,2023-08-01,688.4
SUB-007,2023-09-01,628.4
SUB-007,2023-10-01,498.5
SUB-007,2023-11-01,472.2
SUB-007,2023-12-01,504.6
SUB-007,2024-01-01,521.8
SUB-007,2024-02-01,531.6
SUB-007,2024-03-01,499.8
SUB-007,2024-04-01,519.5
SUB-007,2024-05-01,473.8
SUB-007,2024-06-01,654.4
SUB-008,2022-01-01,377.0
SUB-008,2022-02-01,368.9
SUB-008,2022-03-01,351.2
SUB-008,2022-04-01,345.8
SUB-008,2022-05-01,338.4
SUB-008,2022-06-01,502.1
SUB-008,2022-07-01,525.5
SUB-008,2022-08-01,517.4
SUB-008,2022-09-01,463.3
SUB-008,2022-10-01,374.0
SUB-008,2022-11-01,383.0
SUB-008,2022-12-01,357.4
SUB-008,2023-01-01,368.0
SUB-008,2023-02-01,383.7
SUB-008,2023-03-01,363.2
SUB-008,2023-04-01,374.5
SUB-008,2023-05-01,389.6
SUB-008,2023-06-01,537.8
SUB-008,2023-07-01,497.9
SUB-008,2023-08-01,525.3
SUB-008,2023-09-01,461.3
SUB-008,2023-10-01,358.1
SUB-008,2023-11-01,376.0
SUB-008,2023-12-01,380.6
SUB-008,2024-01-01,382.2
SUB-008,2024-02-01,384.8
SUB-008,2024-03-01,363.8
SUB-008,2024-04-01,391.3
SUB-008,2024-05-01,361.9
SUB-008,2024-06-01,505.2
SUB-009,2022-01-01,249.7
SUB-009,2022-02-01,246.3
SUB-009,2022-03-01,240.4
SUB-009,2022-04-01,256.1
SUB-009,2022-05-01,260.2
SUB-009,2022-06-01,332.2
SUB-009,2022-07-01,333.6
SUB-009,2022-08-01,343.9
SUB-009,2022-09-01,315.1
SUB-009,2022-10-01,249.4
SUB-009,2022-11-01,241.0
SUB-009,2022-12-01,272.3
SUB-009,2023-01-01,282.2
SUB-009,2023-02-01,256.9
SUB-009,2023-03-01,255.3
SUB-009,2023-04-01,247.4
SUB-009,2023-05-01,270.8
SUB-009,2023-06-01,329.5
SUB-009,2023-07-01,346.5
SUB-009,2023-08-01,323.8
SUB-009,2023-09-01,309.7
SUB-009,2023-10-01,254.6
SUB-009,2023-11-01,248.8
SUB-009,2023-12-01,250.1
SUB-009,2024-01-01,254.1
SUB-009,2024-02-01,283.8
SUB-009,2024-03-01,251.8
SUB-009,2024-04-01,260.7
SUB-009,2024-05-01,258.3
SUB-009,2024-06-01,352.8
SUB-010,2022-01-01,318.3
SUB-010,2022-02-01,310.9
SUB-010,2022-03-01,299.4
SUB-010,2022-04-01,312.2
SUB-010,2022-05-01,327.1
SUB-010,2022-06-01,405.0
SUB-010,2022-07-01,419.2
SUB-010,2022-08-01,437.9
SUB-010,2022-09-01,380.8
SUB-010,2022-10-01,307.8
SUB-010,2022-11-01,303.7
SUB-010,2022-12-01,308.9
SUB-010,2023-01-01,342.1
SUB-010,2023-02-01,329.1
SUB-010,2023-03-01,315.0
SUB-010,2023-04-01,297.1
SUB-010,2023-05-01,313.1
SUB-010,2023-06-01,435.5
SUB-010,2023-07-01,458.4
SUB-010,2023-08-01,432.9
SUB-010,2023-09-01,389.7
SUB-010,2023-10-01,305.2
SUB-010,2023-11-01,317.2
SUB-010,2023-12-01,348.6
SUB-010,2024-01-01,323.3
SUB-010,2024-02-01,333.9
SUB-010,2024-03-01,317.9
SUB-010,2024-04-01,332.9
SUB-010,2024-05-01,320.6
SUB-010,2024-06-01,431.4
SUB-011,2022-01-01,456.2
SUB-011,2022-02-01,449.4
SUB-011,2022-03-01,452.9
SUB-011,2022-04-01,414.6
SUB-011,2022-05-01,446.5
SUB-011,2022-06-01,580.8
SUB-011,2022-07-01,565.1
SUB-011,2022-08-01,574.4
SUB-011,2022-09-01,521.2
SUB-011,2022-10-01,410.0
SUB-011,2022-11-01,404.7
SUB-011,2022-12-01,445.9
SUB-011,2023-01-01,475.2
SUB-011,2023-02-01,453.4
SUB-011,2023-03-01,424.1
SUB-011,2023-04-01,434.2
SUB-011,2023-05-01,463.3
SUB-011,2023-06-01,584.3
SUB-011,2023-07-01,635.1
SUB-011,2023-08-01,564.4
SUB-011,2023-09-01,533.8
SUB-011,2023-10-01,448.1
SUB-011,2023-11-01,451.0
SUB-011,2023-12-01,426.7
SUB-011,2024-01-01,501.1
SUB-011,2024-02-01,454.0
SUB-011,2024-03-01,464.2
SUB-011,2024-04-01,438.5
SUB-011,2024-05-01,449.5
SUB-011,2024-06-01,599.6
SUB-012,2022-01-01,292.7
SUB-012,2022-02-01,294.6
SUB-012,2022-03-01,293.2
SUB-012,2022-04-01,274.7
SUB-012,2022-05-01,269.4
SUB-012,2022-06-01,369.1
SUB-012,2022-07-01,377.0
SUB-012,2022-08-01,394.3
SUB-012,2022-09-01,353.8
SUB-012,2022-10-01,292.2
SUB-012,2022-11-01,288.0
SUB-012,2022-12-01,312.9
SUB-012,2023-01-01,301.3
SUB-012,2023-02-01,298.6
SUB-012,2023-03-01,299.8
SUB-012,2023-04-01,291.8
SUB-012,2023-05-01,273.3
SUB-012,2023-06-01,382.8
SUB-012,2023-07-01,382.5
SUB-012,2023-08-01,380.3
SUB-012,2023-09-01,366.1
SUB-012,2023-10-01,288.0
SUB-012,2023-11-01,295.0
SUB-012,2023-12-01,305.5
SUB-012,2024-01-01,318.0
SUB-012,2024-02-01,305.2
SUB-012,2024-03-01,315.4
SUB-012,2024-04-01,309.7
SUB-012,2024-05-01,300.6
SUB-012,2024-06-01,409.2
