A_ARTICLE_ID,PRODUCT_CODE,PROD_NAME,PRODUCT_TYPE_NO,PRODUCT_TYPE_NAME,PRODUCT_GROUP_NAME,GRAPHICAL_APPEARANCE_NO,GRAPHICAL_APPEARANCE_NAME,COLOUR_GROUP_CODE,COLOUR_GROUP_NAME,PERCEIVED_COLOUR_VALUE_ID,PERCEIVED_COLOUR_VALUE_NAME,PERCEIVED_COLOUR_MASTER_ID,PERCEIVED_COLOUR_MASTER_NAME,DEPARTMENT_NO,DEPARTMENT_NAME,INDEX_CODE,INDEX_NAME,INDEX_GROUP_NO,INDEX_GROUP_NAME,SECTION_NO,SECTION_NAME,GARMENT_GROUP_NO,GARMENT_GROUP_NAME,DETAIL_DESC
13909,560375,Michelle,252,Sweater,Garment Upper body,1010010,Melange,92,Green,7,Medium,19,Green,1626,Knitwear,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1003,Knitwear,Jumper in a chunky-knit alpaca blend with low dropped shoulders. Slightly longer at the back.
33066,637312,ROBIN,262,Jacket,Garment Upper body,1010016,Solid,7,Grey,1,Dusty Light,12,Grey,7812,Kids Girl Outdoor,H,Children Sizes 92-140,4,Baby/Children,45,Kids Outerwear,1007,Outdoor,"Jacket in soft pile with a stand-up collar, zip down the front and kangaroo pockets. Unlined."
44272,679633,Tobias,255,T-shirt,Garment Upper body,1010008,Front print,10,White,3,Light,9,White,6545,Baby Boy Jersey Fancy,G,Baby Sizes 50-98,4,Baby/Children,41,Baby Boy,1005,Jersey Fancy,Long-sleeved top in soft cotton jersey with a press-stud on one shoulder.
25658,613858,Cool Wonder earring(1),70,Earring,Accessories,1010016,Solid,9,Black,4,Dark,5,Black,4345,Jewellery Extended,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,Large metal plate earrings. Length 7 cm.
68913,755745,SPEED Michelle plisse,265,Dress,Garment Full body,1010026,Other structure,93,Dark Green,4,Dark,19,Green,1666,Jersey,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1005,Jersey Fancy,"Short dress in pleated jersey with a sheen. Deep V-neck, wrapover top and long sleeves with narrow elastication at the cuffs. Narrow, elasticated seam and a detachable tie belt at the waist, and a raw-edge hem."
35796,648414,Yate hood,308,Hoodie,Garment Upper body,1010008,Front print,7,Grey,1,Dusty Light,12,Grey,5848,Jersey Fancy,F,Menswear,3,Menswear,21,Contemporary Casual,1005,Jersey Fancy,"Top in sturdy, printed sweatshirt fabric with a lined drawstring hood, kangaroo pocket and ribbing at the cuffs and hem. Soft brushed inside."
89226,836997,RONNY FANCY,255,T-shirt,Garment Upper body,1010010,Melange,7,Grey,2,Medium Dusty,12,Grey,5832,Light Basic Jersey,F,Menswear,3,Menswear,26,Men Underwear,1002,Jersey Basic,"T-shirt in soft jersey made from a cotton blend with a round, ribbed neckline."
87320,827280,KAHLO CHECKED SHIRT,259,Shirt,Garment Upper body,1010004,Check,9,Black,4,Dark,5,Black,5777,Shirt,F,Menswear,3,Menswear,20,Contemporary Smart,1011,Shirts,"Shirt in a checked, lightly brushed cotton weave with a turn-down collar, French front and yoke at the back. Long sleeves with adjustable buttoning at the cuffs, and a rounded hem. Regular Fit – a classic fit with good room for movement and a gently tapered waist to create a comfortable, tailored silhouette."
75621,782374,POLO jsy dress,265,Dress,Garment Full body,1010001,All over pattern,12,Light Beige,1,Dusty Light,9,White,6557,Baby Exclusive,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1006,Woven/Jersey/Knitted mix Baby,"Baby Exclusive. Long-sleeved dress in patterned, stretch organic cotton jersey with a stand-up collar, press-studs at the back of the neck, a gathered seam at the waist and flared skirt."
91531,849886,Acai seamless bra CONSCIOUS,306,Bra,Underwear,1010016,Solid,52,Pink,1,Dusty Light,4,Pink,8316,Ladies Sport Bras,S,Sport,26,Sport,5,Ladies H&M Sport,1005,Jersey Fancy,"Sports bra in ribbed, fast-drying functional fabric. Lined cups with removable inserts that shape the bust and a racer back. Light support. The bra is designed with the minimum number of seams for a more comfortable fit and increased mobility. The polyamide content of the bra is recycled."
98483,879447,Bim bomber,262,Jacket,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,8812,Young Girl Outdoor,I,Children Sizes 134-170,4,Baby/Children,45,Kids Outerwear,1007,Outdoor,"Bomber jacket in woven fabric with a print motif front and back. Small, ribbed stand-up collar, a zip down the front, diagonal side pockets and a zipped sleeve pocket. Visible, gathered seams down the sleeves, and ribbing at the cuffs and hem. Lined."
22523,598807,Sloth Smock Tee,255,T-shirt,Garment Upper body,1010001,All over pattern,10,White,3,Light,9,White,1640,Tops Fancy Jersey,D,Divided,2,Divided,53,Divided Collection,1005,Jersey Fancy,"Short, smocked, off-the-shoulder top in cotton jersey with short sleeves and overlocked edges."
40351,664196,ED Godis top,254,Top,Garment Upper body,1010017,Stripe,10,White,3,Light,9,White,1909,Woven top,A,Ladieswear,1,Ladieswear,2,H&M+,1010,Blouses,"Off-the-shoulder blouse in woven fabric with an elasticated top with a small frill trim, narrow tie-top shoulder straps and short, wide sleeves."
33817,639889,Oh Yes Cheeky Brief,59,Swimwear bottom,Swimwear,1010016,Solid,93,Dark Green,4,Dark,19,Green,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Fully lined bikini bottoms with a low waist, smocked sides and high cut at the back."
78210,793059,MOLLY hood,308,Hoodie,Garment Upper body,1010016,Solid,42,Red,5,Bright,18,Red,7920,Kids Girl Jersey Basic,H,Children Sizes 92-140,4,Baby/Children,79,Girls Underwear & Basics,1002,Jersey Basic,"Hooded jacket in soft sweatshirt fabric with a zip down the front, kangaroo pockets and ribbing at the cuffs and hem. Soft brushed inside."
6302,504155,Kirsten,252,Sweater,Garment Upper body,1010016,Solid,73,Dark Blue,4,Dark,2,Blue,1646,Knitwear Basic,A,Ladieswear,1,Ladieswear,16,Womens Everyday Basics,1003,Knitwear,"Jumper in a cable-knit cotton blend with ribbing around the neckline, cuffs and hem."
43073,675209,Bosse 5p girl,302,Socks,Socks & Tights,1010001,All over pattern,51,Light Pink,3,Light,4,Pink,6541,Baby Socks,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1021,Socks and Tights,Jacquard-knit socks in a stretch cotton blend with elasticated tops.
70979,762287,Sagus Shorts,274,Shorts,Garment Lower body,1010005,Colour blocking,43,Dark Red,4,Dark,18,Red,5882,Jersey Fancy,F,Menswear,3,Menswear,55,Contemporary Street,1005,Jersey Fancy,"Shorts in sweatshirt fabric with side stripes, an elasticated drawstring waist, side pockets and a back pocket. Soft brushed inside."
31216,631488,Dolly Hipster (Poppy)3pk,286,Underwear bottom,Underwear,1010001,All over pattern,10,White,3,Light,9,White,1334,Casual Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear","Hipster briefs in cotton jersey and lace with a low waist, lined gusset, wide sides and cutaway coverage at the back."
95862,868115,Skinny Cropped Midprice,272,Trousers,Garment Lower body,1010023,Denim,71,Light Blue,1,Dusty Light,2,Blue,5672,Denim trousers,F,Menswear,3,Menswear,56,Denim Men,1016,Trousers Denim,"5-pocket jeans in washed, stretch denim with worn details. Regular waist, zip fly and button, and slightly shorter, skinny legs."
66528,748360,BIRD RIB TEE,253,Vest top,Garment Upper body,1010016,Solid,42,Red,7,Medium,18,Red,1640,Tops Fancy Jersey,D,Divided,2,Divided,53,Divided Collection,1005,Jersey Fancy,"Short, fitted top in ribbed jersey with short sleeves, a visible seam down the front and a decorative knot detail at the hem."
54475,707742,Juno,265,Dress,Garment Full body,1010017,Stripe,73,Dark Blue,4,Dark,2,Blue,1322,Dress,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1013,Dresses Ladies,"Calf-length dress in viscose crêpe weave with a V-neck, wrapover front with ties at the waist and a concealed press-stud at the neckline and waist. Long sleeves with an opening and button at the cuffs. Lined skirt."
101498,897099,Henry Dress,265,Dress,Garment Full body,1010023,Denim,9,Black,4,Dark,5,Black,1343,Projects Dresses,D,Divided,2,Divided,50,Divided Projects,1013,Dresses Ladies,"Short dress in denim with a lace-trimmed collar. Opening with a button at the back of the neck, long puff sleeves with buttoned cuffs, and a tapered waist. Unlined."
69903,758613,Movie date dress,265,Dress,Garment Full body,1010007,Embroidery,10,White,3,Light,9,White,1322,Dress,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1013,Dresses Ladies,"Short, fitted dress in a cotton weave with flounces and embroidery. Sweetheart neckline, elasticated shoulder straps, a seam at the waist and a low-cut back with wide, horizontal straps that tie in a bow at the back. Concealed zip in one side. Lined."
45238,682550,Uno Hood (1),308,Hoodie,Garment Upper body,1010016,Solid,13,Beige,2,Medium Dusty,11,Beige,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,"Jacket in sweatshirt fabric with a lined drawstring hood, zip down the front, side pockets and ribbing at the cuffs and hem. Soft brushed inside."
7119,510407,MAXI (1),273,Leggings/Tights,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,7920,Kids Girl Jersey Basic,H,Children Sizes 92-140,4,Baby/Children,79,Girls Underwear & Basics,1002,Jersey Basic,3/4-length leggings in soft organic cotton jersey with an elasticated waist.
62226,735723,AK VAMOS TRAPEZE DRESS D3,265,Dress,Garment Full body,1010001,All over pattern,13,Beige,2,Medium Dusty,11,Beige,5626,AK Dresses & Outdoor,D,Divided,2,Divided,70,Divided Asia keys,1013,Dresses Ladies,"Short, straight-cut dress in a lightweight, patterned weave with an opening and button at the back of the neck. Dropped shoulders, long, wide, cuffed sleeves and a seam at the hem with wide flounces. Unlined."
23167,602723,JAMIE SLEEVELESS BLOUSE,258,Blouse,Garment Upper body,1010001,All over pattern,9,Black,4,Dark,5,Black,1543,Tops Woven,D,Divided,2,Divided,53,Divided Collection,1010,Blouses,Sleeveless blouse in a cotton weave with embroidery. Opening and ties at the back of the neck and a frill trim around the neckline and armholes.
69988,759127,Cool Crazydjungel Earringpack,70,Earring,Accessories,1010016,Solid,5,Gold,5,Bright,15,Metal,4345,Jewellery Extended,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,Metal earrings in various sizes and designs. Diameter of studs from 0.7 to approx. 2 cm. Length of earrings from 3.5 to approx. 6 cm.
14234,562211,Ariel hip belt (1),67,Belt,Accessories,1010016,Solid,9,Black,4,Dark,5,Black,3509,Belts,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,Belt in imitation leather with a metal buckle. Width 2.5 cm.
47989,690734,Ofelia bag,66,Bag,Accessories,1010016,Solid,9,Black,4,Dark,5,Black,3944,Bags,D,Divided,2,Divided,52,Divided Accessories,1019,Accessories,"Shopper in imitation suede with an imitation leather lower section. Handles and a magnetic fastener at the top, a detachable, adjustable shoulder strap and a zipped outer compartment. Lined. Size approx. 36x39 cm."
69743,758002,Tropicana Brazilian,59,Swimwear bottom,Swimwear,1010026,Other structure,50,Other Pink,5,Bright,4,Pink,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Fully lined, smocked bikini bottoms with a low waist and high cut at the back."
95035,865202,Hal shorts OP,274,Shorts,Garment Lower body,1010010,Melange,93,Dark Green,4,Dark,20,Khaki green,8559,Men Sport Woven,S,Sport,26,Sport,22,Men H&M Sport,1005,Jersey Fancy,"Sports shorts in fast-drying, breathable functional fabric with elastication and a concealed drawstring at the waist and concealed pockets in the side seams. Unlined."
29484,625506,MIA FANCY,272,Trousers,Garment Lower body,1010011,Metallic,50,Other Pink,5,Bright,4,Pink,7920,Kids Girl Jersey Basic,H,Children Sizes 92-140,4,Baby/Children,79,Girls Underwear & Basics,1002,Jersey Basic,Joggers in sweatshirt fabric with an elasticated drawstring waist and ribbed hems.
88958,835522,BEN fancy crewneck,252,Sweater,Garment Upper body,1010005,Colour blocking,7,Grey,1,Dusty Light,12,Grey,7668,Kids Boy Jersey Basic,H,Children Sizes 92-140,4,Baby/Children,72,Boys Underwear & Basics,1002,Jersey Basic,"Long-sleeved top in sweatshirt fabric with ribbing around the neckline, cuffs and hem. The cotton content of the top is organic."
65159,743909,TVP ROGER SWEATER,252,Sweater,Garment Upper body,1010014,Placement print,12,Light Beige,1,Dusty Light,11,Beige,6545,Baby Boy Jersey Fancy,G,Baby Sizes 50-98,4,Baby/Children,41,Baby Boy,1005,Jersey Fancy,"Long-sleeved top in soft sweatshirt fabric with a motif, buttons on one shoulder and ribbing around the neckline, cuffs and hem. Soft brushed inside."
21515,594541,TP TOMMY sweatpants BB,272,Trousers,Garment Lower body,1010016,Solid,73,Dark Blue,7,Medium,2,Blue,8768,Young Boy Jersey Basic,I,Children Sizes 134-170,4,Baby/Children,72,Boys Underwear & Basics,1002,Jersey Basic,"Joggers in sweatshirt fabric made from an organic cotton and recycled polyester blend with a soft brushed inside. Covered elastication and a drawstring at the waist, side pockets and ribbed hems."
49946,695632,Gyda- (1),258,Blouse,Garment Upper body,1010016,Solid,23,Dark Yellow,4,Dark,8,Yellow,1515,Blouse,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1010,Blouses,"Blouse in a soft weave with a narrow collar, concealed buttons down the front, long sleeves with buttoned cuffs and a rounded hem."
3819,466948,LOGAN l/s raglan SB,255,T-shirt,Garment Upper body,1010005,Colour blocking,19,Greenish Khaki,2,Medium Dusty,20,Khaki green,7668,Kids Boy Jersey Basic,H,Children Sizes 92-140,4,Baby/Children,72,Boys Underwear & Basics,1002,Jersey Basic,Long-sleeved top in organic cotton jersey with a ribbed neckline in a contrasting colour and a gently rounded hem.
37694,654579,BYN Lonely planet,258,Blouse,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,1909,Woven top,A,Ladieswear,1,Ladieswear,2,H&M+,1010,Blouses,"Cami top in a viscose weave with narrow, adjustable shoulder straps and lace at the front."
89497,838721,SKINNY CAPRI,272,Trousers,Garment Lower body,1010023,Denim,9,Black,4,Dark,5,Black,8917,Young Girl Denim,I,Children Sizes 134-170,4,Baby/Children,77,Young Girl,1016,Trousers Denim,"Slim-fit, high-waisted, calf-length jeans in washed, superstretch, flexible denim for maximum mobility. Adjustable, elasticated waist (in sizes 8-12Y), zip fly and button, fake front pockets, real back pockets, and straight-cut hems with short slits in the sides."
52129,700737,Samantha Padded T-shirt Milano,306,Bra,Underwear,1010016,Solid,12,Light Beige,1,Dusty Light,11,Beige,1338,Expressive Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear","Bra in microfibre and lace with underwired, moulded, lightly padded cups that shape the bust and provide good support. Adjustable shoulder straps and a hook-and-eye fastening at the back."
25947,615279,JAKE pile SB,94,Sneakers,Shoes,1010016,Solid,73,Dark Blue,4,Dark,2,Blue,4211,Kids Boy Shoes,J,"Children Accessories, Swimwear",4,Baby/Children,42,Kids & Baby Shoes,1020,Shoes,"Hi-tops in imitation leather with a padded shaft, adjustable hook and loop tab, elasticated lacing and a loop at the back. Pile linings and insoles and rubber soles."
78400,793878,EGON BLOUSE,254,Top,Garment Upper body,1010001,All over pattern,11,Off White,1,Dusty Light,9,White,1660,Jersey,A,Ladieswear,1,Ladieswear,6,Womens Casual,1005,Jersey Fancy,"Wide blouse in soft jersey made from a modal and cotton blend with a wide, elasticated neckline and opening with ties at the back of the neck. Long raglan sleeves with elastication at the cuffs."
75450,781660,L Christy Pile,262,Jacket,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,1201,Outwear,A,Ladieswear,1,Ladieswear,19,Womens Jackets,1007,Outdoor,"Jacket in soft pile with a high collar, large patch front pockets and a zip and wind flap with concealed press-studs down the front. Lined. The jacket is made partly from recycled polyester."
37823,655249,Victoria Padded N-slip (UW),293,Night gown,Nightwear,1010016,Solid,9,Black,4,Dark,5,Black,3709,Nightwear,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1017,"Under-, Nightwear","Nightslip in soft jersey with narrow adjustable shoulder straps, triangular lace cups with removable inserts and a lace trim under the bust."
61509,733419,Pearl Jam,265,Dress,Garment Full body,1010016,Solid,9,Black,4,Dark,5,Black,1322,Dress,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1013,Dresses Ladies,"Knee-length dress in a crêpe weave with a V-neck, buttons down the front and short sleeves with a drawstring. Seam at the waist and a gently flared skirt. Unlined."
76527,785362,CAMP EYE MASK (W),289,Nipple covers,Underwear,1010001,All over pattern,13,Beige,2,Medium Dusty,11,Beige,3709,Nightwear,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1017,"Under-, Nightwear","Padded sleep mask in satin with a patterned front, solid colour back and elastic strap at the back."
50254,696427,Noah fancy hood TP,308,Hoodie,Garment Upper body,1010001,All over pattern,6,Light Grey,1,Dusty Light,12,Grey,8748,Young Boy Jersey Fancy,I,Children Sizes 134-170,4,Baby/Children,47,Young Boy,1005,Jersey Fancy,"Top in sweatshirt fabric with a print motif on the front, a lined, wrapover hood, long sleeves and ribbing at the cuffs and hem. Soft brushed inside."
67208,750199,Sonja square sunglasses,81,Sunglasses,Accessories,1010010,Melange,17,Yellowish Brown,4,Dark,13,Brown,8888,Sunglasses,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,"Sunglasses with plastic frames and UV-protective, tinted lenses."
28031,621752,Jonas Claesson s/s tee,255,T-shirt,Garment Upper body,1010008,Front print,10,White,3,Light,9,White,8748,Young Boy Jersey Fancy,I,Children Sizes 134-170,4,Baby/Children,47,Young Boy,1005,Jersey Fancy,"T-shirt in soft, printed slub cotton jersey with a ribbed neckline, sewn-in turn-ups on the sleeves and slits at the hem."
43692,677930,Queen Sweater,252,Sweater,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,"Top in lightweight sweatshirt fabric with ribbing around the neckline, cuffs and hem."
15286,566320,NICHOLAS l/s SB,255,T-shirt,Garment Upper body,1010016,Solid,32,Orange,5,Bright,3,Orange,7668,Kids Boy Jersey Basic,H,Children Sizes 92-140,4,Baby/Children,72,Boys Underwear & Basics,1002,Jersey Basic,Long-sleeved top in organic cotton jersey.
12321,552743,PEBBLE knitted creweck,252,Sweater,Garment Upper body,1010010,Melange,8,Dark Grey,2,Medium Dusty,12,Grey,7520,Knitwear,F,Menswear,3,Menswear,28,Men Edition,1003,Knitwear,"Long-sleeved jumper in soft, fine-knit cashmere with ribbing around the neckline, cuffs and hem."
24314,608943,MATTEO PIQUE SHORTS.,274,Shorts,Garment Lower body,1010016,Solid,10,White,3,Light,9,White,5832,Light Basic Jersey,F,Menswear,3,Menswear,26,Men Underwear,1002,Jersey Basic,"Shorts in cotton piqué with an elasticated, drawstring waist and discreet pockets in the side seams."
14115,561551,MISCHA,255,T-shirt,Garment Upper body,1010001,All over pattern,10,White,3,Light,9,White,7920,Kids Girl Jersey Basic,H,Children Sizes 92-140,4,Baby/Children,79,Girls Underwear & Basics,1002,Jersey Basic,
84238,814964,Fly top,255,T-shirt,Garment Upper body,1010008,Front print,81,Light Turquoise,1,Dusty Light,7,Turquoise,8716,Young Girl Jersey Fancy,I,Children Sizes 134-170,4,Baby/Children,77,Young Girl,1005,Jersey Fancy,"Boxy-style top in soft cotton jersey with a print motif. Narrow, ribbed trim around the neckline, dropped shoulders and short sleeves with sewn in turn-ups."
34315,641220,Emma Slipon Pile,144,Flat shoe,Shoes,1010016,Solid,51,Light Pink,1,Dusty Light,4,Pink,4317,Sneakers small girl inactive from s2,J,"Children Accessories, Swimwear",4,Baby/Children,42,Kids & Baby Shoes,1020,Shoes,Slip-on trainers in imitation sheepskin with elastic gores in the sides and a loop at the back. Cotton canvas linings and insoles and rubber soles.
45745,684080,Grimsby,262,Jacket,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,1201,Outwear,A,Ladieswear,1,Ladieswear,19,Womens Jackets,1007,Outdoor,"Knee-length coat in a brushed weave with narrow notch lapels, a concealed press-stud fastening, dropped shoulders and flap front pockets. Tape-trimmed inner seams. Unlined."
35216,645951,Renoir Straw Hat,76,Hat/brim,Accessories,1010016,Solid,13,Beige,2,Medium Dusty,11,Beige,3519,Gloves/Hats,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,Hat in braided paper straw with an embroidered motif on the brim. Width of brim 12 cm.
78418,793931,Lina denim shirt,259,Shirt,Garment Upper body,1010023,Denim,73,Dark Blue,2,Medium Dusty,2,Blue,1510,Blouse,A,Ladieswear,1,Ladieswear,6,Womens Casual,1010,Blouses,"Shirt in washed cotton denim with a turn-down collar, classic front with press-studs, and a yoke front and back. Flap chest pockets with a press-stud, long sleeves with press-studs at the cuffs, and a rounded hem."
39933,663034,Lamb jumper BRO,252,Sweater,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,1648,Knitwear,A,Ladieswear,1,Ladieswear,18,Womens Trend,1003,Knitwear,"Fine-knit jumper in a soft mohair blend in a wide, relaxed fit with a wrapover V-neck, dropped shoulders, long sleeves and ribbing around the neckline, cuffs and hem."
23189,603048,Felicia set,76,Hat/brim,Accessories,1010001,All over pattern,10,White,3,Light,9,White,2950,Baby Toys/Acc,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1019,Accessories,"Set with a sun hat and triangular scarf in patterned cotton. Sun hat with ties under the chin. Lined. Double-layered, triangular scarf with an adjustable press-stud fastening."
40459,664647,Bruce Skinny Denim Trs,272,Trousers,Garment Lower body,1010023,Denim,72,Blue,3,Light,2,Blue,5686,Trouser,F,Menswear,3,Menswear,20,Contemporary Smart,1009,Trousers,"5-pocket jeans in washed stretch denim with a regular waist, zip fly and skinny legs."
15380,566745,Jeanie TPP,253,Vest top,Garment Upper body,1010001,All over pattern,9,Black,4,Dark,5,Black,1515,Blouse,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1010,Blouses,"Top in a double layer of chiffon with narrow, double shoulder straps that cross at the back. Made partly from recycled polyester."
46848,686986,Opac,263,Coat,Garment Upper body,1010010,Melange,14,Dark Beige,2,Medium Dusty,20,Khaki green,5262,Jacket Smart,F,Menswear,3,Menswear,31,Mens Outerwear,1007,Outdoor,"Coat in woven fabric made from a felted wool blend with a stand-up collar and buttons at the front. Diagonal, welt side pockets, two inner pockets, decorative buttons at the cuffs and a single back vent. Lined."
16946,572254,Palle fisherman,76,Hat/brim,Accessories,1010016,Solid,72,Blue,2,Medium Dusty,2,Blue,2950,Baby Toys/Acc,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1019,Accessories,Fisherman’s hat in a cotton blend with a tie. Lined.
31246,631536,Basic 7p shaftless pattern,302,Socks,Socks & Tights,1010001,All over pattern,13,Beige,1,Dusty Light,11,Beige,3611,Shopbasket Socks,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,Fine-knit trainer socks in a soft cotton blend with elasticated tops.
24184,608317,Carlita Push Balboa,306,Bra,Underwear,1010016,Solid,9,Black,4,Dark,5,Black,1338,Expressive Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear","Soft, non-wired bra in lace with moulded, padded cups for a larger bust and fuller cleavage. Adjustable shoulder straps and a wide lace trim at the hem."
46447,685816,RONNY R-NECK,255,T-shirt,Garment Upper body,1010016,Solid,51,Light Pink,1,Dusty Light,4,Pink,5832,Light Basic Jersey,F,Menswear,3,Menswear,26,Men Underwear,1002,Jersey Basic,Round-necked T-shirt in soft cotton jersey.
