supplier_id,product_id,period_id,nominal_capacity_usd
3,3,31,351428571.43
3,3,32,353142857.14
3,3,33,354857142.86
3,3,34,356571428.57
3,3,35,358285714.29
3,3,36,360000000.0
4,3,1,700000000.0
4,3,2,704000000.0
4,3,3,708000000.0
4,3,4,712000000.0
4,3,5,716000000.0
4,3,6,720000000.0
4,3,7,724000000.0
4,3,8,728000000.0
4,3,9,732000000.0
4,3,10,736000000.0
4,3,11,740000000.0
4,3,12,744000000.0
4,3,13,748000000.0
4,3,14,752000000.0
4,3,15,756000000.0
4,3,16,760000000.0
4,3,17,764000000.0
4,3,18,768000000.0
4,3,19,772000000.0
4,3,20,776000000.0
4,3,21,780000000.0
4,3,22,784000000.0
4,3,23,788000000.0
4,3,24,792000000.0
4,3,25,796000000.0
4,3,26,800000000.0
4,3,27,804000000.0
4,3,28,808000000.0
4,3,29,812000000.0
4,3,30,816000000.0
4,3,31,820000000.0
4,3,32,824000000.0
4,3,33,828000000.0
4,3,34,832000000.0
4,3,35,836000000.0
4,3,36,840000000.0
4,4,1,183333333.33
4,4,2,184380952.38
4,4,3,185428571.43
4,4,4,186476190.48
4,4,5,187523809.52
4,4,6,188571428.57
4,4,7,189619047.62
4,4,8,190666666.67
4,4,9,191714285.71
4,4,10,192761904.76
4,4,11,193809523.81
4,4,12,194857142.86
4,4,13,195904761.9
4,4,14,196952380.95
4,4,15,198000000.0
4,4,16,199047619.05
4,4,17,200095238.1
4,4,18,201142857.14
4,4,19,202190476.19
4,4,20,203238095.24
4,4,21,204285714.29
4,4,22,205333333.33
4,4,23,206380952.38
4,4,24,207428571.43
4,4,25,208476190.48
4,4,26,209523809.52
4,4,27,210571428.57
4,4,28,211619047.62
4,4,29,212666666.67
4,4,30,213714285.71
4,4,31,214761904.76
4,4,32,215809523.81
4,4,33,216857142.86
4,4,34,217904761.9
4,4,35,218952380.95
4,4,36,220000000.0
5,4,1,183333333.33
5,4,2,184380952.38
5,4,3,185428571.43
5,4,4,186476190.48
5,4,5,187523809.52
5,4,6,188571428.57
5,4,7,189619047.62
5,4,8,190666666.67
5,4,9,191714285.71
5,4,10,192761904.76
5,4,11,193809523.81
5,4,12,194857142.86
5,4,13,195904761.9
5,4,14,196952380.95
5,4,15,198000000.0
5,4,16,199047619.05
5,4,17,200095238.1
5,4,18,201142857.14
5,4,19,202190476.19
5,4,20,203238095.24
5,4,21,204285714.29
5,4,22,205333333.33
5,4,23,206380952.38
5,4,24,207428571.43
5,4,25,208476190.48
5,4,26,209523809.52
5,4,27,210571428.57
5,4,28,211619047.62
5,4,29,212666666.67
5,4,30,213714285.71
5,4,31,214761904.76
5,4,32,215809523.81
5,4,33,216857142.86
5,4,34,217904761.9
5,4,35,218952380.95
5,4,36,220000000.0
5,5,1,150000000.0
5,5,2,150857142.86
5,5,3,151714285.71
5,5,4,152571428.57
5,5,5,153428571.43
5,5,6,154285714.29
5,5,7,155142857.14
5,5,8,156000000.0
5,5,9,156857142.86
5,5,10,157714285.71
5,5,11,158571428.57
5,5,12,159428571.43
5,5,13,160285714.29
5,5,14,161142857.14
5,5,15,162000000.0
5,5,16,162857142.86
5,5,17,163714285.71
5,5,18,164571428.57
5,5,19,165428571.43
5,5,20,166285714.29
5,5,21,167142857.14
5,5,22,168000000.0
5,5,23,168857142.86
5,5,24,169714285.71
5,5,25,170571428.57
5,5,26,171428571.43
5,5,27,172285714.29
5,5,28,173142857.14
5,5,29,174000000.0
5,5,30,174857142.86
5,5,31,175714285.71
5,5,32,176571428.57
5,5,33,177428571.43
5,5,34,178285714.29
5,5,35,179142857.14
5,5,36,180000000.0
6,5,1,150000000.0
6,5,2,150857142.86
6,5,3,151714285.71
6,5,4,152571428.57
6,5,5,153428571.43
6,5,6,154285714.29
6,5,7,155142857.14
6,5,8,156000000.0
6,5,9,156857142.86
6,5,10,157714285.71
6,5,11,158571428.57
6,5,12,159428571.43
6,5,13,160285714.29
6,5,14,161142857.14
6,5,15,162000000.0
6,5,16,162857142.86
6,5,17,163714285.71
6,5,18,164571428.57
6,5,19,165428571.43
6,5,20,166285714.29
6,5,21,167142857.14
6,5,22,168000000.0
6,5,23,168857142.86
6,5,24,169714285.71
6,5,25,170571428.57
6,5,26,171428571.43
6,5,27,172285714.29
6,5,28,173142857.14
6,5,29,174000000.0
6,5,30,174857142.86
6,5,31,175714285.71
6,5,32,176571428.57
6,5,33,177428571.43
6,5,34,178285714.29
6,5,35,179142857.14
6,5,36,180000000.0
