ID,SUPPLIER_BUSINESS_ID,CUSTOMER_BUSINESS_ID,SKU_ID,QUANTITY,ORIGIN_SITE_ID,DESTINATION_SITE_ID,OPERATION_ID,ORDER_DATE,SHIP_DATE,EXPECTED_DELIVERY_DATE,ACTUAL_DELIVERY_DATE,STATUS,DELAY_DAYS,FISCAL_QUARTER,FISCAL_YEAR
SHP0016,B016,B002,SKU007,113,S016,S002,OP003,2024-10-14,2024-10-17,2024-10-21,2024-10-20,DELIVERED,0,Q4-2024,2024
SHP0017,B017,B014,SKU008,106,S017,S014,OP006,2024-03-11,2024-03-14,2024-03-19,2024-03-20,DELAYED,1,Q1-2024,2024
SHP0018,B015,B012,SKU006,89,S015,S012,OP002,2024-11-17,2024-11-18,2024-11-26,,IN_TRANSIT,,Q4-2024,2024
SHP0019,B019,B020,SKU007,185,S019,S020,OP008,2024-05-08,2024-05-11,2024-05-19,2024-05-19,DELIVERED,0,Q2-2024,2024
SHP0020,B017,B003,SKU008,246,S017,S003,OP005,2024-11-24,2024-11-26,2024-11-28,2024-11-28,DELIVERED,0,Q4-2024,2024
SHP0021,B017,B003,SKU008,298,S017,S003,OP005,2024-09-13,2024-09-14,2024-09-20,2024-09-19,DELIVERED,0,Q3-2024,2024
SHP0022,B016,B013,SKU007,89,S016,S013,OP004,2024-07-10,2024-07-11,2024-07-17,2024-07-17,DELIVERED,0,Q3-2024,2024
SHP0023,B017,B014,SKU008,175,S017,S014,OP006,2024-01-10,2024-01-11,2024-01-15,2024-01-14,DELIVERED,0,Q1-2024,2024
SHP0024,B016,B013,SKU007,64,S016,S013,OP004,2024-05-03,2024-05-06,2024-05-08,2024-05-16,DELAYED,8,Q2-2024,2024
SHP0025,B015,B012,SKU006,300,S015,S012,OP002,2024-09-29,2024-09-30,2024-10-03,2024-10-03,DELIVERED,0,Q3-2024,2024
SHP0026,B017,B003,SKU008,185,S017,S003,OP005,2024-11-06,2024-11-08,2024-11-11,2024-11-11,DELIVERED,0,Q4-2024,2024
SHP0027,B017,B003,SKU008,152,S017,S003,OP005,2024-12-09,2024-12-12,2024-12-16,,IN_TRANSIT,,Q4-2024,2024
SHP0028,B015,B012,SKU006,136,S015,S012,OP002,2024-01-11,2024-01-14,2024-01-20,2024-01-20,DELIVERED,0,Q1-2024,2024
SHP0029,B015,B001,SKU006,68,S015,S001,OP001,2024-11-19,2024-11-20,2024-11-23,,IN_TRANSIT,,Q4-2024,2024
SHP0030,B016,B013,SKU007,121,S016,S013,OP004,2024-12-08,2024-12-10,2024-12-13,,IN_TRANSIT,,Q4-2024,2024
SHP0031,B019,B020,SKU007,256,S019,S020,OP008,2024-07-27,2024-07-28,2024-07-30,2024-08-06,DELAYED,7,Q3-2024,2024
SHP0032,B017,B014,SKU008,158,S017,S014,OP006,2024-07-29,2024-07-31,2024-08-08,2024-08-08,DELIVERED,0,Q3-2024,2024
SHP0033,B015,B001,SKU006,153,S015,S001,OP001,2024-06-22,2024-06-23,2024-06-26,2024-06-25,DELIVERED,0,Q2-2024,2024
SHP0034,B016,B002,SKU007,158,S016,S002,OP003,2024-04-03,2024-04-05,2024-04-10,2024-04-10,DELIVERED,0,Q2-2024,2024
SHP0035,B019,B020,SKU007,256,S019,S020,OP008,2024-10-08,2024-10-09,2024-10-11,2024-10-11,DELIVERED,0,Q4-2024,2024
SHP0036,B015,B012,SKU006,287,S015,S012,OP002,2024-05-01,2024-05-02,2024-05-07,2024-05-07,DELIVERED,0,Q2-2024,2024
SHP0037,B018,B020,SKU006,281,S018,S020,OP007,2024-01-31,2024-02-01,2024-02-06,2024-02-13,DELAYED,7,Q1-2024,2024
SHP0038,B017,B003,SKU008,287,S017,S003,OP005,2024-08-20,2024-08-22,2024-08-27,2024-08-26,DELIVERED,0,Q3-2024,2024
SHP0039,B016,B002,SKU007,98,S016,S002,OP003,2024-05-31,2024-06-01,2024-06-03,2024-06-03,DELIVERED,0,Q2-2024,2024
SHP0040,B017,B014,SKU008,64,S017,S014,OP006,2024-01-26,2024-01-29,2024-02-03,2024-02-03,DELIVERED,0,Q1-2024,2024
SHP0041,B015,B001,SKU006,295,S015,S001,OP001,2024-09-17,2024-09-18,2024-09-26,2024-09-26,DELIVERED,0,Q3-2024,2024
SHP0042,B016,B013,SKU007,153,S016,S013,OP004,2024-03-02,2024-03-05,2024-03-08,2024-03-08,DELIVERED,0,Q1-2024,2024
SHP0043,B015,B012,SKU006,157,S015,S012,OP002,2024-12-02,2024-12-05,2024-12-11,2024-12-11,DELIVERED,0,Q4-2024,2024
SHP0044,B017,B014,SKU008,111,S017,S014,OP006,2024-05-15,2024-05-17,2024-05-20,2024-05-19,DELIVERED,0,Q2-2024,2024
SHP0045,B019,B020,SKU007,130,S019,S020,OP008,2024-02-07,2024-02-08,2024-02-13,2024-02-13,DELIVERED,0,Q1-2024,2024
SHP0046,B015,B012,SKU006,187,S015,S012,OP002,2024-04-19,2024-04-22,2024-04-26,2024-04-25,DELIVERED,0,Q2-2024,2024
SHP0047,B015,B012,SKU006,275,S015,S012,OP002,2024-05-05,2024-05-07,2024-05-11,2024-05-10,DELIVERED,0,Q2-2024,2024
SHP0048,B015,B001,SKU006,220,S015,S001,OP001,2024-10-10,2024-10-12,2024-10-19,2024-10-18,DELIVERED,0,Q4-2024,2024
SHP0049,B015,B012,SKU006,277,S015,S012,OP002,2024-02-24,2024-02-27,2024-03-04,2024-03-03,DELIVERED,0,Q1-2024,2024
SHP0050,B016,B013,SKU007,233,S016,S013,OP004,2024-06-24,2024-06-25,2024-07-02,2024-07-01,DELIVERED,0,Q2-2024,2024
SHP0051,B013,B004,SKU002,175,S013,S004,OP013,2024-05-08,2024-05-09,2024-05-11,2024-05-10,DELIVERED,0,Q2-2024,2024
SHP0052,B001,B004,SKU001,50,S001,S004,OP009,2024-06-19,2024-06-20,2024-06-27,2024-06-27,DELIVERED,0,Q2-2024,2024
SHP0053,B014,B004,SKU003,163,S014,S004,OP014,2024-10-09,2024-10-12,2024-10-17,2024-10-20,DELAYED,3,Q4-2024,2024
SHP0054,B013,B004,SKU002,59,S013,S004,OP013,2024-07-08,2024-07-11,2024-07-17,2024-07-17,DELIVERED,0,Q3-2024,2024
SHP0055,B001,B004,SKU001,128,S001,S004,OP009,2024-07-05,2024-07-06,2024-07-10,2024-07-10,DELIVERED,0,Q3-2024,2024
SHP0056,B014,B004,SKU003,76,S014,S004,OP014,2024-06-30,2024-07-03,2024-07-11,2024-07-11,DELIVERED,0,Q2-2024,2024
SHP0057,B002,B004,SKU002,271,S002,S004,OP010,2024-03-24,2024-03-25,2024-03-30,2024-04-05,DELAYED,6,Q1-2024,2024
SHP0058,B020,B024,SKU001,288,S020,S024,OP015,2024-07-29,2024-08-01,2024-08-09,2024-08-09,DELIVERED,0,Q3-2024,2024
SHP0059,B003,B004,SKU003,90,S003,S004,OP011,2024-02-25,2024-02-27,2024-03-06,2024-03-14,DELAYED,8,Q1-2024,2024
SHP0060,B002,B004,SKU002,101,S002,S004,OP010,2024-08-23,2024-08-25,2024-08-29,2024-08-29,DELIVERED,0,Q3-2024,2024
SHP0061,B002,B004,SKU002,56,S002,S004,OP010,2024-12-03,2024-12-04,2024-12-09,,IN_TRANSIT,,Q4-2024,2024
SHP0062,B013,B004,SKU002,152,S013,S004,OP013,2024-12-13,2024-12-16,2024-12-20,,IN_TRANSIT,,Q4-2024,2024
SHP0063,B003,B004,SKU003,59,S003,S004,OP011,2024-02-25,2024-02-28,2024-03-04,2024-03-03,DELIVERED,0,Q1-2024,2024
SHP0064,B012,B004,SKU001,205,S012,S004,OP012,2024-09-18,2024-09-19,2024-09-24,2024-09-24,DELIVERED,0,Q3-2024,2024
SHP0065,B003,B004,SKU003,61,S003,S004,OP011,2024-08-11,2024-08-12,2024-08-18,2024-08-18,DELIVERED,0,Q3-2024,2024
SHP0066,B003,B004,SKU003,160,S003,S004,OP011,2024-02-05,2024-02-08,2024-02-12,2024-02-12,DELIVERED,0,Q1-2024,2024
SHP0067,B014,B004,SKU003,280,S014,S004,OP014,2024-06-02,2024-06-05,2024-06-09,2024-06-08,DELIVERED,0,Q2-2024,2024
SHP0068,B012,B004,SKU001,228,S012,S004,OP012,2024-05-31,2024-06-03,2024-06-06,2024-06-05,DELIVERED,0,Q2-2024,2024
SHP0069,B014,B004,SKU003,241,S014,S004,OP014,2024-03-30,2024-04-02,2024-04-08,2024-04-08,DELIVERED,0,Q1-2024,2024
SHP0070,B003,B004,SKU003,123,S003,S004,OP011,2024-04-17,2024-04-19,2024-04-27,2024-04-26,DELIVERED,0,Q2-2024,2024
SHP0071,B012,B004,SKU001,163,S012,S004,OP012,2024-08-14,2024-08-17,2024-08-20,2024-08-20,DELIVERED,0,Q3-2024,2024
SHP0072,B014,B004,SKU003,71,S014,S004,OP014,2024-05-25,2024-05-28,2024-06-04,2024-06-03,DELIVERED,0,Q2-2024,2024
SHP0073,B001,B004,SKU001,259,S001,S004,OP009,2024-04-30,2024-05-03,2024-05-07,2024-05-07,DELIVERED,0,Q2-2024,2024
SHP0074,B002,B004,SKU002,56,S002,S004,OP010,2024-01-24,2024-01-25,2024-01-30,2024-01-30,DELIVERED,0,Q1-2024,2024
SHP0075,B012,B004,SKU001,156,S012,S004,OP012,2024-11-18,2024-11-21,2024-11-24,,IN_TRANSIT,,Q4-2024,2024
SHP0076,B014,B004,SKU003,226,S014,S004,OP014,2024-01-03,2024-01-04,2024-01-12,2024-01-12,DELIVERED,0,Q1-2024,2024
SHP0077,B020,B024,SKU001,295,S020,S024,OP015,2024-09-22,2024-09-24,2024-09-26,2024-09-26,DELIVERED,0,Q3-2024,2024
SHP0078,B012,B004,SKU001,84,S012,S004,OP012,2024-08-25,2024-08-28,2024-09-03,2024-09-02,DELIVERED,0,Q3-2024,2024
SHP0079,B020,B024,SKU001,278,S020,S024,OP015,2024-08-14,2024-08-17,2024-08-25,2024-08-24,DELIVERED,0,Q3-2024,2024
SHP0080,B020,B024,SKU001,282,S020,S024,OP015,2024-10-07,2024-10-09,2024-10-12,2024-10-11,DELIVERED,0,Q4-2024,2024
SHP0081,B020,B024,SKU001,113,S020,S024,OP015,2024-11-22,2024-11-24,2024-12-02,,IN_TRANSIT,,Q4-2024,2024
SHP0082,B001,B004,SKU001,232,S001,S004,OP009,2024-05-26,2024-05-27,2024-05-31,2024-05-31,DELIVERED,0,Q2-2024,2024
SHP0083,B002,B004,SKU002,88,S002,S004,OP010,2024-04-28,2024-04-30,2024-05-07,2024-05-07,DELIVERED,0,Q2-2024,2024
SHP0084,B001,B004,SKU001,156,S001,S004,OP009,2024-07-27,2024-07-29,2024-08-04,2024-08-04,DELIVERED,0,Q3-2024,2024
SHP0085,B002,B004,SKU002,263,S002,S004,OP010,2024-08-03,2024-08-05,2024-08-13,2024-08-13,DELIVERED,0,Q3-2024,2024
SHP0086,B020,B024,SKU001,275,S020,S024,OP015,2024-10-21,2024-10-23,2024-10-28,2024-11-03,DELAYED,6,Q4-2024,2024
SHP0087,B003,B004,SKU003,242,S003,S004,OP011,2024-07-18,2024-07-20,2024-07-26,2024-07-26,DELIVERED,0,Q3-2024,2024
SHP0088,B012,B004,SKU001,106,S012,S004,OP012,2024-05-19,2024-05-21,2024-05-26,2024-06-01,DELAYED,6,Q2-2024,2024
SHP0089,B014,B004,SKU003,223,S014,S004,OP014,2024-07-26,2024-07-29,2024-08-01,2024-08-01,DELIVERED,0,Q3-2024,2024
SHP0090,B013,B004,SKU002,186,S013,S004,OP013,2024-01-14,2024-01-16,2024-01-22,2024-01-22,DELIVERED,0,Q1-2024,2024
SHP0091,B001,B004,SKU001,214,S001,S004,OP009,2024-08-07,2024-08-08,2024-08-16,2024-08-16,DELIVERED,0,Q3-2024,2024
SHP0092,B003,B004,SKU003,147,S003,S004,OP011,2024-06-16,2024-06-17,2024-06-22,2024-06-21,DELIVERED,0,Q2-2024,2024
SHP0093,B003,B004,SKU003,242,S003,S004,OP011,2024-08-03,2024-08-05,2024-08-13,2024-08-14,DELAYED,1,Q3-2024,2024
SHP0094,B014,B004,SKU003,188,S014,S004,OP014,2024-01-27,2024-01-29,2024-02-01,2024-02-01,DELIVERED,0,Q1-2024,2024
SHP0095,B020,B024,SKU001,57,S020,S024,OP015,2024-05-06,2024-05-07,2024-05-15,2024-05-18,DELAYED,3,Q2-2024,2024
SHP0096,B002,B004,SKU002,82,S002,S004,OP010,2024-08-30,2024-09-02,2024-09-04,2024-09-04,DELIVERED,0,Q3-2024,2024
SHP0097,B012,B004,SKU001,229,S012,S004,OP012,2024-05-11,2024-05-13,2024-05-16,2024-05-16,DELIVERED,0,Q2-2024,2024
SHP0098,B020,B024,SKU001,259,S020,S024,OP015,2024-03-24,2024-03-26,2024-03-28,2024-03-27,DELIVERED,0,Q1-2024,2024
SHP0099,B013,B004,SKU002,223,S013,S004,OP013,2024-07-11,2024-07-13,2024-07-20,2024-07-20,DELIVERED,0,Q3-2024,2024
SHP0100,B001,B004,SKU001,228,S001,S004,OP009,2024-06-03,2024-06-06,2024-06-12,2024-06-12,DELIVERED,0,Q2-2024,2024
SHP0101,B024,B007,SKU004,186,S024,S007,OP072,2024-08-07,2024-08-10,2024-08-14,2024-08-20,DELAYED,6,Q3-2024,2024
SHP0102,B004,B006,SKU004,267,S004,S006,OP070,2024-08-03,2024-08-05,2024-08-07,2024-08-06,DELIVERED,0,Q3-2024,2024
SHP0103,B022,B012,SKU009,231,S022,S012,OP075,2024-03-19,2024-03-21,2024-03-24,2024-03-23,DELIVERED,0,Q1-2024,2024
SHP0104,B003,B006,SKU003,248,S003,S006,OP074,2024-09-04,2024-09-06,2024-09-11,2024-09-10,DELIVERED,0,Q3-2024,2024
SHP0105,B005,B025,SKU004,268,S005,S025,OP071,2024-05-05,2024-05-06,2024-05-10,2024-05-10,DELIVERED,0,Q2-2024,2024
SHP0106,B022,B012,SKU009,195,S022,S012,OP075,2024-11-08,2024-11-11,2024-11-16,2024-11-15,DELIVERED,0,Q4-2024,2024
SHP0107,B005,B025,SKU004,174,S005,S025,OP071,2024-04-18,2024-04-20,2024-04-28,2024-04-27,DELIVERED,0,Q2-2024,2024
SHP0108,B024,B022,SKU004,192,S024,S022,OP022,2024-01-06,2024-01-09,2024-01-12,2024-01-19,DELAYED,7,Q1-2024,2024
SHP0109,B020,B025,SKU001,192,S020,S025,OP016,2024-05-03,2024-05-06,2024-05-11,2024-05-10,DELIVERED,0,Q2-2024,2024
SHP0110,B022,B012,SKU009,252,S022,S012,OP075,2024-01-09,2024-01-10,2024-01-14,2024-01-14,DELIVERED,0,Q1-2024,2024
SHP0111,B004,B006,SKU004,219,S004,S006,OP070,2024-10-24,2024-10-26,2024-10-31,2024-10-30,DELIVERED,0,Q4-2024,2024
SHP0112,B024,B007,SKU004,229,S024,S007,OP072,2024-08-20,2024-08-22,2024-08-26,2024-08-26,DELIVERED,0,Q3-2024,2024
SHP0113,B024,B007,SKU004,130,S024,S007,OP072,2024-03-02,2024-03-05,2024-03-11,2024-03-11,DELIVERED,0,Q1-2024,2024
SHP0114,B024,B007,SKU004,105,S024,S007,OP072,2024-09-04,2024-09-06,2024-09-13,2024-09-12,DELIVERED,0,Q3-2024,2024
SHP0115,B005,B006,SKU004,263,S005,S006,OP019,2024-04-09,2024-04-11,2024-04-14,2024-04-13,DELIVERED,0,Q2-2024,2024
SHP0116,B004,B006,SKU004,231,S004,S006,OP070,2024-09-30,2024-10-01,2024-10-05,2024-10-06,DELAYED,1,Q3-2024,2024
SHP0117,B003,B006,SKU003,124,S003,S006,OP074,2024-03-05,2024-03-08,2024-03-16,2024-03-16,DELIVERED,0,Q1-2024,2024
SHP0118,B004,B006,SKU004,196,S004,S006,OP070,2024-05-25,2024-05-27,2024-06-01,2024-06-01,DELIVERED,0,Q2-2024,2024
SHP0119,B004,B026,SKU004,114,S004,S026,OP017,2024-09-01,2024-09-02,2024-09-10,2024-09-18,DELAYED,8,Q3-2024,2024
SHP0120,B004,B027,SKU004,197,S004,S027,OP018,2024-11-18,2024-11-21,2024-11-23,,IN_TRANSIT,,Q4-2024,2024
SHP0121,B024,B021,SKU004,80,S024,S021,OP021,2024-10-12,2024-10-14,2024-10-20,2024-10-19,DELIVERED,0,Q4-2024,2024
SHP0122,B022,B012,SKU009,282,S022,S012,OP075,2024-08-14,2024-08-16,2024-08-24,2024-08-23,DELIVERED,0,Q3-2024,2024
SHP0123,B004,B006,SKU004,195,S004,S006,OP070,2024-11-13,2024-11-14,2024-11-20,2024-11-24,DELAYED,4,Q4-2024,2024
SHP0124,B024,B007,SKU004,117,S024,S007,OP072,2024-12-04,2024-12-05,2024-12-08,,IN_TRANSIT,,Q4-2024,2024
SHP0125,B022,B012,SKU009,226,S022,S012,OP075,2024-10-31,2024-11-02,2024-11-06,2024-11-11,DELAYED,5,Q4-2024,2024
SHP0126,B004,B006,SKU004,229,S004,S006,OP070,2024-08-20,2024-08-21,2024-08-28,2024-08-27,DELIVERED,0,Q3-2024,2024
SHP0127,B024,B007,SKU004,158,S024,S007,OP072,2024-02-28,2024-03-02,2024-03-05,2024-03-04,DELIVERED,0,Q1-2024,2024
SHP0128,B005,B007,SKU004,68,S005,S007,OP020,2024-01-31,2024-02-01,2024-02-09,2024-02-08,DELIVERED,0,Q1-2024,2024
SHP0129,B022,B012,SKU009,81,S022,S012,OP075,2024-08-27,2024-08-30,2024-09-03,2024-09-02,DELIVERED,0,Q3-2024,2024
SHP0130,B025,B023,SKU004,188,S025,S023,OP023,2024-09-09,2024-09-11,2024-09-13,2024-09-12,DELIVERED,0,Q3-2024,2024
SHP0131,B005,B025,SKU004,204,S005,S025,OP071,2024-05-08,2024-05-09,2024-05-11,2024-05-11,DELIVERED,0,Q2-2024,2024
SHP0132,B024,B022,SKU004,197,S024,S022,OP022,2024-01-21,2024-01-22,2024-01-27,2024-01-26,DELIVERED,0,Q1-2024,2024
SHP0133,B024,B022,SKU004,96,S024,S022,OP022,2024-10-26,2024-10-28,2024-11-04,2024-11-03,DELIVERED,0,Q4-2024,2024
SHP0134,B024,B007,SKU004,154,S024,S007,OP072,2024-06-19,2024-06-21,2024-06-28,2024-06-28,DELIVERED,0,Q2-2024,2024
SHP0135,B005,B025,SKU004,155,S005,S025,OP071,2024-09-10,2024-09-12,2024-09-19,2024-09-19,DELIVERED,0,Q3-2024,2024
SHP0136,B022,B012,SKU009,72,S022,S012,OP075,2024-06-10,2024-06-12,2024-06-16,2024-06-15,DELIVERED,0,Q2-2024,2024
SHP0137,B025,B023,SKU004,261,S025,S023,OP023,2024-01-01,2024-01-04,2024-01-12,2024-01-11,DELIVERED,0,Q1-2024,2024
SHP0138,B004,B026,SKU004,98,S004,S026,OP017,2024-09-22,2024-09-24,2024-09-30,2024-09-29,DELIVERED,0,Q3-2024,2024
SHP0139,B004,B026,SKU004,102,S004,S026,OP017,2024-05-16,2024-05-19,2024-05-22,2024-05-21,DELIVERED,0,Q2-2024,2024
SHP0140,B020,B025,SKU001,81,S020,S025,OP016,2024-01-15,2024-01-18,2024-01-24,2024-01-24,DELIVERED,0,Q1-2024,2024
SHP0141,B004,B006,SKU004,191,S004,S006,OP070,2024-01-08,2024-01-11,2024-01-16,2024-01-18,DELAYED,2,Q1-2024,2024
SHP0142,B022,B012,SKU009,292,S022,S012,OP075,2024-03-01,2024-03-04,2024-03-12,2024-03-11,DELIVERED,0,Q1-2024,2024
SHP0143,B025,B023,SKU004,230,S025,S023,OP023,2024-05-19,2024-05-21,2024-05-29,2024-05-28,DELIVERED,0,Q2-2024,2024
SHP0144,B024,B021,SKU004,166,S024,S021,OP021,2024-10-09,2024-10-10,2024-10-15,2024-10-15,DELIVERED,0,Q4-2024,2024
SHP0145,B004,B027,SKU004,120,S004,S027,OP018,2024-07-31,2024-08-02,2024-08-10,2024-08-10,DELIVERED,0,Q3-2024,2024
SHP0146,B004,B006,SKU004,235,S004,S006,OP070,2024-06-01,2024-06-04,2024-06-10,2024-06-09,DELIVERED,0,Q2-2024,2024
SHP0147,B005,B007,SKU004,164,S005,S007,OP020,2024-10-02,2024-10-04,2024-10-08,2024-10-07,DELIVERED,0,Q4-2024,2024
SHP0148,B022,B012,SKU009,288,S022,S012,OP075,2024-06-13,2024-06-14,2024-06-21,2024-06-20,DELIVERED,0,Q2-2024,2024
SHP0149,B024,B021,SKU004,269,S024,S021,OP021,2024-07-29,2024-07-30,2024-08-03,2024-08-02,DELIVERED,0,Q3-2024,2024
SHP0150,B004,B020,SKU001,219,S004,S020,OP073,2024-11-29,2024-11-30,2024-12-05,,IN_TRANSIT,,Q4-2024,2024
SHP0151,B006,B011,SKU005,75,S006,S011,OP031,2024-09-26,2024-09-28,2024-09-30,2024-09-29,DELIVERED,0,Q3-2024,2024
SHP0152,B007,B008,SKU004,170,S007,S008,OP032,2024-05-15,2024-05-17,2024-05-23,2024-05-23,DELIVERED,0,Q2-2024,2024
SHP0153,B027,B028,SKU005,294,S027,S028,OP026,2024-06-11,2024-06-14,2024-06-21,2024-06-20,DELIVERED,0,Q2-2024,2024
SHP0154,B023,B031,SKU004,208,S023,S031,OP041,2024-02-05,2024-02-06,2024-02-13,2024-02-12,DELIVERED,0,Q1-2024,2024
SHP0155,B007,B011,SKU004,161,S007,S011,OP035,2024-02-20,2024-02-23,2024-03-01,2024-02-29,DELIVERED,0,Q1-2024,2024
SHP0156,B007,B009,SKU005,281,S007,S009,OP033,2024-01-15,2024-01-16,2024-01-20,2024-01-19,DELIVERED,0,Q1-2024,2024
SHP0157,B027,B029,SKU005,160,S027,S029,OP027,2024-03-15,2024-03-16,2024-03-22,2024-03-22,DELIVERED,0,Q1-2024,2024
SHP0158,B007,B009,SKU004,70,S007,S009,OP033,2024-11-08,2024-11-10,2024-11-16,2024-11-16,DELIVERED,0,Q4-2024,2024
SHP0159,B007,B011,SKU005,213,S007,S011,OP035,2024-05-10,2024-05-12,2024-05-16,2024-05-15,DELIVERED,0,Q2-2024,2024
SHP0160,B026,B029,SKU004,68,S026,S029,OP025,2024-08-14,2024-08-16,2024-08-22,2024-08-21,DELIVERED,0,Q3-2024,2024
SHP0161,B026,B028,SKU005,266,S026,S028,OP024,2024-06-03,2024-06-04,2024-06-09,2024-06-09,DELIVERED,0,Q2-2024,2024
SHP0162,B007,B011,SKU005,196,S007,S011,OP035,2024-07-02,2024-07-05,2024-07-09,2024-07-08,DELIVERED,0,Q3-2024,2024
SHP0163,B006,B008,SKU005,120,S006,S008,OP028,2024-01-05,2024-01-08,2024-01-16,2024-01-16,DELIVERED,0,Q1-2024,2024
SHP0164,B022,B031,SKU005,248,S022,S031,OP039,2024-04-27,2024-04-30,2024-05-08,2024-05-08,DELIVERED,0,Q2-2024,2024
SHP0165,B026,B028,SKU004,210,S026,S028,OP024,2024-02-19,2024-02-22,2024-02-29,2024-02-28,DELIVERED,0,Q1-2024,2024
SHP0166,B006,B009,SKU005,237,S006,S009,OP029,2024-03-08,2024-03-09,2024-03-13,2024-03-12,DELIVERED,0,Q1-2024,2024
SHP0167,B007,B009,SKU004,83,S007,S009,OP033,2024-10-03,2024-10-05,2024-10-11,2024-10-11,DELIVERED,0,Q4-2024,2024
SHP0168,B026,B028,SKU005,297,S026,S028,OP024,2024-05-31,2024-06-03,2024-06-11,2024-06-11,DELIVERED,0,Q2-2024,2024
SHP0169,B022,B030,SKU004,86,S022,S030,OP038,2024-04-25,2024-04-28,2024-05-05,2024-05-04,DELIVERED,0,Q2-2024,2024
SHP0170,B023,B031,SKU005,73,S023,S031,OP041,2024-07-21,2024-07-22,2024-07-26,2024-07-25,DELIVERED,0,Q3-2024,2024
SHP0171,B027,B029,SKU005,199,S027,S029,OP027,2024-07-14,2024-07-17,2024-07-21,2024-07-21,DELIVERED,0,Q3-2024,2024
SHP0172,B022,B031,SKU004,208,S022,S031,OP039,2024-10-14,2024-10-16,2024-10-22,2024-10-30,DELAYED,8,Q4-2024,2024
SHP0173,B026,B029,SKU005,79,S026,S029,OP025,2024-03-12,2024-03-13,2024-03-15,2024-03-14,DELIVERED,0,Q1-2024,2024
SHP0174,B006,B011,SKU004,110,S006,S011,OP031,2024-10-02,2024-10-03,2024-10-08,2024-10-07,DELIVERED,0,Q4-2024,2024
SHP0175,B007,B008,SKU005,217,S007,S008,OP032,2024-02-20,2024-02-22,2024-02-28,2024-02-27,DELIVERED,0,Q1-2024,2024
SHP0176,B006,B009,SKU005,105,S006,S009,OP029,2024-08-15,2024-08-17,2024-08-20,2024-08-20,DELIVERED,0,Q3-2024,2024
SHP0177,B027,B029,SKU005,65,S027,S029,OP027,2024-07-22,2024-07-24,2024-07-27,2024-07-26,DELIVERED,0,Q3-2024,2024
SHP0178,B006,B010,SKU004,214,S006,S010,OP030,2024-11-23,2024-11-26,2024-11-28,2024-11-28,DELIVERED,0,Q4-2024,2024
SHP0179,B007,B010,SKU004,262,S007,S010,OP034,2024-10-10,2024-10-11,2024-10-17,2024-10-16,DELIVERED,0,Q4-2024,2024
SHP0180,B007,B008,SKU004,120,S007,S008,OP032,2024-03-15,2024-03-16,2024-03-22,2024-03-22,DELIVERED,0,Q1-2024,2024
