sensor_id,machine_id,period,value,is_anomaly
S052,M026,4,69.94,0
S053,M027,1,6.61,0
S053,M027,2,6.91,0
S053,M027,3,6.33,0
S053,M027,4,6.53,0
S054,M027,1,53.11,0
S054,M027,2,45.77,0
S054,M027,3,67.48,0
S054,M027,4,68.15,0
S055,M028,1,336.18,0
S055,M028,2,333.38,0
S055,M028,3,317.03,0
S055,M028,4,310.09,0
S056,M028,1,5.71,0
S056,M028,2,3.97,0
S056,M028,3,4.21,0
S056,M028,4,4.5,0
S057,M029,1,177.03,0
S057,M029,2,163.74,0
S057,M029,3,172.06,0
S057,M029,4,190.65,0
S058,M029,1,64.13,0
S058,M029,2,70.35,0
S058,M029,3,66.78,0
S058,M029,4,71.3,0
S059,M030,1,12.73,0
S059,M030,2,10.85,0
S059,M030,3,10.47,0
S059,M030,4,13.09,0
S060,M030,1,64.88,0
S060,M030,2,56.44,0
S060,M030,3,64.31,0
S060,M030,4,51.67,0
