metric_id,metric_date,lab,active_training_runs,gpu_hours_consumed,tokens_trained,eval_runs_launched,inference_qps,model_release_events,paper_submissions,funding_announced_usd,prev_day_growth,prev_week_growth,growth_7d_mean,training_intensity_growth_rate
60,2025-05-20,xAI Internal,41,78084.66,851001951158.0,13,906.94,0,0,0.0,0.07981,0.08518,0.08072,0.07903
61,2025-05-21,Anthropic Research,43,80001.67,954187091635.0,15,956.27,1,0,0.0,0.09624,0.10101,0.09876,0.10183
62,2025-05-21,Cohere Inference,11,13428.03,94546679233.0,2,2823.16,0,0,0.0,0.02459,0.03785,0.03001,0.02806
63,2025-05-21,OpenAI Pretrain,48,86107.68,1003424595762.0,14,1071.95,0,0,0.0,0.12375,0.12212,0.12171,0.12405
64,2025-05-21,Stability Open,5,6081.15,38311171413.0,1,30.65,0,0,0.0,-0.02905,-0.0341,-0.03085,-0.03551
65,2025-05-21,Together AI Multi-Lab,13,15096.28,113200471044.0,5,1180.32,0,0,0.0,0.04731,0.03933,0.04105,0.0362
66,2025-05-21,xAI Internal,39,72862.94,765058985439.0,11,955.8,0,0,0.0,0.07903,0.07893,0.08085,0.07984
67,2025-05-22,Anthropic Research,50,97411.09,947289060881.0,16,1096.87,0,0,0.0,0.10183,0.10022,0.09873,0.10007
68,2025-05-22,Cohere Inference,11,15565.26,94237702914.0,2,2624.07,0,0,0.0,0.02806,0.02996,0.02988,0.02905
69,2025-05-22,OpenAI Pretrain,50,92957.82,883625724593.0,14,1153.46,0,0,0.0,0.12405,0.11689,0.12199,0.11882
70,2025-05-22,Stability Open,6,7304.6,47626238814.0,3,29.58,0,0,0.0,-0.03551,-0.02219,-0.03194,-0.02987
71,2025-05-22,Together AI Multi-Lab,13,17031.53,97895654909.0,4,1248.7,0,0,0.0,0.0362,0.0441,0.04025,0.03851
72,2025-05-22,xAI Internal,40,70134.87,779649934895.0,11,864.13,0,0,0.0,0.07984,0.08356,0.07986,0.07659
73,2025-05-23,Anthropic Research,45,86598.06,781855467489.0,14,957.6,0,0,0.0,0.10007,0.10498,0.09862,0.10416
74,2025-05-23,Cohere Inference,10,13318.61,83439359905.0,1,2744.7,0,0,0.0,0.02905,0.03485,0.02762,0.01902
75,2025-05-23,OpenAI Pretrain,52,93181.12,1133433223751.0,16,1179.15,0,0,0.0,0.11882,0.11994,0.12135,0.11543
76,2025-05-23,Stability Open,5,6344.29,45415989668.0,1,27.52,0,0,0.0,-0.02987,-0.0324,-0.0319,-0.03212
77,2025-05-23,Together AI Multi-Lab,13,15804.13,112663398342.0,3,1371.75,0,0,0.0,0.03851,0.04058,0.04013,0.03972
78,2025-05-23,xAI Internal,42,78217.3,950863116913.0,13,856.1,0,0,0.0,0.07659,0.08271,0.08072,0.08879
79,2025-05-24,Anthropic Research,43,78075.36,815296869472.0,13,972.37,0,0,0.0,0.10416,0.09934,0.09731,0.09021
80,2025-05-24,Cohere Inference,11,13532.39,90596998828.0,2,2513.24,0,0,0.0,0.01902,0.0289,0.02835,0.03398
81,2025-05-24,OpenAI Pretrain,52,92418.9,1093983479520.0,17,1193.17,0,0,0.0,0.11543,0.12129,0.11924,0.10653
82,2025-05-24,Stability Open,5,6449.96,52469629673.0,0,32.53,0,0,0.0,-0.03212,-0.03181,-0.03222,-0.03403
83,2025-05-24,Together AI Multi-Lab,12,14266.9,92948287471.0,4,1137.25,0,0,0.0,0.03972,0.04004,0.04004,0.03942
84,2025-05-24,xAI Internal,41,80050.93,838142818288.0,13,1025.12,0,0,0.0,0.08879,0.08626,0.07995,0.08082
85,2025-05-25,Anthropic Research,45,82787.49,886467677234.0,13,1018.14,2,0,0.0,0.09021,0.09799,0.09729,0.09784
86,2025-05-25,Cohere Inference,12,13617.24,106649469685.0,4,2829.54,0,0,0.0,0.03398,0.03666,0.02825,0.036
87,2025-05-25,OpenAI Pretrain,54,102105.88,1019716406559.0,17,1167.48,0,0,0.0,0.10653,0.12847,0.11828,0.1218
88,2025-05-25,Stability Open,6,6479.14,48769902177.0,2,35.87,0,0,0.0,-0.03403,-0.02905,-0.03339,-0.03727
89,2025-05-25,Together AI Multi-Lab,13,17273.62,117435913966.0,3,1281.23,0,0,0.0,0.03942,0.03816,0.04133,0.04716
90,2025-05-25,xAI Internal,42,74032.25,835693214590.0,13,841.1,0,0,0.0,0.08082,0.07475,0.07989,0.07438
91,2025-05-26,Anthropic Research,41,69884.62,767345209029.0,12,894.26,0,0,0.0,0.09784,0.09069,0.09801,0.09569
92,2025-05-26,Cohere Inference,11,13116.4,95178733949.0,2,2810.86,0,0,0.0,0.036,0.02707,0.02746,0.02153
93,2025-05-26,OpenAI Pretrain,53,103207.35,965792237381.0,17,1138.87,0,0,0.0,0.1218,0.11761,0.11643,0.10463
94,2025-05-26,Stability Open,6,6573.05,49357780280.0,1,29.42,0,0,0.0,-0.03727,-0.03591,-0.03178,-0.02463
95,2025-05-26,Together AI Multi-Lab,14,18002.27,103893166446.0,2,1382.62,0,0,0.0,0.04716,0.04097,0.04245,0.04884
96,2025-05-26,xAI Internal,44,79442.56,966955395867.0,13,989.99,0,0,0.0,0.07438,0.07981,0.07914,0.0745
97,2025-05-27,Anthropic Research,46,79058.26,938339387938.0,14,1018.51,0,0,0.0,0.09569,0.09624,0.09763,0.09361
98,2025-05-27,Cohere Inference,12,14371.78,103288106907.0,3,2881.03,0,0,0.0,0.02153,0.02459,0.02856,0.03231
99,2025-05-27,OpenAI Pretrain,52,101586.66,1082653846025.0,16,1297.49,1,0,0.0,0.10463,0.12375,0.11615,0.12181
100,2025-05-27,Stability Open,6,6444.92,49100418624.0,1,28.64,0,0,0.0,-0.02463,-0.02905,-0.03197,-0.03034
101,2025-05-27,Together AI Multi-Lab,14,17574.43,110086093088.0,2,1317.53,0,0,0.0,0.04884,0.04731,0.04072,0.03517
102,2025-05-27,xAI Internal,43,84630.76,898323580988.0,12,938.57,1,0,0.0,0.0745,0.07903,0.07831,0.07322
103,2025-05-28,Anthropic Research,45,80303.36,857645892438.0,14,1052.39,0,0,0.0,0.09361,0.10183,0.09668,0.09519
104,2025-05-28,Cohere Inference,11,14535.7,104494457809.0,3,3000.96,0,1,0.0,0.03231,0.02806,0.02767,0.02179
105,2025-05-28,OpenAI Pretrain,51,83251.76,977538812123.0,16,1113.63,0,0,0.0,0.12181,0.12405,0.11591,0.12234
106,2025-05-28,Stability Open,6,7379.95,49965374489.0,2,34.61,0,0,0.0,-0.03034,-0.03551,-0.03059,-0.02584
107,2025-05-28,Together AI Multi-Lab,14,18500.52,133612214741.0,4,1395.31,0,0,0.0,0.03517,0.0362,0.04232,0.04741
108,2025-05-28,xAI Internal,45,84205.84,921795962844.0,13,1020.16,0,0,0.0,0.07322,0.07984,0.07849,0.08116
109,2025-05-29,Anthropic Research,46,92807.11,804749808019.0,14,988.37,0,0,0.0,0.09519,0.10007,0.09655,0.09915
110,2025-05-29,Cohere Inference,11,14960.89,100344714324.0,4,2800.1,0,0,0.0,0.02179,0.02905,0.02748,0.02773
111,2025-05-29,OpenAI Pretrain,53,106190.72,927729315605.0,15,1245.64,0,0,0.0,0.12234,0.11882,0.11634,0.12182
112,2025-05-29,Stability Open,6,7431.71,53443737830.0,1,37.16,0,0,0.0,-0.02584,-0.02987,-0.03055,-0.02964
113,2025-05-29,Together AI Multi-Lab,14,16231.82,110887892885.0,3,1273.57,0,0,0.0,0.04741,0.03851,0.0428,0.0419
114,2025-05-29,xAI Internal,47,88986.09,862323017354.0,13,1082.65,0,0,0.0,0.08116,0.07659,0.07817,0.07432
115,2025-05-30,Anthropic Research,47,86324.08,936546884906.0,14,1076.25,0,0,0.0,0.09915,0.10416,0.09513,0.09425
116,2025-05-30,Cohere Inference,11,13782.85,83496426477.0,2,2582.75,0,0,0.0,0.02773,0.01902,0.02912,0.03051
117,2025-05-30,OpenAI Pretrain,53,103207.56,1028491886759.0,16,1271.01,0,0,0.0,0.12182,0.11543,0.11739,0.12279
118,2025-05-30,Stability Open,6,7652.12,58973010567.0,1,32.59,0,0,0.0,-0.02964,-0.03212,-0.03086,-0.03425
119,2025-05-30,Together AI Multi-Lab,14,17423.74,123306301562.0,4,1413.14,0,0,0.0,0.0419,0.03972,0.04371,0.04609
120,2025-05-30,xAI Internal,49,92679.22,933541943873.0,15,1067.03,1,0,0.0,0.07432,0.08879,0.07705,0.08097
121,2025-05-31,Anthropic Research,46,90864.56,981814532782.0,14,1096.8,0,0,0.0,0.09425,0.09021,0.09677,0.10168
122,2025-05-31,Cohere Inference,11,13810.93,92058997052.0,3,2724.39,0,0,0.0,0.03051,0.03398,0.0285,0.02963
123,2025-05-31,OpenAI Pretrain,51,96261.16,941820440480.0,17,1066.0,0,0,0.0,0.12279,0.10653,0.11884,0.11667
124,2025-05-31,Stability Open,6,8470.75,52763188476.0,3,36.93,0,0,0.0,-0.03425,-0.03403,-0.03059,-0.03217
125,2025-05-31,Together AI Multi-Lab,14,16553.67,116094818410.0,3,1462.62,0,0,0.0,0.04609,0.03942,0.04263,0.03184
126,2025-05-31,xAI Internal,48,82889.05,975597110414.0,14,1086.88,0,0,0.0,0.08097,0.08082,0.07669,0.07829
127,2025-06-01,Anthropic Research,42,80849.93,630089427025.0,11,977.78,0,0,0.0,0.10168,0.09784,0.09674,0.09758
128,2025-06-01,Cohere Inference,10,11618.13,81990637915.0,2,2358.83,0,0,0.0,0.02963,0.036,0.027,0.0255
129,2025-06-01,OpenAI Pretrain,50,100802.69,797413268070.0,14,1300.03,0,0,0.0,0.11667,0.1218,0.11918,0.12423
130,2025-06-01,Stability Open,6,8117.76,54872468064.0,1,35.01,0,0,0.0,-0.03217,-0.03727,-0.03014,-0.03412
131,2025-06-01,Together AI Multi-Lab,15,17176.31,111493467030.0,3,1400.11,0,0,0.0,0.03184,0.04716,0.0416,0.03998
132,2025-06-01,xAI Internal,49,94003.2,1010643828070.0,17,1142.14,0,0,0.0,0.07829,0.07438,0.078,0.08356
133,2025-06-02,Anthropic Research,51,96006.52,1053420740780.0,17,1161.25,0,0,0.0,0.09758,0.09569,0.09717,0.09872
134,2025-06-02,Cohere Inference,11,13504.1,89827909288.0,5,2703.54,0,0,0.0,0.0255,0.02153,0.02772,0.02657
135,2025-06-02,OpenAI Pretrain,53,101597.93,1022890696398.0,17,1145.84,0,0,0.0,0.12423,0.10463,0.12054,0.11411
136,2025-06-02,Stability Open,6,7553.13,53267655853.0,2,32.2,0,0,0.0,-0.03412,-0.02463,-0.02994,-0.02321
137,2025-06-02,Together AI Multi-Lab,16,20643.98,132468948534.0,4,1556.06,0,0,0.0,0.03998,0.04884,0.03899,0.03056
138,2025-06-02,xAI Internal,49,93482.88,962777256124.0,14,1087.76,0,0,0.0,0.08356,0.0745,0.07832,0.07675
139,2025-06-03,Anthropic Research,47,92351.52,943846946589.0,14,1052.51,0,0,0.0,0.09872,0.09361,0.09887,0.10552
140,2025-06-03,Cohere Inference,11,12621.32,82337194658.0,1,2579.34,0,0,0.0,0.02657,0.03231,0.02776,0.03262
141,2025-06-03,OpenAI Pretrain,50,88280.3,781292936457.0,14,1095.04,0,1,0.0,0.11411,0.12181,0.12025,0.11979
142,2025-06-03,Stability Open,6,8344.57,51342750487.0,1,32.57,0,0,0.0,-0.02321,-0.03034,-0.02983,-0.02957
143,2025-06-03,Together AI Multi-Lab,15,19061.45,127561933514.0,2,1414.0,0,0,0.0,0.03056,0.03517,0.04029,0.04428
144,2025-06-03,xAI Internal,49,91257.52,1090572307009.0,14,1117.55,0,0,0.0,0.07675,0.07322,0.07893,0.07743
145,2025-06-04,Anthropic Research,48,84064.17,995031794791.0,15,985.97,0,0,0.0,0.10552,0.09519,0.09855,0.09298
146,2025-06-04,Cohere Inference,11,13718.57,94407246362.0,2,3080.95,0,0,0.0,0.03262,0.02179,0.02932,0.03267
147,2025-06-04,OpenAI Pretrain,48,89148.27,902640005412.0,14,1057.72,0,0,0.0,0.11979,0.12234,0.12002,0.12073
148,2025-06-04,Stability Open,6,7221.36,51947560856.0,0,33.83,0,0,0.0,-0.02957,-0.02584,-0.03087,-0.03312
149,2025-06-04,Together AI Multi-Lab,16,18960.77,121706895724.0,3,1674.18,0,0,0.0,0.04428,0.04741,0.03922,0.03987
150,2025-06-04,xAI Internal,48,94600.34,915868787598.0,15,1095.71,0,0,0.0,0.07743,0.08116,0.0784,0.07746
151,2025-06-05,Anthropic Research,50,92447.14,967415120761.0,16,1226.39,0,0,0.0,0.09298,0.09915,0.09922,0.10383
152,2025-06-05,Cohere Inference,10,12417.01,88856105643.0,1,2589.2,0,0,0.0,0.03267,0.02773,0.02866,0.02311
153,2025-06-05,OpenAI Pretrain,49,87052.22,975453974870.0,14,1030.09,0,0,0.0,0.12073,0.12182,0.12156,0.1326
154,2025-06-05,Stability Open,6,8190.03,52562948419.0,1,35.55,0,0,0.0,-0.03312,-0.02964,-0.03021,-0.02502
155,2025-06-05,Together AI Multi-Lab,15,18767.21,133422704205.0,4,1537.71,0,0,0.0,0.03987,0.0419,0.03821,0.03486
156,2025-06-05,xAI Internal,48,84822.95,975668593929.0,15,1035.61,0,0,0.0,0.07746,0.07432,0.08065,0.09008
157,2025-06-06,Anthropic Research,50,94920.8,1063915315924.0,15,1082.13,0,0,0.0,0.10383,0.09425,0.10052,0.10335
158,2025-06-06,Cohere Inference,10,12433.93,81507131183.0,3,2689.52,0,0,0.0,0.02311,0.03051,0.02883,0.03168
159,2025-06-06,OpenAI Pretrain,50,99509.69,1051921129395.0,17,1068.07,0,0,0.0,0.1326,0.12279,0.12127,0.12076
160,2025-06-06,Stability Open,6,7201.37,46352446217.0,0,30.1,0,0,0.0,-0.02502,-0.03425,-0.03071,-0.03773
161,2025-06-06,Together AI Multi-Lab,14,17323.81,120935408697.0,2,1434.23,0,0,0.0,0.03486,0.04609,0.03654,0.0344
162,2025-06-06,xAI Internal,49,94907.43,968428295939.0,13,1145.09,0,0,0.0,0.09008,0.08097,0.08068,0.08119
163,2025-06-07,Anthropic Research,50,97282.94,1026392639442.0,14,1222.21,0,0,0.0,0.10335,0.10168,0.10032,0.10026
164,2025-06-07,Cohere Inference,10,13066.89,84803557040.0,1,2512.16,0,0,0.0,0.03168,0.02963,0.02996,0.0376
165,2025-06-07,OpenAI Pretrain,49,97042.09,996954465394.0,15,1030.78,0,0,0.0,0.12076,0.11667,0.1213,0.11689
166,2025-06-07,Stability Open,6,7863.05,52520104358.0,2,30.49,1,0,0.0,-0.03773,-0.03217,-0.02928,-0.02218
167,2025-06-07,Together AI Multi-Lab,15,18582.17,135061091249.0,3,1495.92,0,0,0.0,0.0344,0.03184,0.03655,0.03188
168,2025-06-07,xAI Internal,47,91064.47,853656173092.0,16,1188.16,0,0,0.0,0.08119,0.07829,0.08086,0.07952
169,2025-06-08,Anthropic Research,51,93181.75,1054819693207.0,16,1158.9,0,0,0.0,0.10026,0.09758,0.09911,0.0891
170,2025-06-08,Cohere Inference,10,12171.29,80261917547.0,2,2522.55,0,0,0.0,0.0376,0.0255,0.0298,0.02437
171,2025-06-08,OpenAI Pretrain,47,84727.84,852817942826.0,13,1041.77,0,0,0.0,0.11689,0.12423,0.12017,0.11628
172,2025-06-08,Stability Open,6,7556.99,48373618633.0,1,34.11,0,0,0.0,-0.02218,-0.03412,-0.03058,-0.04323
173,2025-06-08,Together AI Multi-Lab,16,21063.16,139750114555.0,3,1727.95,0,0,0.0,0.03188,0.03998,0.03614,0.03715
174,2025-06-08,xAI Internal,45,90479.64,968578945333.0,13,935.62,0,0,0.0,0.07952,0.08356,0.08055,0.08143
175,2025-06-09,Anthropic Research,51,96201.53,1101505877406.0,17,1168.73,0,0,0.0,0.0891,0.09872,0.1,0.10493
176,2025-06-09,Cohere Inference,11,13377.8,90406560721.0,3,2773.1,0,0,0.0,0.02437,0.02657,0.03034,0.0303
177,2025-06-09,OpenAI Pretrain,48,91039.57,1001692416731.0,14,1142.59,0,0,0.0,0.11628,0.11411,0.1212,0.12134
178,2025-06-09,Stability Open,6,7674.42,51609522311.0,2,32.92,0,0,0.0,-0.04323,-0.02321,-0.03089,-0.02539
179,2025-06-09,Together AI Multi-Lab,15,19340.17,118167132241.0,3,1369.31,0,0,0.0,0.03715,0.03056,0.03741,0.03945
180,2025-06-09,xAI Internal,45,79013.04,922687902390.0,13,1072.34,0,0,0.0,0.08143,0.07675,0.07946,0.06908
181,2025-06-10,Anthropic Research,51,98527.71,1058169681889.0,14,1202.96,0,0,0.0,0.10493,0.10552,0.09882,0.09731
182,2025-06-10,Cohere Inference,11,11999.75,89038722782.0,2,2407.64,0,0,0.0,0.0303,0.03262,0.03017,0.03147
183,2025-06-10,OpenAI Pretrain,49,94855.47,1012564456925.0,14,1052.88,0,0,0.0,0.12134,0.11979,0.1206,0.11559
184,2025-06-10,Stability Open,6,7213.58,51183753654.0,3,34.42,0,0,0.0,-0.02539,-0.02957,-0.03246,-0.04056
185,2025-06-10,Together AI Multi-Lab,16,19910.2,137560170174.0,3,1561.82,0,0,0.0,0.03945,0.04428,0.03768,0.04618
186,2025-06-10,xAI Internal,49,100903.9,981085088451.0,14,1076.97,0,0,0.0,0.06908,0.07743,0.07942,0.07716
187,2025-06-11,Anthropic Research,52,93338.27,1077588122444.0,14,1161.86,0,0,0.0,0.09731,0.09298,0.09993,0.10075
188,2025-06-11,Cohere Inference,11,11419.6,82635716007.0,2,2752.34,0,0,0.0,0.03147,0.03267,0.02978,0.0299
189,2025-06-11,OpenAI Pretrain,47,95597.29,999890824330.0,14,1078.69,0,0,0.0,0.11559,0.12073,0.12024,0.11822
190,2025-06-11,Stability Open,6,7242.12,48734548117.0,0,36.22,0,0,0.0,-0.04056,-0.03312,-0.03236,-0.0324
191,2025-06-11,Together AI Multi-Lab,15,17235.4,117090847876.0,2,1419.75,0,0,0.0,0.04618,0.03987,0.03739,0.03783
192,2025-06-11,xAI Internal,45,84670.18,829227788122.0,14,973.02,0,0,0.0,0.07716,0.07746,0.0785,0.07104
193,2025-06-12,Anthropic Research,52,97946.46,1070949334470.0,15,1270.38,0,0,0.0,0.10075,0.10383,0.09862,0.09464
194,2025-06-12,Cohere Inference,11,13909.31,92926436960.0,3,2644.23,0,0,0.0,0.0299,0.02311,0.0314,0.03451
195,2025-06-12,OpenAI Pretrain,49,96581.98,953189813138.0,14,1118.41,0,0,0.0,0.11822,0.1326,0.11684,0.1088
196,2025-06-12,Stability Open,5,6009.62,39683958325.0,1,30.83,0,0,0.0,-0.0324,-0.02502,-0.03098,-0.01538
197,2025-06-12,Together AI Multi-Lab,16,18387.17,128483607077.0,3,1493.24,0,0,0.0,0.03783,0.03486,0.03719,0.03342
198,2025-06-12,xAI Internal,44,82373.1,995563061954.0,11,981.41,0,0,0.0,0.07104,0.09008,0.07719,0.08092
199,2025-06-13,Anthropic Research,52,103993.83,1028915298775.0,15,1086.0,0,1,0.0,0.09464,0.10335,0.10015,0.11405
200,2025-06-13,Cohere Inference,11,13288.14,92626614061.0,0,2906.39,0,0,0.0,0.03451,0.03168,0.03076,0.02718
201,2025-06-13,OpenAI Pretrain,48,89950.38,907174213436.0,15,1132.28,0,0,0.0,0.1088,0.12076,0.11668,0.11961
202,2025-06-13,Stability Open,6,7801.57,51774613056.0,2,31.89,0,0,0.0,-0.01538,-0.03773,-0.03013,-0.03178
203,2025-06-13,Together AI Multi-Lab,14,16769.8,108926774578.0,3,1461.9,0,0,0.0,0.03342,0.0344,0.03904,0.04735
204,2025-06-13,xAI Internal,46,88678.4,1011145442534.0,14,994.56,0,0,0.0,0.08092,0.08119,0.07654,0.07664
205,2025-06-14,Anthropic Research,50,99787.06,1010069133229.0,15,1146.26,0,0,0.0,0.11405,0.10026,0.09901,0.09228
