METRIC_ID,TOWER_ID,TIMESTAMP,LATENCY_MS,THROUGHPUT_MBPS,PACKET_LOSS_PCT,JITTER_MS,SIGNAL_STRENGTH_DBM,ACTIVE_CONNECTIONS,BANDWIDTH_UTILIZATION_PCT,ERROR_RATE
MET-2C4E1AE2-6,TWR-0004,2024-06-16T05:00:00,186.11,14.11,2.257,59.68,-75,765,41.0,2.737
MET-95B6DDAB-3,TWR-0004,2024-06-19T09:10:00,135.09,14.21,13.491,66.19,-88,345,44.6,3.677
MET-A2BBC375-5,TWR-0004,2024-07-27T12:15:00,173.88,44.77,6.964,67.36,-78,760,37.6,3.173
MET-B21F1000-4,TWR-0004,2024-08-11T13:10:00,147.02,39.47,3.831,47.69,-93,1760,67.3,1.998
MET-6A084141-D,TWR-0004,2024-08-26T21:36:00,153.88,6.82,6.934,41.27,-84,327,46.5,1.153
MET-7D211EC7-7,TWR-0004,2024-09-23T00:49:00,226.77,23.79,9.681,65.59,-79,1256,24.9,0.998
MET-F1AC50E5-D,TWR-0004,2024-10-06T00:24:00,233.49,38.96,10.655,54.46,-82,1340,65.0,1.881
MET-68E2ECA2-5,TWR-0004,2024-10-22T03:09:00,235.67,40.54,2.389,66.10,-94,1014,90.5,2.538
MET-E5379FD0-2,TWR-0004,2024-10-26T20:28:00,201.13,46.06,3.376,49.03,-94,1169,28.7,1.996
MET-AABD38C4-4,TWR-0004,2024-11-04T22:47:00,292.32,35.94,10.218,22.30,-83,1366,84.0,2.581
MET-106B0B50-0,TWR-0004,2024-11-09T18:29:00,134.84,40.33,11.539,54.66,-84,1420,54.5,1.437
MET-FF5EA3E5-5,TWR-0004,2024-11-20T22:26:00,82.40,47.88,4.289,56.29,-95,1945,83.0,1.848
MET-71FC0EF5-2,TWR-0004,2024-11-25T16:58:00,299.85,28.36,6.148,32.24,-78,730,75.0,2.743
MET-7A1D782F-E,TWR-0004,2024-11-26T04:33:00,295.40,46.83,10.868,52.59,-82,564,30.0,4.188
MET-74359A2A-7,TWR-0004,2024-11-30T07:56:00,116.34,22.81,6.093,41.31,-83,1272,77.4,0.057
MET-2F2A9802-0,TWR-0005,2024-01-19T11:39:00,147.28,28.50,9.884,59.51,-92,1150,42.6,2.628
MET-610E242E-1,TWR-0005,2024-02-02T00:54:00,112.60,42.32,11.457,33.32,-84,905,72.9,3.556
MET-5BE1AB73-3,TWR-0005,2024-02-15T14:58:00,288.77,10.95,7.909,22.09,-77,294,30.9,3.208
MET-ECFDAF5B-3,TWR-0005,2024-02-19T19:31:00,294.04,27.04,12.137,53.85,-90,1482,94.8,3.276
MET-F3E00569-B,TWR-0005,2024-03-09T01:14:00,291.80,45.16,11.186,27.98,-87,445,41.9,1.692
MET-38484EB2-D,TWR-0005,2024-03-21T23:05:00,131.13,11.84,3.789,36.35,-84,1279,26.8,0.325
MET-2F4D3201-4,TWR-0005,2024-03-25T02:10:00,219.37,28.46,5.168,33.09,-81,94,86.8,0.224
MET-B9CAD3C4-5,TWR-0005,2024-04-11T08:12:00,177.88,49.74,2.528,69.85,-94,182,21.2,4.477
MET-811CF5FE-1,TWR-0005,2024-04-13T02:01:00,240.79,34.25,11.574,23.81,-86,1336,94.5,0.508
MET-3756A924-9,TWR-0005,2024-05-19T18:16:00,231.81,41.30,11.505,45.12,-88,1911,60.8,1.463
MET-5F09F3F3-6,TWR-0005,2024-06-06T01:15:00,241.57,42.59,11.657,58.39,-76,200,70.1,2.174
MET-D96A9E1E-1,TWR-0005,2024-06-13T10:56:00,226.29,38.36,11.597,60.48,-87,227,81.7,1.566
MET-C06458CD-5,TWR-0005,2024-07-02T13:43:00,239.60,45.48,4.507,22.62,-94,103,52.8,3.490
MET-6BFBBE67-8,TWR-0005,2024-08-13T11:25:00,103.85,19.92,11.189,49.84,-88,833,85.5,3.959
MET-4CA1430E-F,TWR-0005,2024-08-30T04:16:00,264.86,45.19,2.146,37.31,-86,762,88.1,3.110
MET-C7F9DDEF-D,TWR-0005,2024-09-08T02:13:00,171.60,24.22,11.315,46.35,-83,1773,51.5,0.124
MET-6FD4260A-F,TWR-0005,2024-09-19T16:14:00,84.58,13.47,13.078,73.87,-75,980,47.7,2.450
MET-16B7BD82-3,TWR-0005,2024-11-15T11:52:00,117.09,30.98,2.222,23.42,-92,1212,38.3,4.671
MET-36FCE71F-2,TWR-0005,2024-12-01T14:50:00,217.29,38.74,13.004,22.17,-89,232,51.1,3.570
MET-1226AECE-9,TWR-0005,2024-12-16T09:18:00,235.64,30.32,7.385,47.40,-82,1075,54.8,0.775
MET-0CA2D18C-5,TWR-0006,2024-01-21T10:55:00,152.46,36.77,8.508,72.69,-93,1977,82.7,2.095
MET-C9DC53AA-A,TWR-0006,2024-01-30T12:03:00,289.02,32.43,8.828,57.11,-79,1025,41.5,2.978
MET-80C48AA6-B,TWR-0006,2024-02-01T09:31:00,286.43,34.70,5.473,30.62,-95,379,53.6,0.728
MET-AD0D9D42-E,TWR-0006,2024-02-10T01:13:00,168.94,35.11,14.659,34.76,-92,1720,47.5,2.584
MET-F8CA6ED3-B,TWR-0006,2024-02-15T02:31:00,171.36,24.15,12.276,66.88,-95,701,33.9,2.773
MET-F710A7A0-1,TWR-0006,2024-04-01T02:12:00,277.42,7.20,6.624,37.83,-87,772,56.9,1.559
MET-90D26D99-8,TWR-0006,2024-04-16T14:52:00,86.68,20.93,10.177,76.24,-80,448,28.2,0.868
MET-D69727E7-F,TWR-0006,2024-04-26T20:00:00,106.74,28.19,2.481,49.26,-75,1607,39.9,1.016
MET-36B7C25E-3,TWR-0006,2024-05-12T14:27:00,127.86,18.48,9.538,73.13,-78,343,51.4,2.646
MET-E81C4C16-1,TWR-0006,2024-05-23T02:24:00,291.61,24.68,6.305,41.46,-89,1983,52.1,3.192
MET-FD9E38AA-1,TWR-0006,2024-05-24T17:19:00,247.34,16.55,13.952,54.88,-92,1139,63.6,3.423
MET-7E0E82A4-9,TWR-0006,2024-06-28T12:33:00,95.02,36.91,5.739,70.17,-88,1965,60.3,3.398
MET-8E7B0C2C-1,TWR-0006,2024-09-03T18:45:00,296.43,20.90,9.673,53.32,-81,1672,87.6,2.490
MET-35777499-1,TWR-0006,2024-09-15T03:23:00,142.75,44.85,7.653,23.66,-82,1911,65.7,2.194
MET-47A7B207-8,TWR-0006,2024-09-19T09:15:00,225.46,32.33,4.514,50.98,-91,1439,76.8,4.781
MET-6C2B29B1-9,TWR-0006,2024-10-07T06:00:00,152.26,21.03,8.223,44.30,-91,241,38.2,2.611
MET-213D1F01-9,TWR-0006,2024-11-21T09:00:00,232.81,13.97,3.150,25.92,-78,841,36.0,3.670
MET-C4EE933A-7,TWR-0006,2024-11-28T23:26:00,120.97,18.39,7.901,47.48,-86,1541,55.3,4.433
MET-25DE03B2-3,TWR-0006,2024-11-30T11:50:00,124.35,22.31,12.134,67.20,-90,694,90.7,3.549
MET-8A3D54B6-E,TWR-0006,2024-12-11T01:15:00,228.99,32.32,7.533,35.47,-89,1044,69.1,1.400
MET-E3D2E942-D,TWR-0007,2024-03-02T16:31:00,215.54,43.62,3.386,35.66,-79,1101,77.2,3.860
MET-E85FAF14-A,TWR-0007,2024-04-04T05:18:00,85.11,9.37,5.475,70.16,-77,983,70.5,3.870
MET-ED7D4E5D-8,TWR-0007,2024-04-19T09:17:00,193.52,27.84,12.384,25.03,-80,918,21.5,2.437
MET-E43879A5-F,TWR-0007,2024-05-02T09:10:00,116.14,47.61,8.571,35.95,-82,61,62.1,0.580
MET-2444D471-C,TWR-0007,2024-05-03T00:36:00,169.89,11.68,2.650,54.79,-80,369,87.5,0.849
MET-062CC553-2,TWR-0007,2024-05-03T02:12:00,228.60,8.24,3.711,77.40,-83,1368,34.0,1.575
MET-5DBF0152-F,TWR-0007,2024-05-27T06:51:00,99.43,16.66,9.578,65.09,-94,522,51.8,4.968
MET-DD48A9AA-6,TWR-0007,2024-06-03T18:09:00,116.97,22.81,7.850,72.13,-80,969,84.6,0.695
MET-3EA3D70A-4,TWR-0007,2024-06-04T22:10:00,155.28,12.60,14.866,39.74,-84,780,48.6,3.445
MET-F98352E9-1,TWR-0007,2024-08-14T21:51:00,138.44,36.63,12.408,78.41,-85,1953,78.0,4.356
MET-7FCD12BB-6,TWR-0007,2024-09-05T13:04:00,82.44,10.85,7.624,58.94,-87,1292,56.2,1.911
MET-844D1991-B,TWR-0007,2024-09-08T03:02:00,279.07,44.15,2.446,69.98,-94,302,57.9,4.633
MET-D515E880-4,TWR-0007,2024-09-11T08:36:00,231.11,16.43,8.046,79.24,-77,191,77.3,0.456
MET-6B50F4CF-D,TWR-0007,2024-09-19T01:04:00,248.64,31.49,6.348,69.69,-92,178,29.1,4.823
MET-1445AE72-E,TWR-0007,2024-09-23T07:26:00,121.76,21.08,6.031,31.07,-93,1356,59.2,0.823
MET-7C8DF0CE-4,TWR-0007,2024-09-29T05:52:00,198.50,12.53,12.650,62.74,-85,1590,67.3,1.086
MET-A2BB555B-4,TWR-0007,2024-10-20T19:04:00,129.51,17.64,3.524,39.55,-78,1918,69.0,1.478
MET-BD603ED4-B,TWR-0007,2024-10-21T15:52:00,150.18,6.35,11.249,21.75,-87,418,36.1,3.569
MET-4786DD5F-A,TWR-0007,2024-11-04T00:25:00,214.73,6.51,8.316,57.06,-95,1546,46.3,0.154
MET-A42FE367-D,TWR-0007,2024-11-28T15:12:00,120.76,39.55,13.547,42.76,-86,1495,20.1,3.769
MET-F466BBD6-5,TWR-0008,2024-01-21T20:29:00,141.68,22.48,12.775,72.91,-79,1844,26.4,0.977
MET-019D2DDB-6,TWR-0008,2024-01-25T13:52:00,219.26,10.72,2.838,79.35,-82,821,33.6,2.578
MET-4E1CEA92-2,TWR-0008,2024-02-06T10:42:00,289.42,45.42,6.667,71.50,-94,1221,83.2,1.917
MET-13482D8E-2,TWR-0008,2024-02-22T02:04:00,222.15,49.65,14.347,72.03,-85,1489,83.0,1.315
MET-E0EEA964-8,TWR-0008,2024-03-19T00:17:00,159.31,11.47,14.605,48.35,-81,1590,66.6,2.523
MET-A0DBAF9F-B,TWR-0008,2024-04-22T04:52:00,201.65,37.98,3.316,31.88,-79,630,68.3,4.261
MET-C537D786-6,TWR-0008,2024-05-12T17:44:00,210.02,37.15,2.825,30.01,-94,1883,42.1,4.844
MET-DDD90589-F,TWR-0008,2024-05-29T09:35:00,200.50,21.82,9.037,49.91,-95,783,59.2,1.607
MET-BE387527-B,TWR-0008,2024-06-04T09:03:00,180.38,45.43,5.687,53.34,-91,1653,48.4,0.779
MET-2350810B-5,TWR-0008,2024-06-06T18:10:00,92.70,32.50,7.578,40.48,-85,1716,77.7,2.247
MET-1B218D1A-C,TWR-0008,2024-06-11T03:07:00,252.92,38.16,2.484,49.17,-91,762,24.1,4.217
MET-CCBE559F-8,TWR-0008,2024-08-05T02:00:00,220.64,23.87,12.628,74.34,-95,1612,73.1,0.701
MET-1B85E50C-A,TWR-0008,2024-09-07T10:49:00,273.74,32.24,2.872,75.09,-95,1287,61.7,2.801
MET-A8857F61-8,TWR-0008,2024-09-14T22:28:00,261.19,41.06,13.090,23.39,-88,1073,58.4,3.068
MET-155E0DC9-6,TWR-0008,2024-10-04T13:32:00,206.47,21.86,8.631,78.09,-90,1945,35.8,0.025
MET-3B30E4C9-C,TWR-0008,2024-10-19T14:07:00,146.32,6.46,5.018,64.25,-83,1004,92.0,4.018
MET-95BA5F95-6,TWR-0008,2024-10-20T14:01:00,256.35,34.96,4.930,22.97,-75,1243,60.5,0.854
MET-FC2F09D4-4,TWR-0008,2024-11-06T06:07:00,198.30,47.94,12.126,77.15,-82,1618,88.6,1.967
MET-CDAB36C5-1,TWR-0008,2024-11-09T12:03:00,185.67,12.51,9.206,70.47,-92,1013,51.9,1.724
MET-20413701-D,TWR-0008,2024-12-04T14:11:00,229.35,32.84,13.092,52.48,-89,1667,37.9,4.399
MET-E5FD2605-D,TWR-0009,2024-01-17T03:57:00,112.19,10.90,10.092,77.41,-80,135,27.1,1.251
MET-FC32C016-C,TWR-0009,2024-02-10T11:37:00,248.74,46.28,12.361,73.13,-93,201,78.0,2.943
MET-3F773464-D,TWR-0009,2024-02-11T07:02:00,267.46,32.70,7.846,60.50,-76,603,91.8,3.471
MET-3028B92E-8,TWR-0009,2024-03-07T16:31:00,99.47,21.14,7.396,72.02,-75,257,93.2,1.923
MET-91971540-5,TWR-0009,2024-04-16T00:55:00,289.29,19.11,12.439,66.68,-81,1407,80.6,2.780
MET-3A2E3141-7,TWR-0009,2024-04-22T14:01:00,209.55,35.13,4.179,61.18,-83,1348,36.2,2.568
MET-0F3BAD0F-E,TWR-0009,2024-04-28T08:40:00,285.99,12.54,3.630,67.76,-78,211,47.1,3.393
MET-7B54B3C1-0,TWR-0009,2024-05-19T22:23:00,251.71,40.64,2.361,39.88,-80,682,75.0,1.281
MET-34DBBF07-8,TWR-0009,2024-06-18T15:24:00,90.85,40.32,13.967,43.60,-78,1085,40.6,4.125
MET-B3109FC3-0,TWR-0009,2024-07-08T20:32:00,141.52,11.19,5.205,63.08,-86,1330,84.1,1.410
MET-0FD31E5B-A,TWR-0009,2024-08-12T11:35:00,276.72,6.49,14.210,35.92,-92,1920,78.4,3.100
MET-8CC3A604-C,TWR-0009,2024-08-17T20:13:00,147.96,35.10,14.438,41.44,-83,1508,80.3,1.949
MET-F61C6EC0-3,TWR-0009,2024-09-04T13:53:00,167.31,42.99,14.458,51.99,-91,677,70.8,2.517
MET-9816A9DD-8,TWR-0009,2024-09-23T07:50:00,196.27,47.82,13.553,25.98,-84,1174,86.3,3.790
MET-B3C976E8-2,TWR-0009,2024-10-04T04:22:00,164.46,49.10,3.200,27.25,-95,1112,87.0,2.082
MET-4577057A-E,TWR-0009,2024-10-12T05:54:00,105.42,35.95,10.583,55.78,-87,1319,87.3,2.531
MET-842C5546-D,TWR-0009,2024-10-16T21:25:00,155.53,26.40,9.160,43.33,-78,1678,32.0,0.279
MET-6E32CC6D-B,TWR-0009,2024-10-25T22:44:00,245.66,20.03,14.832,79.38,-78,1447,66.4,2.782
MET-E94746F0-6,TWR-0009,2024-11-28T02:42:00,170.62,19.09,5.422,32.85,-80,902,23.6,3.879
MET-BF2E47FF-0,TWR-0009,2024-12-11T12:50:00,242.09,33.11,6.183,36.64,-77,1002,47.6,1.701
MET-7651E441-7,TWR-0010,2024-01-17T03:42:00,283.39,38.07,9.261,44.48,-90,1349,24.1,2.090
MET-BBDA3804-5,TWR-0010,2024-01-19T06:12:00,260.94,19.70,12.022,26.72,-86,372,92.5,1.608
MET-B8BE9F1D-5,TWR-0010,2024-03-10T05:36:00,116.80,30.18,11.480,65.39,-75,635,77.9,2.444
MET-F78235D3-B,TWR-0010,2024-05-14T23:47:00,208.36,34.89,6.364,39.61,-95,607,21.4,1.136
MET-D9F0CD26-6,TWR-0010,2024-05-21T16:17:00,232.37,32.61,11.747,72.33,-88,87,60.3,1.344
MET-B8F5380C-A,TWR-0010,2024-05-30T20:51:00,163.91,5.54,10.707,32.11,-78,1038,82.2,3.258
MET-34583555-0,TWR-0010,2024-07-14T09:47:00,181.77,21.28,13.348,75.80,-92,106,30.7,2.232
MET-D1AC7521-8,TWR-0010,2024-07-16T07:36:00,183.59,18.96,7.608,58.61,-95,1807,78.2,2.872
MET-A8085003-5,TWR-0010,2024-07-20T09:59:00,121.40,43.11,14.992,38.02,-81,1490,93.8,2.464
MET-ECCEB989-A,TWR-0010,2024-07-25T07:38:00,254.63,27.76,6.451,72.10,-91,219,92.6,2.453
MET-0543FC4B-5,TWR-0010,2024-08-04T14:06:00,272.49,45.45,3.576,50.92,-88,855,86.1,2.588
MET-0664E282-B,TWR-0010,2024-08-08T18:48:00,162.53,21.73,10.682,35.59,-80,1721,79.0,0.444
MET-6724F909-4,TWR-0010,2024-08-11T20:14:00,219.89,7.46,3.148,43.22,-89,1193,75.4,0.351
MET-AA4DC5E7-A,TWR-0010,2024-09-01T22:44:00,112.54,39.72,2.917,73.15,-95,873,66.7,0.301
MET-63CF2406-D,TWR-0010,2024-09-03T07:57:00,157.67,30.91,3.579,41.62,-83,1574,30.2,3.072
MET-8778690F-0,TWR-0010,2024-09-30T00:00:00,259.13,38.12,6.979,39.81,-82,1141,67.4,1.845
MET-17190958-3,TWR-0010,2024-10-15T18:14:00,187.49,30.92,10.914,29.90,-95,1329,57.7,1.051
MET-F978ECEF-1,TWR-0010,2024-11-02T02:21:00,237.33,37.57,6.249,27.42,-78,604,70.0,3.873
MET-127FD6AC-C,TWR-0010,2024-11-25T14:36:00,127.46,21.81,12.871,47.27,-83,1151,54.7,3.956
MET-E6E91C0E-E,TWR-0010,2024-11-29T10:11:00,171.64,27.76,6.484,43.15,-85,1462,74.9,0.271
MET-8EBC3A52-9,TWR-0011,2024-01-08T04:43:00,265.88,38.09,7.491,57.79,-84,1225,26.1,3.010
MET-FA9B74CF-8,TWR-0011,2024-01-08T18:24:00,127.60,46.16,10.860,59.24,-77,1270,83.1,3.086
MET-46EE9AA1-C,TWR-0011,2024-01-12T03:46:00,173.26,19.60,10.512,72.98,-75,1868,46.3,4.828
MET-0D82F2A5-6,TWR-0011,2024-02-14T15:20:00,81.22,37.81,14.330,34.66,-93,612,58.0,0.726
MET-A07FC20C-D,TWR-0011,2024-02-26T01:14:00,281.25,46.83,10.506,69.05,-88,131,34.4,0.690
MET-56B4AA33-6,TWR-0011,2024-02-28T02:47:00,96.17,27.44,13.414,33.67,-86,695,39.4,2.585
MET-C27F47E7-D,TWR-0011,2024-05-05T03:19:00,210.38,41.35,9.954,40.34,-78,1185,69.2,4.454
MET-91C45D4F-8,TWR-0011,2024-07-19T17:08:00,178.92,43.65,14.502,68.87,-91,1367,38.9,2.210
MET-8F3B2147-0,TWR-0011,2024-07-21T01:06:00,292.49,30.53,11.594,62.17,-84,1416,71.3,4.531
MET-94CD36A9-6,TWR-0011,2024-07-30T19:48:00,94.83,47.57,2.298,62.81,-79,644,50.8,1.338
MET-9CC8879D-9,TWR-0011,2024-09-03T11:09:00,105.55,25.62,4.159,65.72,-79,1736,24.0,0.587
MET-BBCAA7C5-A,TWR-0011,2024-09-03T15:10:00,190.90,18.68,6.271,48.08,-80,1890,65.4,0.558
MET-E02FBF81-F,TWR-0011,2024-09-19T15:57:00,262.78,48.44,12.739,36.41,-75,1358,64.9,2.548
MET-65036276-E,TWR-0011,2024-09-21T23:53:00,214.69,34.05,10.530,24.05,-80,1751,32.8,3.130
MET-FE4115D5-E,TWR-0011,2024-09-28T08:02:00,194.78,40.80,9.357,27.93,-83,71,80.0,2.283
MET-D74D4419-4,TWR-0011,2024-09-28T12:52:00,121.71,14.40,12.527,38.85,-80,1411,92.4,4.208
MET-A77245F2-9,TWR-0011,2024-10-06T06:33:00,150.00,15.43,5.856,33.28,-78,809,48.3,0.635
MET-7E7B7566-E,TWR-0011,2024-10-19T19:22:00,291.21,15.89,10.956,23.20,-83,444,85.9,3.528
MET-D8137DB6-F,TWR-0011,2024-10-25T18:04:00,88.87,21.88,13.389,48.00,-89,1107,69.7,2.101
MET-45970767-3,TWR-0011,2024-10-25T21:57:00,108.70,46.54,12.332,46.59,-80,894,60.9,3.540
MET-5E4DEC8A-B,TWR-0012,2024-01-06T10:45:00,258.64,20.94,6.606,65.40,-76,1793,41.1,3.478
MET-CB400DE3-9,TWR-0012,2024-02-02T10:18:00,136.13,32.72,6.026,52.29,-84,1342,34.1,3.635
MET-0B52A621-8,TWR-0012,2024-02-03T15:22:00,254.62,24.26,13.247,27.53,-86,1097,30.5,0.123
