TOWER_ID,UPGRADE_TIER,CAPACITY_INCREASE_GBPS,COST_USD,INSTALL_WEEKS
TWR-0020,GOLD,8,495172,14
TWR-0021,BRONZE,4,86580,4
TWR-0021,SILVER,7,183638,6
TWR-0021,GOLD,9,406258,9
TWR-0022,BRONZE,2,75004,5
TWR-0022,SILVER,5,229674,6
TWR-0022,GOLD,11,319960,15
TWR-0023,BRONZE,4,57089,3
TWR-0023,SILVER,7,165603,6
TWR-0023,GOLD,12,474509,11
TWR-0024,BRONZE,4,115161,3
TWR-0024,SILVER,7,245457,7
TWR-0024,GOLD,11,333121,8
TWR-0025,BRONZE,4,99648,5
TWR-0025,SILVER,6,187833,8
TWR-0025,GOLD,12,476219,15
TWR-0026,BRONZE,2,110792,2
TWR-0026,SILVER,7,159449,4
TWR-0026,GOLD,11,368069,15
TWR-0027,BRONZE,2,99040,4
TWR-0027,SILVER,7,259171,6
TWR-0027,GOLD,9,406500,13
TWR-0028,BRONZE,4,62073,2
TWR-0028,SILVER,6,193203,8
TWR-0028,GOLD,9,324119,9
TWR-0029,BRONZE,4,92390,5
TWR-0029,SILVER,5,142197,6
TWR-0029,GOLD,8,321415,15
TWR-0030,BRONZE,3,54905,2
TWR-0030,SILVER,6,264541,7
TWR-0030,GOLD,10,424012,15
TWR-0031,BRONZE,2,84001,3
TWR-0031,SILVER,5,212646,7
TWR-0031,GOLD,11,300999,11
TWR-0032,BRONZE,3,60894,4
TWR-0032,SILVER,6,246975,7
TWR-0032,GOLD,12,387676,9
TWR-0033,BRONZE,3,96450,3
TWR-0033,SILVER,6,267779,7
TWR-0033,GOLD,11,506165,8
TWR-0034,BRONZE,3,68634,3
TWR-0034,SILVER,7,249777,6
TWR-0034,GOLD,10,427978,15
TWR-0035,BRONZE,2,89625,2
TWR-0035,SILVER,7,165772,4
TWR-0035,GOLD,12,459961,16
TWR-0036,BRONZE,3,69357,4
TWR-0036,SILVER,7,271352,5
TWR-0036,GOLD,11,480235,14
TWR-0037,BRONZE,3,61063,4
TWR-0037,SILVER,5,197702,6
TWR-0037,GOLD,8,389039,10
TWR-0038,BRONZE,2,95324,4
TWR-0038,SILVER,7,234844,4
TWR-0038,GOLD,8,479120,8
TWR-0039,BRONZE,3,76517,2
TWR-0039,SILVER,6,245548,8
TWR-0039,GOLD,10,389936,9
TWR-0040,BRONZE,2,108845,5
TWR-0040,SILVER,7,148735,6
TWR-0040,GOLD,11,492572,11
TWR-0041,BRONZE,2,113670,2
TWR-0041,SILVER,7,184932,4
TWR-0041,GOLD,10,375735,11
TWR-0042,BRONZE,2,97100,3
TWR-0042,SILVER,5,189843,4
TWR-0042,GOLD,10,412443,15
TWR-0043,BRONZE,4,56050,2
TWR-0043,SILVER,6,140078,8
TWR-0043,GOLD,12,389401,16
TWR-0044,BRONZE,3,88184,5
TWR-0044,SILVER,6,236934,5
TWR-0044,GOLD,10,476338,16
TWR-0045,BRONZE,2,52534,4
TWR-0045,SILVER,5,232376,6
TWR-0045,GOLD,12,326305,8
TWR-0046,BRONZE,2,54430,2
TWR-0046,SILVER,7,233856,7
TWR-0046,GOLD,10,341402,15
TWR-0047,BRONZE,4,67527,5
TWR-0047,SILVER,6,181859,5
TWR-0047,GOLD,10,293331,10
TWR-0048,BRONZE,4,84775,2
TWR-0048,SILVER,5,234072,8
TWR-0048,GOLD,11,326137,14
TWR-0049,BRONZE,2,91437,4
TWR-0049,SILVER,7,253781,4
TWR-0049,GOLD,8,504319,10
TWR-0050,BRONZE,2,63386,3
TWR-0050,SILVER,7,268485,7
TWR-0050,GOLD,9,453861,15
TWR-0051,BRONZE,3,91523,3
TWR-0051,SILVER,7,221870,4
TWR-0051,GOLD,12,417867,11
TWR-0052,BRONZE,2,98897,2
TWR-0052,SILVER,5,233343,5
TWR-0052,GOLD,11,350298,14
TWR-0053,BRONZE,4,100888,4
TWR-0053,SILVER,7,185175,6
TWR-0053,GOLD,8,369942,12
TWR-0054,BRONZE,4,113202,4
TWR-0054,SILVER,5,160001,6
TWR-0054,GOLD,10,504072,9
TWR-0055,BRONZE,3,104524,3
TWR-0055,SILVER,5,149509,7
TWR-0055,GOLD,11,459135,15
TWR-0056,BRONZE,4,63122,3
TWR-0056,SILVER,5,260869,4
TWR-0056,GOLD,11,362465,8
TWR-0057,BRONZE,3,77389,4
TWR-0057,SILVER,6,158523,4
TWR-0057,GOLD,8,390531,10
TWR-0058,BRONZE,2,72181,5
TWR-0058,SILVER,7,184284,6
TWR-0058,GOLD,8,384757,13
TWR-0059,BRONZE,2,110031,5
TWR-0059,SILVER,7,161679,8
TWR-0059,GOLD,8,492872,9
TWR-0060,BRONZE,3,116403,4
TWR-0060,SILVER,5,185696,5
TWR-0060,GOLD,12,384828,8
TWR-0061,BRONZE,2,88802,2
TWR-0061,SILVER,5,220611,8
TWR-0061,GOLD,8,368020,11
TWR-0062,BRONZE,4,105050,5
TWR-0062,SILVER,6,155795,8
TWR-0062,GOLD,11,442004,11
TWR-0063,BRONZE,4,78229,3
TWR-0063,SILVER,5,228999,7
TWR-0063,GOLD,9,368928,10
TWR-0064,BRONZE,4,74029,5
TWR-0064,SILVER,5,189270,4
TWR-0064,GOLD,8,296618,8
TWR-0065,BRONZE,4,69167,4
TWR-0065,SILVER,7,203085,5
TWR-0065,GOLD,11,461174,8
TWR-0066,BRONZE,4,58614,3
TWR-0066,SILVER,7,214194,6
TWR-0066,GOLD,12,393190,13
TWR-0067,BRONZE,3,57855,3
TWR-0067,SILVER,7,179298,8
TWR-0067,GOLD,12,466819,8
TWR-0068,BRONZE,4,118689,5
TWR-0068,SILVER,6,221881,6
TWR-0068,GOLD,9,399874,16
TWR-0069,BRONZE,2,59023,5
TWR-0069,SILVER,7,206576,5
TWR-0069,GOLD,8,444979,12
TWR-0070,BRONZE,4,75385,5
TWR-0070,SILVER,7,154171,7
TWR-0070,GOLD,11,383797,9
TWR-0071,BRONZE,2,57847,3
TWR-0071,SILVER,6,210725,8
TWR-0071,GOLD,11,515783,14
TWR-0072,BRONZE,3,107157,5
TWR-0072,SILVER,7,167451,7
TWR-0072,GOLD,9,363070,14
TWR-0073,BRONZE,3,105020,4
TWR-0073,SILVER,7,152167,4
TWR-0073,GOLD,9,371943,15
TWR-0074,BRONZE,2,87821,5
TWR-0074,SILVER,6,176762,5
TWR-0074,GOLD,10,431633,13
TWR-0075,BRONZE,4,50038,3
TWR-0075,SILVER,6,188709,7
TWR-0075,GOLD,8,355795,8
TWR-0076,BRONZE,3,117494,5
TWR-0076,SILVER,5,147723,6
TWR-0076,GOLD,9,343171,14
TWR-0077,BRONZE,2,91887,2
TWR-0077,SILVER,7,142674,4
TWR-0077,GOLD,10,491939,13
TWR-0078,BRONZE,3,69383,2
TWR-0078,SILVER,6,205505,7
TWR-0078,GOLD,10,359150,9
TWR-0079,BRONZE,2,65357,3
TWR-0079,SILVER,5,249348,6
TWR-0079,GOLD,9,309112,9
TWR-0080,BRONZE,2,72519,3
TWR-0080,SILVER,5,236094,6
TWR-0080,GOLD,12,494118,8
TWR-0081,BRONZE,4,118064,5
TWR-0081,SILVER,7,150884,8
TWR-0081,GOLD,12,413358,16
TWR-0082,BRONZE,3,87308,5
TWR-0082,SILVER,7,212667,7
TWR-0082,GOLD,12,439206,16
TWR-0083,BRONZE,3,87132,4
TWR-0083,SILVER,6,156794,6
TWR-0083,GOLD,8,448564,15
TWR-0084,BRONZE,4,110549,4
TWR-0084,SILVER,6,139352,4
TWR-0084,GOLD,12,469179,11
TWR-0085,BRONZE,4,67235,5
TWR-0085,SILVER,5,236483,4
TWR-0085,GOLD,11,395119,13
TWR-0086,BRONZE,2,75875,2
TWR-0086,SILVER,6,130791,8
TWR-0086,GOLD,8,409980,16
TWR-0087,BRONZE,3,87902,5
TWR-0087,SILVER,5,214357,6
TWR-0087,GOLD,11,428182,12
TWR-0088,BRONZE,3,69939,3
TWR-0088,SILVER,7,228586,7
TWR-0088,GOLD,8,378929,9
TWR-0089,BRONZE,4,119631,3
TWR-0089,SILVER,6,232756,4
TWR-0089,GOLD,10,339916,12
TWR-0090,BRONZE,4,101758,2
TWR-0090,SILVER,5,183097,7
TWR-0090,GOLD,9,396569,10
TWR-0091,BRONZE,3,83379,2
TWR-0091,SILVER,5,151354,6
TWR-0091,GOLD,8,297502,15
TWR-0092,BRONZE,4,85782,4
TWR-0092,SILVER,5,141260,4
TWR-0092,GOLD,8,315630,14
TWR-0093,BRONZE,4,101217,3
TWR-0093,SILVER,6,183793,4
TWR-0093,GOLD,10,413263,9
TWR-0094,BRONZE,2,82931,2
TWR-0094,SILVER,6,181900,7
TWR-0094,GOLD,11,375268,11
TWR-0095,BRONZE,3,52854,2
TWR-0095,SILVER,5,172594,6
TWR-0095,GOLD,9,410095,14
TWR-0096,BRONZE,4,87171,4
TWR-0096,SILVER,6,204584,7
TWR-0096,GOLD,10,370917,16
TWR-0097,BRONZE,4,110361,5
TWR-0097,SILVER,6,273928,7
TWR-0097,GOLD,12,294699,8
TWR-0098,BRONZE,2,119802,3
TWR-0098,SILVER,5,243215,7
TWR-0098,GOLD,12,423152,14
TWR-0099,BRONZE,3,99447,4
TWR-0099,SILVER,5,155100,8
TWR-0099,GOLD,8,309962,15
TWR-0100,BRONZE,4,81272,2
TWR-0100,SILVER,6,135007,5
TWR-0100,GOLD,10,492493,9
TWR-0101,BRONZE,3,52017,3
TWR-0101,SILVER,7,135402,7
TWR-0101,GOLD,12,357376,14
TWR-0102,BRONZE,3,114270,4
TWR-0102,SILVER,7,154127,5
TWR-0102,GOLD,10,497831,13
TWR-0103,BRONZE,2,111999,4
TWR-0103,SILVER,6,187635,7
TWR-0103,GOLD,12,405387,15
TWR-0104,BRONZE,4,55173,5
TWR-0104,SILVER,6,209583,7
TWR-0104,GOLD,8,498713,15
TWR-0105,BRONZE,4,92070,2
TWR-0105,SILVER,6,172280,6
TWR-0105,GOLD,12,330013,12
TWR-0106,BRONZE,3,115071,4
TWR-0106,SILVER,6,187565,5
TWR-0106,GOLD,8,453379,14
TWR-0107,BRONZE,2,81961,5
TWR-0107,SILVER,7,141997,4
TWR-0107,GOLD,8,406007,16
TWR-0108,BRONZE,2,99076,4
TWR-0108,SILVER,7,217144,8
TWR-0108,GOLD,10,351002,16
TWR-0109,BRONZE,3,72821,4
TWR-0109,SILVER,6,242133,7
TWR-0109,GOLD,8,410762,15
TWR-0110,BRONZE,3,100414,5
TWR-0110,SILVER,6,234352,4
TWR-0110,GOLD,8,450514,9
TWR-0111,BRONZE,4,110890,5
TWR-0111,SILVER,5,178811,6
TWR-0111,GOLD,8,498370,16
TWR-0112,BRONZE,4,69451,2
TWR-0112,SILVER,7,241070,8
TWR-0112,GOLD,9,328739,16
TWR-0113,BRONZE,2,90096,3
TWR-0113,SILVER,6,190362,4
TWR-0113,GOLD,11,347421,9
TWR-0114,BRONZE,3,70350,4
TWR-0114,SILVER,6,208007,6
TWR-0114,GOLD,12,313662,8
TWR-0115,BRONZE,4,72602,4
TWR-0115,SILVER,6,244520,7
TWR-0115,GOLD,9,405554,10
TWR-0116,BRONZE,3,88148,2
TWR-0116,SILVER,5,234437,4
TWR-0116,GOLD,12,437775,15
TWR-0117,BRONZE,3,99086,2
TWR-0117,SILVER,6,176612,7
TWR-0117,GOLD,9,468649,16
TWR-0118,BRONZE,2,54377,3
TWR-0118,SILVER,6,260208,6
TWR-0118,GOLD,12,457799,14
TWR-0119,BRONZE,4,71635,4
TWR-0119,SILVER,7,275258,5
TWR-0119,GOLD,11,341543,16
TWR-0120,BRONZE,3,111263,4
TWR-0120,SILVER,5,182699,7
TWR-0120,GOLD,11,416504,14
TWR-0121,BRONZE,3,62615,2
TWR-0121,SILVER,5,150673,7
TWR-0121,GOLD,12,503268,13
TWR-0122,BRONZE,4,96047,2
TWR-0122,SILVER,6,215459,6
TWR-0122,GOLD,12,516837,10
TWR-0123,BRONZE,2,95023,2
TWR-0123,SILVER,6,269860,7
TWR-0123,GOLD,12,297384,14
TWR-0124,BRONZE,2,55206,3
TWR-0124,SILVER,7,192801,8
TWR-0124,GOLD,8,440937,11
TWR-0125,BRONZE,2,87905,4
TWR-0125,SILVER,5,228076,5
TWR-0125,GOLD,12,330777,10
TWR-0126,BRONZE,4,67298,2
TWR-0126,SILVER,6,224112,6
TWR-0126,GOLD,10,314691,10
TWR-0127,BRONZE,2,109786,3
TWR-0127,SILVER,6,169034,7
TWR-0127,GOLD,8,311541,10
TWR-0128,BRONZE,2,72546,3
TWR-0128,SILVER,7,195157,4
TWR-0128,GOLD,12,436058,11
TWR-0129,BRONZE,3,72961,3
TWR-0129,SILVER,5,254670,5
TWR-0129,GOLD,11,302042,8
TWR-0130,BRONZE,3,52661,5
TWR-0130,SILVER,5,213409,5
TWR-0130,GOLD,9,322336,10
TWR-0131,BRONZE,2,89977,2
TWR-0131,SILVER,5,147287,8
TWR-0131,GOLD,9,422972,11
TWR-0132,BRONZE,3,109785,4
TWR-0132,SILVER,6,160039,8
TWR-0132,GOLD,8,418223,13
TWR-0133,BRONZE,4,61200,3
TWR-0133,SILVER,5,167051,8
TWR-0133,GOLD,8,471337,16
TWR-0134,BRONZE,2,75241,5
TWR-0134,SILVER,7,140136,8
TWR-0134,GOLD,12,361708,11
TWR-0135,BRONZE,2,86273,5
TWR-0135,SILVER,7,275264,4
TWR-0135,GOLD,12,498784,11
TWR-0136,BRONZE,2,65796,5
TWR-0136,SILVER,5,143722,4
TWR-0136,GOLD,8,471549,8
TWR-0137,BRONZE,4,77845,4
TWR-0137,SILVER,6,251677,7
TWR-0137,GOLD,8,480560,8
TWR-0138,BRONZE,3,110655,4
TWR-0138,SILVER,6,178922,7
TWR-0138,GOLD,11,476512,16
TWR-0139,BRONZE,3,74871,4
TWR-0139,SILVER,6,160820,5
TWR-0139,GOLD,10,342305,10
TWR-0140,BRONZE,3,59449,2
TWR-0140,SILVER,7,255220,5
TWR-0140,GOLD,8,396103,9
TWR-0141,BRONZE,4,54800,4
TWR-0141,SILVER,6,199980,7
TWR-0141,GOLD,9,499322,16
TWR-0142,BRONZE,3,76997,2
TWR-0142,SILVER,7,238848,6
TWR-0142,GOLD,11,374632,14
TWR-0143,BRONZE,4,81040,4
TWR-0143,SILVER,6,140871,4
TWR-0143,GOLD,9,347503,9
TWR-0144,BRONZE,4,92417,2
TWR-0144,SILVER,7,175240,8
TWR-0144,GOLD,9,309404,9
TWR-0145,BRONZE,3,114705,4
TWR-0145,SILVER,5,177691,6
TWR-0145,GOLD,10,483088,8
TWR-0146,BRONZE,2,100438,2
TWR-0146,SILVER,7,181284,5
TWR-0146,GOLD,8,468001,9
TWR-0147,BRONZE,2,91381,2
TWR-0147,SILVER,5,162749,7
TWR-0147,GOLD,11,500570,16
TWR-0148,BRONZE,2,65074,2
TWR-0148,SILVER,5,131709,6
TWR-0148,GOLD,8,298855,11
TWR-0149,BRONZE,4,84233,3
TWR-0149,SILVER,5,232027,5
TWR-0149,GOLD,12,322271,15
TWR-0150,BRONZE,4,75606,3
TWR-0150,SILVER,7,240150,4
TWR-0150,GOLD,10,460220,11
TWR-0151,BRONZE,4,93846,3
TWR-0151,SILVER,5,135277,7
TWR-0151,GOLD,11,375341,12
TWR-0152,BRONZE,3,111814,4
TWR-0152,SILVER,6,213762,4
TWR-0152,GOLD,11,498840,8
TWR-0153,BRONZE,2,84228,5
TWR-0153,SILVER,5,241523,5
TWR-0153,GOLD,8,333531,12
TWR-0154,BRONZE,3,82321,4
TWR-0154,SILVER,7,254635,7
TWR-0154,GOLD,10,340329,14
TWR-0155,BRONZE,4,112236,4
TWR-0155,SILVER,5,215454,7
TWR-0155,GOLD,12,365425,15
TWR-0156,BRONZE,2,76382,5
TWR-0156,SILVER,5,160968,8
TWR-0156,GOLD,12,314099,15
TWR-0157,BRONZE,3,111505,3
TWR-0157,SILVER,6,164802,6
TWR-0157,GOLD,10,382594,10
TWR-0158,BRONZE,3,61764,5
TWR-0158,SILVER,6,188163,8
TWR-0158,GOLD,10,451568,16
TWR-0159,BRONZE,4,74802,4
TWR-0159,SILVER,7,205039,5
TWR-0159,GOLD,10,295766,15
TWR-0160,BRONZE,3,67919,3
TWR-0160,SILVER,5,248001,6
TWR-0160,GOLD,8,395727,8
TWR-0161,BRONZE,3,110178,4
TWR-0161,SILVER,6,206762,6
TWR-0161,GOLD,8,341774,15
TWR-0162,BRONZE,4,60198,5
TWR-0162,SILVER,5,207504,8
TWR-0162,GOLD,9,508251,16
TWR-0163,BRONZE,3,112472,2
TWR-0163,SILVER,6,173877,7
TWR-0163,GOLD,9,391124,14
TWR-0164,BRONZE,2,108944,4
TWR-0164,SILVER,5,230370,5
TWR-0164,GOLD,10,430380,15
TWR-0165,BRONZE,3,81629,3
TWR-0165,SILVER,7,256269,5
TWR-0165,GOLD,8,511216,9
TWR-0166,BRONZE,2,58310,2
TWR-0166,SILVER,5,220510,6
TWR-0166,GOLD,8,439987,9
TWR-0167,BRONZE,3,101033,3
TWR-0167,SILVER,5,264459,8
TWR-0167,GOLD,12,325777,10
TWR-0168,BRONZE,3,61786,3
TWR-0168,SILVER,5,202059,7
TWR-0168,GOLD,10,456065,11
TWR-0169,BRONZE,3,72990,2
TWR-0169,SILVER,5,157495,7
TWR-0169,GOLD,8,398903,9
TWR-0170,BRONZE,3,68931,2
TWR-0170,SILVER,6,263709,7
TWR-0170,GOLD,9,485271,16
TWR-0171,BRONZE,4,65208,2
TWR-0171,SILVER,7,263339,6
TWR-0171,GOLD,10,412525,15
TWR-0172,BRONZE,2,97484,5
TWR-0172,SILVER,5,172385,4
TWR-0172,GOLD,11,352599,8
TWR-0173,BRONZE,3,89110,2
TWR-0173,SILVER,7,213813,6
TWR-0173,GOLD,9,437963,14
TWR-0174,BRONZE,4,77163,4
TWR-0174,SILVER,5,162714,8
TWR-0174,GOLD,9,352920,14
TWR-0175,BRONZE,4,68976,2
TWR-0175,SILVER,6,267712,4
TWR-0175,GOLD,9,503968,14
TWR-0176,BRONZE,3,73511,3
TWR-0176,SILVER,5,251729,6
TWR-0176,GOLD,11,491865,8
TWR-0177,BRONZE,4,71494,3
TWR-0177,SILVER,6,174595,5
TWR-0177,GOLD,11,362979,13
TWR-0178,BRONZE,3,72768,2
TWR-0178,SILVER,7,147912,6
TWR-0178,GOLD,9,517257,8
TWR-0179,BRONZE,3,85715,5
TWR-0179,SILVER,5,254949,4
TWR-0179,GOLD,9,482544,11
TWR-0180,BRONZE,3,77404,5
TWR-0180,SILVER,5,277509,5
TWR-0180,GOLD,10,350146,15
TWR-0181,BRONZE,4,61168,2
TWR-0181,SILVER,7,205382,6
TWR-0181,GOLD,9,445571,16
TWR-0182,BRONZE,2,98542,5
TWR-0182,SILVER,5,192623,6
TWR-0182,GOLD,11,448068,16
TWR-0183,BRONZE,3,111132,4
TWR-0183,SILVER,5,231135,6
TWR-0183,GOLD,11,439191,8
TWR-0184,BRONZE,3,50943,3
TWR-0184,SILVER,6,228006,4
TWR-0184,GOLD,12,459722,10
TWR-0185,BRONZE,3,58983,3
TWR-0185,SILVER,7,262341,6
TWR-0185,GOLD,9,498286,12
TWR-0186,BRONZE,4,99603,3
TWR-0186,SILVER,5,225000,8
TWR-0186,GOLD,12,487773,11
TWR-0187,BRONZE,4,50967,3
TWR-0187,SILVER,6,176693,4
TWR-0187,GOLD,8,505621,11
TWR-0188,BRONZE,2,93352,3
TWR-0188,SILVER,6,271943,6
TWR-0188,GOLD,8,506682,8
TWR-0189,BRONZE,4,57254,3
TWR-0189,SILVER,7,155292,8
TWR-0189,GOLD,9,378458,16
TWR-0190,BRONZE,4,70595,4
TWR-0190,SILVER,6,144972,5
TWR-0190,GOLD,9,398981,16
TWR-0191,BRONZE,3,61598,4
TWR-0191,SILVER,6,188118,5
TWR-0191,GOLD,11,418251,11
TWR-0192,BRONZE,2,58443,2
TWR-0192,SILVER,6,137019,4
TWR-0192,GOLD,12,351663,9
TWR-0193,BRONZE,4,79093,2
TWR-0193,SILVER,6,133086,5
TWR-0193,GOLD,12,472618,11
TWR-0194,BRONZE,3,90866,4
TWR-0194,SILVER,7,211450,4
TWR-0194,GOLD,12,367226,15
TWR-0195,BRONZE,4,65256,4
TWR-0195,SILVER,7,183649,7
TWR-0195,GOLD,10,501413,16
TWR-0196,BRONZE,4,65426,4
TWR-0196,SILVER,7,197490,4
TWR-0196,GOLD,9,408417,15
TWR-0197,BRONZE,4,114089,5
TWR-0197,SILVER,5,279339,6
TWR-0197,GOLD,8,319714,10
TWR-0198,BRONZE,2,57773,3
TWR-0198,SILVER,6,176674,7
TWR-0198,GOLD,11,381962,8
TWR-0199,BRONZE,2,92964,3
TWR-0199,SILVER,6,256397,7
TWR-0199,GOLD,11,312236,14
TWR-0200,BRONZE,2,79069,4
TWR-0200,SILVER,7,236753,5
TWR-0200,GOLD,10,373334,12
TWR-0201,BRONZE,4,117548,3
TWR-0201,SILVER,5,262490,4
TWR-0201,GOLD,9,509154,15
TWR-0202,BRONZE,4,112209,2
TWR-0202,SILVER,5,258589,6
TWR-0202,GOLD,9,399823,15
TWR-0203,BRONZE,3,94000,4
TWR-0203,SILVER,6,272919,8
TWR-0203,GOLD,10,476155,14
TWR-0204,BRONZE,2,109278,4
TWR-0204,SILVER,7,248426,8
TWR-0204,GOLD,10,304072,10
TWR-0205,BRONZE,2,66413,4
TWR-0205,SILVER,7,244417,6
TWR-0205,GOLD,10,409330,11
TWR-0206,BRONZE,3,115919,2
TWR-0206,SILVER,6,142194,8
TWR-0206,GOLD,8,440253,8
TWR-0207,BRONZE,3,112893,5
TWR-0207,SILVER,5,229212,5
TWR-0207,GOLD,11,413581,15
TWR-0208,BRONZE,4,74777,2
TWR-0208,SILVER,5,162396,4
TWR-0208,GOLD,11,497602,12
TWR-0209,BRONZE,3,91616,5
TWR-0209,SILVER,5,209016,8
TWR-0209,GOLD,8,423110,8
TWR-0210,BRONZE,4,95850,5
TWR-0210,SILVER,5,239824,7
TWR-0210,GOLD,8,464648,14
TWR-0211,BRONZE,3,89443,5
TWR-0211,SILVER,5,188906,5
TWR-0211,GOLD,12,328833,8
TWR-0212,BRONZE,4,77739,5
TWR-0212,SILVER,5,235128,8
TWR-0212,GOLD,11,357726,13
TWR-0213,BRONZE,4,109869,3
TWR-0213,SILVER,5,195023,5
TWR-0213,GOLD,11,426103,12
TWR-0214,BRONZE,4,64966,5
TWR-0214,SILVER,6,276438,6
TWR-0214,GOLD,11,333614,10
TWR-0215,BRONZE,3,66145,2
TWR-0215,SILVER,6,169516,7
TWR-0215,GOLD,10,407988,15
TWR-0216,BRONZE,2,104876,3
TWR-0216,SILVER,7,252565,5
TWR-0216,GOLD,9,463167,13
TWR-0217,BRONZE,2,68880,5
TWR-0217,SILVER,6,266685,7
TWR-0217,GOLD,9,337661,16
TWR-0218,BRONZE,4,91616,4
TWR-0218,SILVER,6,176914,8
TWR-0218,GOLD,12,498461,15
TWR-0219,BRONZE,4,86479,3
TWR-0219,SILVER,5,176307,6
TWR-0219,GOLD,8,365865,16
TWR-0220,BRONZE,2,77517,4
TWR-0220,SILVER,7,268260,8
TWR-0220,GOLD,8,315659,14
TWR-0221,BRONZE,4,93520,5
TWR-0221,SILVER,7,182638,8
TWR-0221,GOLD,11,376354,13
TWR-0222,BRONZE,3,56935,3
TWR-0222,SILVER,5,172632,6
TWR-0222,GOLD,10,487394,8
TWR-0223,BRONZE,4,67368,3
TWR-0223,SILVER,5,131995,4
TWR-0223,GOLD,9,378464,10
TWR-0224,BRONZE,2,73654,2
TWR-0224,SILVER,7,230308,4
TWR-0224,GOLD,11,498925,16
TWR-0225,BRONZE,2,114420,3
TWR-0225,SILVER,7,160556,7
TWR-0225,GOLD,12,351315,14
TWR-0226,BRONZE,2,99674,5
TWR-0226,SILVER,5,273945,7
TWR-0226,GOLD,10,365270,12
TWR-0227,BRONZE,4,50376,5
TWR-0227,SILVER,5,261445,6
TWR-0227,GOLD,12,331812,8
TWR-0228,BRONZE,3,104469,5
TWR-0228,SILVER,7,250117,7
TWR-0228,GOLD,12,329223,10
TWR-0229,BRONZE,2,80233,3
TWR-0229,SILVER,6,212922,6
TWR-0229,GOLD,11,519787,8
TWR-0230,BRONZE,2,79230,2
TWR-0230,SILVER,7,188179,4
TWR-0230,GOLD,10,334146,11
TWR-0231,BRONZE,3,72355,5
TWR-0231,SILVER,5,147243,6
TWR-0231,GOLD,8,448517,12
TWR-0232,BRONZE,2,73555,5
TWR-0232,SILVER,7,226168,8
TWR-0232,GOLD,8,458356,8
TWR-0233,BRONZE,3,53595,3
TWR-0233,SILVER,5,168091,7
TWR-0233,GOLD,11,506397,16
TWR-0234,BRONZE,2,114370,3
TWR-0234,SILVER,7,259878,8
TWR-0234,GOLD,10,462612,11
TWR-0235,BRONZE,2,83126,2
TWR-0235,SILVER,5,150098,5
TWR-0235,GOLD,11,511264,15
TWR-0236,BRONZE,3,111761,3
TWR-0236,SILVER,7,272047,4
TWR-0236,GOLD,9,354515,9
TWR-0237,BRONZE,2,117573,2
TWR-0237,SILVER,6,260905,7
TWR-0237,GOLD,10,295177,11
TWR-0238,BRONZE,2,110516,5
TWR-0238,SILVER,5,153328,8
TWR-0238,GOLD,12,516139,14
TWR-0239,BRONZE,3,76496,2
TWR-0239,SILVER,7,278963,8
TWR-0239,GOLD,10,489380,8
TWR-0240,BRONZE,3,57522,4
