EQUIPMENT_ID,TOWER_ID,EQUIPMENT_TYPE,PART_ID,MANUFACTURER,MODEL,SERIAL_NUMBER,INSTALL_DATE,FIRMWARE_VERSION,STATUS
EQP-00069,TWR-0009,TRANSCEIVER,PART-TRX-H1,Mediatek,TRX-H1,57606472-BDF1-117,2024-05-30,v1.1.0-OUTDATED,FAILING
EQP-00070,TWR-0010,ANTENNA,PART-ANT-D1,Nokia,ANT-D1,D9588D80-BC41-142,2024-02-05,v1.2.7,OPERATIONAL
EQP-00071,TWR-0010,BASEBAND_UNIT,PART-BBU-E2,Huawei,BBU-E2,78F03D80-B2CC-823,2023-02-28,v2.0.1,OPERATIONAL
EQP-00072,TWR-0010,BASEBAND_UNIT,PART-BBU-F2,Samsung,BBU-F2,4E8A2994-C2BF-566,2022-04-06,v1.5.8-OUTDATED,WARNING
EQP-00073,TWR-0010,AMPLIFIER,PART-AMP-G2,Qualcomm,AMP-G2,8884A489-ACEC-795,2024-03-02,v1.0.4,OPERATIONAL
EQP-00074,TWR-0010,AMPLIFIER,PART-AMP-G1,Qualcomm,AMP-G1,3487B02B-D448-476,2022-06-04,v1.3.0,OPERATIONAL
EQP-00075,TWR-0010,FIREWALL,PART-FWL-J1,Fortinet,FWL-J1,8DBDAE30-1FA3-853,2022-10-09,v2.4.0,OPERATIONAL
EQP-00076,TWR-0011,5G_ROUTER,PART-RTR-B2,Juniper,RTR-B2,93143803-96AA-964,2024-02-01,v2.0.2-OUTDATED,OPERATIONAL
EQP-00077,TWR-0011,5G_ROUTER,PART-RTR-A1,Cisco,RTR-A1,3BA9C26D-E074-167,2022-02-21,v1.5.8-OUTDATED,OPERATIONAL
EQP-00078,TWR-0011,ANTENNA,PART-ANT-C2,Ericsson,ANT-C2,8A85CAE5-3787-831,2022-02-11,v1.2.7,OPERATIONAL
EQP-00079,TWR-0011,BASEBAND_UNIT,PART-BBU-E1,Huawei,BBU-E1,863AC811-6A54-859,2022-01-14,v2.1.3,WARNING
EQP-00080,TWR-0011,BASEBAND_UNIT,PART-BBU-F1,Samsung,BBU-F1,12F724FB-331C-137,2022-09-18,v3.0.0,OPERATIONAL
EQP-00081,TWR-0011,AMPLIFIER,PART-AMP-G2,Qualcomm,AMP-G2,599C4660-B87F-178,2024-06-01,v1.1.0-OUTDATED,WARNING
EQP-00082,TWR-0011,FIREWALL,PART-FWL-J2,Fortinet,FWL-J2,A3AC55D2-0AE8-134,2023-05-07,v1.2.7,OPERATIONAL
EQP-00083,TWR-0012,5G_ROUTER,PART-RTR-A1,Cisco,RTR-A1,4D959AA5-9066-534,2024-05-15,v1.1.0-OUTDATED,OPERATIONAL
EQP-00084,TWR-0012,ANTENNA,PART-ANT-D1,Nokia,ANT-D1,F7A17BAF-7EF9-091,2022-12-09,v1.2.7,OPERATIONAL
EQP-00085,TWR-0012,ANTENNA,PART-ANT-C2,Ericsson,ANT-C2,C9ED1D5D-8711-594,2023-06-03,v2.0.2-OUTDATED,OPERATIONAL
EQP-00086,TWR-0012,ANTENNA,PART-ANT-C2,Ericsson,ANT-C2,8280279A-FD6C-095,2024-02-20,v1.5.8-OUTDATED,OPERATIONAL
EQP-00087,TWR-0012,ANTENNA,PART-ANT-C2,Ericsson,ANT-C2,6CFBE02A-81B0-989,2022-05-23,v1.3.0,OPERATIONAL
EQP-00088,TWR-0012,ANTENNA,PART-ANT-C2,Ericsson,ANT-C2,7D8BBF7F-8EB2-642,2024-03-11,v2.4.0,OPERATIONAL
EQP-00089,TWR-0012,BASEBAND_UNIT,PART-BBU-E2,Huawei,BBU-E2,2D1DC2B1-9E32-422,2022-12-02,v2.1.3,OPERATIONAL
EQP-00090,TWR-0012,BASEBAND_UNIT,PART-BBU-E1,Huawei,BBU-E1,074140EF-5E7E-172,2022-09-17,v2.0.1,WARNING
EQP-00091,TWR-0012,AMPLIFIER,PART-AMP-G2,Qualcomm,AMP-G2,B3D667C0-CCDF-781,2023-04-27,v2.0.2-OUTDATED,FAILING
EQP-00092,TWR-0012,TRANSCEIVER,PART-TRX-H1,Mediatek,TRX-H1,76D69154-68B6-150,2023-05-12,v1.3.0,WARNING
EQP-00093,TWR-0012,FIREWALL,PART-FWL-J2,Fortinet,FWL-J2,0DC34050-E2A9-236,2024-01-07,v1.0.4,OPERATIONAL
EQP-00094,TWR-0012,FIREWALL,PART-FWL-J1,Fortinet,FWL-J1,1EBAE642-E6D5-954,2024-03-03,v2.4.0,WARNING
EQP-00095,TWR-0013,5G_ROUTER,PART-RTR-A2,Cisco,RTR-A2,47C30492-5E10-423,2022-01-12,v2.0.1,OPERATIONAL
EQP-00096,TWR-0013,ANTENNA,PART-ANT-D1,Nokia,ANT-D1,021C18BA-A5E1-107,2024-02-19,v1.2.7,OPERATIONAL
EQP-00097,TWR-0014,ANTENNA,PART-ANT-C2,Ericsson,ANT-C2,132019A1-F1AC-520,2023-03-24,v2.4.0,OPERATIONAL
EQP-00098,TWR-0014,BASEBAND_UNIT,PART-BBU-F2,Samsung,BBU-F2,13D50BA1-0109-132,2023-07-07,v2.0.1,WARNING
EQP-00099,TWR-0014,AMPLIFIER,PART-AMP-G1,Qualcomm,AMP-G1,2FB56108-0A62-535,2023-05-19,v1.2.7,OPERATIONAL
EQP-00100,TWR-0014,AMPLIFIER,PART-AMP-G2,Qualcomm,AMP-G2,B38D4DB6-EF3F-002,2022-04-28,v1.3.0,WARNING
EQP-00101,TWR-0014,AMPLIFIER,PART-AMP-G1,Qualcomm,AMP-G1,05E99186-743F-557,2023-01-10,v1.3.0,OPERATIONAL
EQP-00102,TWR-0014,TRANSCEIVER,PART-TRX-H1,Mediatek,TRX-H1,1C76A28D-7030-499,2022-11-28,v1.0.4,WARNING
EQP-00103,TWR-0014,FIREWALL,PART-FWL-J2,Fortinet,FWL-J2,2A25F135-83F0-947,2023-05-03,v1.2.7,OPERATIONAL
EQP-00104,TWR-0015,5G_ROUTER,PART-RTR-A2,Cisco,RTR-A2,01145A4B-4445-836,2022-08-13,v1.1.0-OUTDATED,WARNING
EQP-00105,TWR-0015,BASEBAND_UNIT,PART-BBU-F1,Samsung,BBU-F1,4FA3D227-B3C2-780,2022-03-29,v1.5.8-OUTDATED,WARNING
EQP-00106,TWR-0015,BASEBAND_UNIT,PART-BBU-F1,Samsung,BBU-F1,7A49BA6C-B5BE-815,2023-10-30,v1.2.7,OPERATIONAL
EQP-00107,TWR-0015,BASEBAND_UNIT,PART-BBU-F2,Samsung,BBU-F2,CC4B35E4-D631-547,2023-02-16,v2.4.0,WARNING
EQP-00108,TWR-0015,BASEBAND_UNIT,PART-BBU-E2,Huawei,BBU-E2,80404E2B-08E5-196,2023-06-04,v2.4.0,OPERATIONAL
EQP-00109,TWR-0015,BASEBAND_UNIT,PART-BBU-F2,Samsung,BBU-F2,4EDAA9B7-F50B-661,2024-06-12,v2.0.2-OUTDATED,FAILING
EQP-00110,TWR-0015,AMPLIFIER,PART-AMP-G2,Qualcomm,AMP-G2,6686C6C6-3F8B-590,2022-11-24,v3.0.0,WARNING
EQP-00111,TWR-0016,5G_ROUTER,PART-RTR-A2,Cisco,RTR-A2,F5F600F8-6C9A-684,2022-06-30,v2.0.1,WARNING
EQP-00112,TWR-0016,5G_ROUTER,PART-RTR-B1,Juniper,RTR-B1,1B0B24B9-C90D-215,2022-05-04,v2.0.1,OPERATIONAL
EQP-00113,TWR-0016,ANTENNA,PART-ANT-C1,Ericsson,ANT-C1,E387C016-7C92-977,2023-02-24,v3.0.0,WARNING
EQP-00114,TWR-0016,AMPLIFIER,PART-AMP-G1,Qualcomm,AMP-G1,FF086748-7242-842,2023-09-10,v2.4.0,OPERATIONAL
EQP-00115,TWR-0016,AMPLIFIER,PART-AMP-G2,Qualcomm,AMP-G2,6614E02D-807B-344,2022-12-14,v2.0.2-OUTDATED,FAILING
EQP-00116,TWR-0016,AMPLIFIER,PART-AMP-G1,Qualcomm,AMP-G1,A9E342A8-5B63-539,2023-02-02,v3.0.0,OPERATIONAL
EQP-00117,TWR-0016,TRANSCEIVER,PART-TRX-H1,Mediatek,TRX-H1,67E34902-98A1-853,2023-03-19,v1.3.0,WARNING
EQP-00118,TWR-0016,TRANSCEIVER,PART-TRX-H1,Mediatek,TRX-H1,2437767E-F7FD-819,2022-07-25,v1.5.8-OUTDATED,FAILING
EQP-00119,TWR-0017,5G_ROUTER,PART-RTR-B2,Juniper,RTR-B2,751196DA-1D79-964,2023-08-07,v3.0.0,OPERATIONAL
EQP-00120,TWR-0017,5G_ROUTER,PART-RTR-B1,Juniper,RTR-B1,02602C22-814F-630,2024-05-27,v1.0.4,OPERATIONAL
EQP-00121,TWR-0017,ANTENNA,PART-ANT-D1,Nokia,ANT-D1,59362D23-7655-294,2024-04-11,v1.1.0-OUTDATED,OPERATIONAL
EQP-00122,TWR-0017,AMPLIFIER,PART-AMP-G2,Qualcomm,AMP-G2,9EFAD1F7-B31E-448,2022-05-07,v1.5.8-OUTDATED,WARNING
EQP-00123,TWR-0017,AMPLIFIER,PART-AMP-G2,Qualcomm,AMP-G2,A07BB75D-212C-469,2022-02-04,v1.1.0-OUTDATED,WARNING
EQP-00124,TWR-0017,AMPLIFIER,PART-AMP-G1,Qualcomm,AMP-G1,20D71399-D010-393,2023-10-25,v1.3.0,OPERATIONAL
EQP-00125,TWR-0017,TRANSCEIVER,PART-TRX-H2,Mediatek,TRX-H2,A3AA3B60-6CB4-756,2022-12-21,v3.0.0,OPERATIONAL
EQP-00126,TWR-0018,5G_ROUTER,PART-RTR-B1,Juniper,RTR-B1,71FD38C8-3F45-371,2024-03-22,v1.5.8-OUTDATED,OPERATIONAL
EQP-00127,TWR-0018,5G_ROUTER,PART-RTR-B2,Juniper,RTR-B2,8BEEDEFF-A21C-315,2024-01-03,v1.5.8-OUTDATED,OPERATIONAL
EQP-00128,TWR-0018,5G_ROUTER,PART-RTR-B1,Juniper,RTR-B1,EAC46FD3-E7D8-603,2022-05-28,v2.1.3,OPERATIONAL
EQP-00129,TWR-0018,ANTENNA,PART-ANT-D2,Nokia,ANT-D2,5BD11B7D-150B-856,2022-05-23,v1.2.7,OPERATIONAL
EQP-00130,TWR-0018,ANTENNA,PART-ANT-D1,Nokia,ANT-D1,5D0FE22B-0818-349,2023-10-06,v1.0.4,OPERATIONAL
EQP-00131,TWR-0018,BASEBAND_UNIT,PART-BBU-F2,Samsung,BBU-F2,E7A9F336-BD41-608,2023-06-29,v1.5.8-OUTDATED,WARNING
EQP-00132,TWR-0018,AMPLIFIER,PART-AMP-G2,Qualcomm,AMP-G2,52DDB946-1376-080,2024-05-22,v2.0.2-OUTDATED,WARNING
EQP-00133,TWR-0018,TRANSCEIVER,PART-TRX-H2,Mediatek,TRX-H2,4877DBD6-4685-459,2022-05-18,v2.0.1,OPERATIONAL
EQP-00134,TWR-0019,5G_ROUTER,PART-RTR-A1,Cisco,RTR-A1,9B8DFE1E-5764-876,2023-08-05,v1.1.0-OUTDATED,OPERATIONAL
EQP-00135,TWR-0019,ANTENNA,PART-ANT-C1,Ericsson,ANT-C1,FF6B87BB-EC9E-102,2023-11-27,v2.4.0,WARNING
EQP-00136,TWR-0019,ANTENNA,PART-ANT-D2,Nokia,ANT-D2,66C4E755-6F18-834,2023-03-07,v1.1.0-OUTDATED,OPERATIONAL
EQP-00137,TWR-0019,BASEBAND_UNIT,PART-BBU-F1,Samsung,BBU-F1,952AE862-FDE5-624,2023-01-30,v1.1.0-OUTDATED,OPERATIONAL
EQP-00138,TWR-0019,BASEBAND_UNIT,PART-BBU-E1,Huawei,BBU-E1,33681B7E-404F-321,2023-10-04,v1.5.8-OUTDATED,WARNING
EQP-00139,TWR-0019,AMPLIFIER,PART-AMP-G1,Qualcomm,AMP-G1,D4A354AE-44D7-512,2023-10-05,v2.0.2-OUTDATED,OPERATIONAL
EQP-00140,TWR-0019,TRANSCEIVER,PART-TRX-H1,Mediatek,TRX-H1,2D5A6C92-3E84-143,2022-04-27,v2.4.0,WARNING
EQP-00141,TWR-0019,FIREWALL,PART-FWL-J1,Fortinet,FWL-J1,EF63628A-F532-376,2023-07-02,v2.1.3,WARNING
EQP-00142,TWR-0020,5G_ROUTER,PART-RTR-A2,Cisco,RTR-A2,1C7C7208-8DE2-314,2022-07-09,v2.1.3,WARNING
EQP-00143,TWR-0020,5G_ROUTER,PART-RTR-A1,Cisco,RTR-A1,1018231B-AF13-455,2023-08-15,v2.0.1,WARNING
EQP-00144,TWR-0020,ANTENNA,PART-ANT-C2,Ericsson,ANT-C2,23606C86-7F88-929,2022-05-24,v1.1.0-OUTDATED,WARNING
EQP-00145,TWR-0020,ANTENNA,PART-ANT-C1,Ericsson,ANT-C1,17531E9B-1598-694,2023-09-02,v2.0.2-OUTDATED,FAILING
EQP-00146,TWR-0020,AMPLIFIER,PART-AMP-G2,Qualcomm,AMP-G2,6C41E041-3627-926,2022-05-05,v1.1.0-OUTDATED,FAILING
EQP-00147,TWR-0020,TRANSCEIVER,PART-TRX-H2,Mediatek,TRX-H2,E697519E-89A6-120,2023-04-07,v2.0.2-OUTDATED,WARNING
EQP-00148,TWR-0020,TRANSCEIVER,PART-TRX-H2,Mediatek,TRX-H2,D5DD39B7-BEAD-800,2024-01-11,v1.0.4,WARNING
EQP-00149,TWR-0021,5G_ROUTER,PART-RTR-B2,Juniper,RTR-B2,D3023B87-0A5C-112,2022-09-27,v1.2.7,OPERATIONAL
EQP-00150,TWR-0021,ANTENNA,PART-ANT-C1,Ericsson,ANT-C1,04E7744A-FBB7-098,2023-10-22,v1.0.4,WARNING
EQP-00151,TWR-0021,ANTENNA,PART-ANT-C1,Ericsson,ANT-C1,C81BE32B-5BB4-042,2023-05-22,v1.0.4,WARNING
EQP-00152,TWR-0021,BASEBAND_UNIT,PART-BBU-E2,Huawei,BBU-E2,6D53DB9F-CDC6-062,2023-07-08,v2.0.2-OUTDATED,OPERATIONAL
EQP-00153,TWR-0021,BASEBAND_UNIT,PART-BBU-E1,Huawei,BBU-E1,CFA99100-EC46-483,2022-08-13,v1.0.4,WARNING
EQP-00154,TWR-0021,AMPLIFIER,PART-AMP-G1,Qualcomm,AMP-G1,65BC17FD-CB0F-734,2024-03-20,v1.0.4,OPERATIONAL
EQP-00155,TWR-0021,AMPLIFIER,PART-AMP-G1,Qualcomm,AMP-G1,E40A704F-54AA-331,2024-02-13,v1.3.0,OPERATIONAL
EQP-00156,TWR-0021,AMPLIFIER,PART-AMP-G1,Qualcomm,AMP-G1,925D10A7-4725-233,2023-06-19,v1.2.7,OPERATIONAL
EQP-00157,TWR-0021,AMPLIFIER,PART-AMP-G2,Qualcomm,AMP-G2,AE15498E-EC30-898,2024-05-08,v2.4.0,WARNING
EQP-00158,TWR-0021,TRANSCEIVER,PART-TRX-H2,Mediatek,TRX-H2,40A9E9CC-02C2-205,2023-11-17,v1.5.8-OUTDATED,OPERATIONAL
EQP-00159,TWR-0021,TRANSCEIVER,PART-TRX-H1,Mediatek,TRX-H1,3207ABEA-C354-064,2024-06-01,v1.2.7,WARNING
EQP-00160,TWR-0021,TRANSCEIVER,PART-TRX-H1,Mediatek,TRX-H1,3750E315-2F34-270,2022-01-25,v1.3.0,WARNING
EQP-00161,TWR-0021,FIREWALL,PART-FWL-J1,Fortinet,FWL-J1,0831446F-4BC0-500,2023-02-13,v3.0.0,WARNING
EQP-00162,TWR-0021,FIREWALL,PART-FWL-J1,Fortinet,FWL-J1,8271F908-EB4E-185,2022-08-13,v1.0.4,WARNING
EQP-00163,TWR-0021,FIREWALL,PART-FWL-J1,Fortinet,FWL-J1,2EB8A41D-F008-042,2023-10-20,v2.0.2-OUTDATED,WARNING
EQP-00164,TWR-0022,5G_ROUTER,PART-RTR-A2,Cisco,RTR-A2,F44D531D-E1C2-138,2022-12-14,v1.0.4,WARNING
EQP-00165,TWR-0022,ANTENNA,PART-ANT-D1,Nokia,ANT-D1,6DB29EA3-2775-109,2022-04-18,v1.5.8-OUTDATED,OPERATIONAL
EQP-00166,TWR-0022,ANTENNA,PART-ANT-C2,Ericsson,ANT-C2,8F97EBB9-C899-751,2024-03-29,v3.0.0,OPERATIONAL
EQP-00167,TWR-0022,BASEBAND_UNIT,PART-BBU-E1,Huawei,BBU-E1,4B08EA49-5639-198,2023-02-09,v1.1.0-OUTDATED,FAILING
EQP-00168,TWR-0022,TRANSCEIVER,PART-TRX-H1,Mediatek,TRX-H1,FC6F0F5D-F99B-239,2022-06-12,v1.1.0-OUTDATED,FAILING
