CDR_ID,CALLER_SUB_ID,CALLEE_SUB_ID,CALL_TYPE,CALL_START_TIME,CALL_DURATION_SECONDS,CALL_STATUS,TOWER_ID,DATA_USED_MB,CALL_QUALITY_SCORE
CDR-01784F4D-3,SUB-CON-00605,SUB-CON-00623,VOICE,2024-09-28T09:00:00,2654,FAILED,TWR-0084,11.63,4.5
CDR-0179FEA4-4,SUB-CON-00733,SUB-CON-00611,VOICE,2024-04-20T09:00:00,3527,DROPPED,TWR-0033,34.63,3.8
CDR-0182EA71-0,SUB-CON-00992,SUB-CON-00082,VIDEO,2024-01-01T16:00:00,1494,DROPPED,TWR-0073,57.3,3.2
CDR-01918E38-E,SUB-CON-00302,SUB-CON-00901,SMS,2024-03-24T14:00:00,2673,FAILED,TWR-0047,17.65,3.1
CDR-0191BB80-5,SUB-CON-00118,SUB-CON-00431,SMS,2024-06-17T17:00:00,1742,FAILED,TWR-0056,97.34,3.5
CDR-019C5D08-2,SUB-INF-0002,SUB-CON-01100,VOICE,2024-02-01T12:06:00,681,COMPLETED,TWR-0004,26.5,3.1
CDR-019FA738-4,SUB-CON-01134,SUB-CON-00752,VIDEO,2024-08-31T13:00:00,252,COMPLETED,TWR-0014,75.52,4.1
CDR-01A078F5-1,SUB-CON-00576,SUB-CON-00010,VOICE,2024-02-24T07:00:00,3439,COMPLETED,TWR-0074,29.85,3.6
CDR-01AD3EB3-5,SUB-CON-00133,SUB-CON-00040,SMS,2024-09-22T06:00:00,3324,COMPLETED,TWR-0091,67.44,4.9
CDR-01B2634A-5,SUB-CON-00855,SUB-ENT-0023,SMS,2024-04-19T16:00:00,2752,COMPLETED,TWR-0107,83.45,3.5
CDR-01B26BEC-1,SUB-INF-0009,SUB-CON-01085,VOICE,2024-03-29T17:23:00,1054,COMPLETED,TWR-0007,12.73,1.9
CDR-01B876E1-B,SUB-CON-00387,SUB-CON-00119,VOICE,2024-06-21T21:00:00,1742,COMPLETED,TWR-0115,27.77,3.8
CDR-01BE6A20-3,SUB-CON-00632,SUB-CON-00234,VIDEO,2024-09-15T12:00:00,2788,FAILED,TWR-0050,81.2,3.7
CDR-01C0418C-4,SUB-CON-00661,SUB-CON-00717,SMS,2024-12-15T21:00:00,121,COMPLETED,TWR-0027,37.99,3.6
CDR-01CEA3CE-9,SUB-CON-00596,SUB-CON-00928,VOICE,2024-03-31T15:00:00,142,COMPLETED,TWR-0008,19.73,3.7
CDR-01DC93BE-7,SUB-CON-00322,SUB-CON-00815,VOICE,2024-07-31T17:00:00,2185,COMPLETED,TWR-0090,10.51,3.5
CDR-01E79267-4,SUB-CON-00235,SUB-CON-00789,VOICE,2024-06-10T18:00:00,1735,COMPLETED,TWR-0112,39.51,3.5
CDR-01F9B204-1,SUB-INF-0014,SUB-CON-00423,VIDEO,2024-05-08T20:45:00,67,COMPLETED,TWR-0014,31.44,3.1
CDR-01FC0FC0-8,SUB-INF-0005,SUB-CON-00867,VOICE,2024-05-03T13:04:00,769,COMPLETED,TWR-0007,36.56,2.9
CDR-0201765B-3,SUB-CON-00974,SUB-CON-00107,VIDEO,2024-09-20T08:00:00,3051,FAILED,TWR-0091,99.67,3.3
CDR-0205DFEB-B,SUB-INF-0013,SUB-CON-00761,VOICE,2024-03-06T17:41:00,1151,DROPPED,TWR-0015,0.63,2.4
CDR-021CFACB-2,SUB-INF-0009,SUB-CON-00186,VOICE,2024-12-10T09:27:00,1299,DROPPED,TWR-0003,26.0,2.8
CDR-0220DFC6-8,SUB-INF-0002,SUB-ENT-0016,VIDEO,2024-03-18T07:02:00,716,COMPLETED,TWR-0007,44.66,2.3
CDR-02266C30-7,SUB-CON-00395,SUB-CON-00993,VOICE,2024-09-09T17:00:00,2630,COMPLETED,TWR-0023,7.37,3.6
CDR-0227E5CB-7,SUB-CON-00724,SUB-CON-01084,VIDEO,2024-04-10T18:00:00,2538,COMPLETED,TWR-0060,9.51,3.4
CDR-022E983F-B,SUB-CON-00601,SUB-CON-00153,VIDEO,2024-04-25T12:00:00,1746,DROPPED,TWR-0105,72.16,4.9
CDR-023702D6-2,SUB-INF-0002,SUB-CON-00481,VOICE,2024-01-22T22:30:00,1371,COMPLETED,TWR-0008,7.13,1.7
CDR-0238676A-4,SUB-CON-00206,SUB-CON-00370,SMS,2024-11-03T17:00:00,1086,COMPLETED,TWR-0095,92.38,4.3
CDR-023A793F-1,SUB-CON-01132,SUB-CON-00484,VIDEO,2024-05-26T20:00:00,3172,DROPPED,TWR-0076,73.45,4.1
CDR-023AC2B0-6,SUB-CON-00209,SUB-CON-00761,VIDEO,2024-04-08T06:00:00,834,COMPLETED,TWR-0035,99.54,4.5
CDR-0246DD11-D,SUB-CON-00174,SUB-CON-00011,VIDEO,2024-01-16T15:00:00,3561,FAILED,TWR-0119,17.94,3.8
CDR-02476F89-D,SUB-INF-0004,SUB-CON-00595,VIDEO,2024-02-06T22:09:00,48,DROPPED,TWR-0008,16.57,2.1
CDR-024C9D9C-7,SUB-INF-0011,SUB-CON-00731,VOICE,2024-04-16T12:16:00,1282,COMPLETED,TWR-0008,21.82,2.5
CDR-0252BEBF-1,SUB-CON-00974,SUB-ENT-0018,SMS,2024-01-21T20:00:00,144,DROPPED,TWR-0068,13.31,4.3
CDR-0271D199-5,SUB-CON-00027,SUB-CON-00818,VOICE,2024-08-30T20:00:00,1733,DROPPED,TWR-0016,99.12,4.9
CDR-0287DF88-B,SUB-CON-00462,SUB-CON-00718,VOICE,2024-02-27T15:00:00,2078,COMPLETED,TWR-0107,90.52,4.0
CDR-028E2548-C,SUB-CON-01117,SUB-CON-00886,VIDEO,2024-06-26T21:00:00,2135,FAILED,TWR-0104,79.68,3.2
CDR-02D7049D-D,SUB-INF-0010,SUB-CON-00797,VOICE,2024-12-16T18:37:00,597,COMPLETED,TWR-0014,10.6,3.1
CDR-02D9B4E6-7,SUB-CON-00986,SUB-CON-00618,VIDEO,2024-08-11T12:00:00,775,DROPPED,TWR-0063,40.78,3.7
CDR-02EF934E-8,SUB-INF-0008,SUB-CON-01135,VIDEO,2024-05-19T21:53:00,46,COMPLETED,TWR-0010,21.35,3.3
CDR-02F6ED3E-6,SUB-CON-00204,SUB-CON-01089,VIDEO,2024-06-05T14:00:00,3194,COMPLETED,TWR-0025,67.09,4.5
CDR-03047D1C-5,SUB-CON-00641,SUB-CON-00630,VIDEO,2024-11-21T21:00:00,3368,COMPLETED,TWR-0021,90.51,4.6
CDR-030D2820-0,SUB-CON-00154,SUB-CON-00910,VIDEO,2024-05-28T13:00:00,87,COMPLETED,TWR-0008,96.3,3.3
CDR-0325C892-9,SUB-CON-00143,SUB-CON-00710,SMS,2024-05-31T13:00:00,283,COMPLETED,TWR-0013,95.74,4.6
CDR-03295E1C-D,SUB-INF-0015,SUB-ENT-0001,VOICE,2024-07-26T19:18:00,599,COMPLETED,TWR-0012,40.81,2.1
CDR-032AABA2-F,SUB-CON-00478,SUB-CON-00380,VOICE,2024-04-27T20:00:00,3000,COMPLETED,TWR-0092,44.05,4.9
CDR-033AFD4A-A,SUB-CON-00519,SUB-CON-00781,VIDEO,2024-08-14T07:00:00,2552,DROPPED,TWR-0087,4.87,3.9
CDR-03443031-7,SUB-INF-0005,SUB-CON-00850,VOICE,2024-07-24T19:57:00,451,DROPPED,TWR-0009,7.03,1.8
CDR-034B3B25-2,SUB-CON-00721,SUB-CON-00058,SMS,2024-11-29T13:00:00,3521,DROPPED,TWR-0027,21.73,3.8
CDR-0353B678-B,SUB-CON-00314,SUB-CON-00196,VOICE,2024-01-27T14:00:00,19,DROPPED,TWR-0038,90.45,3.8
CDR-035DA518-2,SUB-CON-00232,SUB-CON-00049,VOICE,2024-02-11T10:00:00,596,COMPLETED,TWR-0117,31.87,3.3
CDR-03698917-C,SUB-INF-0008,SUB-CON-00079,VOICE,2024-04-10T14:57:00,1611,COMPLETED,TWR-0009,40.74,2.2
CDR-037C0216-0,SUB-CON-00603,SUB-CON-00125,VIDEO,2024-08-30T17:00:00,1778,DROPPED,TWR-0053,99.28,4.7
CDR-0386E889-6,SUB-CON-00959,SUB-CON-00854,VIDEO,2024-02-14T07:00:00,92,COMPLETED,TWR-0020,84.42,4.9
CDR-0397BBEA-D,SUB-CON-00499,SUB-CON-00481,SMS,2024-07-11T13:00:00,2813,FAILED,TWR-0005,81.87,4.5
CDR-03A2F0FD-B,SUB-CON-00562,SUB-CON-00794,VOICE,2024-04-10T16:00:00,3064,COMPLETED,TWR-0042,16.88,4.0
CDR-03A2FCDA-6,SUB-CON-00401,SUB-CON-00007,VOICE,2024-09-10T22:00:00,1852,COMPLETED,TWR-0014,78.13,4.4
CDR-03A6DA9C-0,SUB-CON-00145,SUB-CON-01097,VIDEO,2024-02-05T10:00:00,3181,COMPLETED,TWR-0032,78.67,3.5
CDR-03B522B5-5,SUB-CON-00077,SUB-CON-00819,VIDEO,2024-02-17T09:00:00,1366,COMPLETED,TWR-0096,22.02,4.2
CDR-03CAD659-9,SUB-CON-00127,SUB-ENT-0007,VIDEO,2024-05-29T13:00:00,2432,DROPPED,TWR-0099,57.81,4.6
CDR-03E7CFC5-F,SUB-CON-00240,SUB-CON-00095,VOICE,2024-11-14T14:00:00,2705,COMPLETED,TWR-0111,47.28,4.4
CDR-03E8685D-C,SUB-CON-00566,SUB-CON-00991,SMS,2024-04-29T11:00:00,3077,COMPLETED,TWR-0077,40.62,3.7
CDR-03F7821B-D,SUB-CON-00113,SUB-ENT-0001,SMS,2024-10-17T14:00:00,2980,COMPLETED,TWR-0052,35.36,4.5
CDR-0404E4C3-3,SUB-CON-00386,SUB-CON-00159,VIDEO,2024-03-18T17:00:00,123,COMPLETED,TWR-0071,89.93,4.3
CDR-04067FDB-8,SUB-CON-00243,SUB-CON-00641,VOICE,2024-10-30T11:00:00,198,DROPPED,TWR-0045,9.67,4.0
CDR-04079115-C,SUB-CON-00762,SUB-CON-00411,VIDEO,2024-04-18T14:00:00,3425,COMPLETED,TWR-0019,44.31,4.5
CDR-041D791A-6,SUB-CON-00265,SUB-CON-00082,VOICE,2024-08-28T18:00:00,2769,DROPPED,TWR-0113,71.55,3.6
CDR-041D91EC-A,SUB-INF-0008,SUB-CON-00137,VOICE,2024-03-15T06:33:00,1323,COMPLETED,TWR-0008,28.65,3.4
CDR-0439FDCA-F,SUB-CON-00509,SUB-CON-00913,SMS,2024-06-26T06:00:00,1062,DROPPED,TWR-0037,69.66,3.9
CDR-043D70E7-8,SUB-INF-0006,SUB-CON-00598,VOICE,2024-09-22T17:19:00,248,COMPLETED,TWR-0001,40.19,2.4
CDR-0458C132-A,SUB-CON-00780,SUB-CON-00664,VOICE,2024-06-18T10:00:00,2902,FAILED,TWR-0076,31.71,4.1
CDR-045BDF7D-0,SUB-INF-0013,SUB-CON-00247,VOICE,2024-04-05T10:33:00,1139,DROPPED,TWR-0003,34.29,2.6
CDR-04686195-1,SUB-CON-00469,SUB-CON-00977,VIDEO,2024-10-15T07:00:00,2015,COMPLETED,TWR-0090,39.86,4.3
CDR-0477BD1D-F,SUB-CON-00216,SUB-CON-00700,VOICE,2024-04-26T07:00:00,252,COMPLETED,TWR-0036,84.99,3.4
CDR-04809CFC-9,SUB-CON-00722,SUB-CON-01105,SMS,2024-10-25T08:00:00,592,FAILED,TWR-0027,8.53,4.9
CDR-0489F607-E,SUB-CON-00431,SUB-CON-00563,SMS,2024-06-12T15:00:00,1630,FAILED,TWR-0037,80.35,3.5
CDR-048B20A2-8,SUB-CON-00101,SUB-CON-00548,VOICE,2024-03-27T06:00:00,991,COMPLETED,TWR-0108,62.34,4.3
CDR-049B91B0-7,SUB-INF-0010,SUB-CON-00731,VIDEO,2024-01-05T08:26:00,755,COMPLETED,TWR-0004,23.89,1.8
CDR-049C6F46-4,SUB-CON-00826,SUB-CON-00850,VIDEO,2024-01-27T08:00:00,1202,COMPLETED,TWR-0119,0.12,4.8
CDR-04A6A5E4-9,SUB-CON-00826,SUB-CON-00335,VIDEO,2024-07-18T09:00:00,1236,COMPLETED,TWR-0036,26.77,4.7
CDR-04A753FC-8,SUB-CON-00763,SUB-CON-00968,SMS,2024-05-29T22:00:00,1535,COMPLETED,TWR-0067,67.07,3.3
CDR-04AE47F7-8,SUB-ENT-0047,SUB-CON-00989,VIDEO,2024-11-29T13:00:00,1441,COMPLETED,TWR-0015,7.46,3.9
CDR-04B4BAEF-9,SUB-CON-01003,SUB-CON-00621,VOICE,2024-06-29T11:00:00,3119,FAILED,TWR-0101,80.27,3.7
CDR-04CA56C4-C,SUB-CON-01135,SUB-CON-00075,SMS,2024-03-10T12:00:00,2027,FAILED,TWR-0101,24.77,4.9
CDR-04CEEAEE-A,SUB-CON-00729,SUB-CON-00951,SMS,2024-09-14T07:00:00,3202,DROPPED,TWR-0084,66.53,5.0
CDR-04D99DE7-7,SUB-INF-0014,SUB-INF-0011,VIDEO,2024-01-24T12:50:00,649,COMPLETED,TWR-0005,15.08,2.7
CDR-04DBAE9F-B,SUB-INF-0010,SUB-CON-00729,VOICE,2024-07-02T19:38:00,973,COMPLETED,TWR-0005,9.49,1.9
CDR-04E40E45-7,SUB-CON-00379,SUB-CON-00460,VIDEO,2024-02-16T06:00:00,207,DROPPED,TWR-0046,3.59,4.8
CDR-04EE41F5-F,SUB-INF-0005,SUB-CON-00179,VIDEO,2024-01-30T14:52:00,446,DROPPED,TWR-0008,40.54,2.1
CDR-050C67C7-8,SUB-INF-0001,SUB-CON-00566,VIDEO,2024-01-12T20:17:00,1003,COMPLETED,TWR-0013,30.87,2.3
CDR-0517C4EF-A,SUB-CON-00691,SUB-CON-01041,VOICE,2024-05-17T12:00:00,369,DROPPED,TWR-0021,91.38,3.1
CDR-052B05BF-4,SUB-CON-01064,SUB-CON-00830,VOICE,2024-02-29T11:00:00,2919,COMPLETED,TWR-0105,69.46,4.1
CDR-05644530-8,SUB-CON-00477,SUB-CON-00728,SMS,2024-07-12T21:00:00,3018,DROPPED,TWR-0068,12.87,3.4
CDR-056916D6-0,SUB-CON-00562,SUB-CON-00805,VIDEO,2024-07-18T17:00:00,2738,COMPLETED,TWR-0120,58.53,4.0
CDR-056BB931-F,SUB-INF-0006,SUB-CON-01050,VIDEO,2024-11-11T11:40:00,1768,COMPLETED,TWR-0005,13.47,2.4
CDR-056BC7BF-7,SUB-INF-0003,SUB-CON-00595,VOICE,2024-09-10T12:11:00,1458,COMPLETED,TWR-0001,44.11,2.1
CDR-0577027D-3,SUB-CON-00361,SUB-CON-00410,SMS,2024-07-20T11:00:00,605,COMPLETED,TWR-0100,30.21,4.7
CDR-057D4194-9,SUB-CON-00246,SUB-CON-01113,VOICE,2024-11-17T19:00:00,3060,DROPPED,TWR-0045,40.73,3.9
CDR-057F74A4-7,SUB-INF-0005,SUB-CON-00983,VOICE,2024-11-24T11:52:00,494,COMPLETED,TWR-0005,4.52,3.2
CDR-05804992-1,SUB-CON-00004,SUB-CON-00502,VIDEO,2024-11-09T08:00:00,2686,COMPLETED,TWR-0100,24.02,4.9
CDR-058345AC-F,SUB-CON-00401,SUB-CON-01104,SMS,2024-05-12T11:00:00,702,FAILED,TWR-0106,74.53,3.3
CDR-058BC7EA-4,SUB-CON-01003,SUB-CON-00303,SMS,2024-11-29T18:00:00,2475,COMPLETED,TWR-0085,21.85,4.0
CDR-058E4470-A,SUB-INF-0014,SUB-CON-00984,VIDEO,2024-07-30T06:21:00,1728,DROPPED,TWR-0004,14.41,1.8
CDR-05A619FF-2,SUB-CON-00353,SUB-CON-01070,SMS,2024-12-16T18:00:00,1192,COMPLETED,TWR-0057,0.33,3.2
CDR-05AAA842-B,SUB-INF-0004,SUB-CON-00920,VIDEO,2024-03-22T12:00:00,1099,DROPPED,TWR-0003,41.95,2.1
CDR-05AAEBE7-1,SUB-CON-00830,SUB-CON-00221,VOICE,2024-02-17T12:00:00,3197,COMPLETED,TWR-0008,52.45,3.3
CDR-05F10481-A,SUB-INF-0007,SUB-CON-00432,VIDEO,2024-11-14T07:27:00,509,COMPLETED,TWR-0010,41.61,2.0
CDR-05F324FF-1,SUB-CON-00966,SUB-CON-00920,SMS,2024-07-08T21:00:00,1892,COMPLETED,TWR-0013,94.69,3.4
CDR-05F991D7-8,SUB-CON-00759,SUB-CON-00580,VOICE,2024-03-24T12:00:00,2208,COMPLETED,TWR-0037,31.58,3.4
CDR-05FB2B20-A,SUB-INF-0001,SUB-CON-01086,VOICE,2024-07-17T13:05:00,486,DROPPED,TWR-0009,18.55,3.3
CDR-060230B7-A,SUB-CON-00694,SUB-CON-00413,VOICE,2024-05-23T06:00:00,3273,COMPLETED,TWR-0056,68.27,4.0
CDR-06050B82-E,SUB-CON-00698,SUB-CON-00044,SMS,2024-02-17T16:00:00,909,FAILED,TWR-0089,74.63,4.9
CDR-060AB3FE-9,SUB-CON-00626,SUB-CON-00305,SMS,2024-10-20T11:00:00,1893,DROPPED,TWR-0087,45.39,3.4
CDR-0614F005-7,SUB-INF-0001,SUB-CON-00564,VOICE,2024-06-03T13:42:00,1492,DROPPED,TWR-0007,25.22,2.9
CDR-0618706F-C,SUB-CON-00651,SUB-CON-00384,VOICE,2024-08-03T09:00:00,1812,DROPPED,TWR-0076,50.06,3.8
CDR-0626CB30-6,SUB-INF-0003,SUB-CON-00647,VOICE,2024-03-28T20:02:00,869,COMPLETED,TWR-0001,13.11,3.2
CDR-06272F82-F,SUB-CON-00343,SUB-CON-00409,VOICE,2024-11-15T10:00:00,1949,COMPLETED,TWR-0084,29.11,3.7
CDR-06280B15-1,SUB-CON-00593,SUB-ENT-0008,VIDEO,2024-10-02T09:00:00,2480,DROPPED,TWR-0070,85.97,4.9
CDR-063C47EB-4,SUB-CON-01041,SUB-CON-00771,SMS,2024-10-01T16:00:00,1201,COMPLETED,TWR-0039,43.83,3.1
CDR-064679BC-8,SUB-CON-00936,SUB-CON-00578,VIDEO,2024-08-11T18:00:00,2798,COMPLETED,TWR-0041,48.98,3.0
CDR-0671074B-D,SUB-CON-00487,SUB-CON-01106,VOICE,2024-02-28T14:00:00,3550,COMPLETED,TWR-0087,34.63,3.8
CDR-06761E48-9,SUB-CON-00075,SUB-CON-00009,SMS,2024-06-08T14:00:00,494,DROPPED,TWR-0032,3.55,4.8
CDR-068B3631-C,SUB-CON-00364,SUB-CON-00032,VOICE,2024-04-16T10:00:00,398,DROPPED,TWR-0098,98.21,4.4
CDR-068C3A14-4,SUB-CON-00182,SUB-CON-01023,VOICE,2024-11-21T14:00:00,2105,COMPLETED,TWR-0046,74.87,4.6
CDR-069A4FB9-B,SUB-INF-0001,SUB-CON-00727,VOICE,2024-05-28T10:09:00,799,COMPLETED,TWR-0007,33.96,2.9
CDR-06A2AFEB-2,SUB-INF-0004,SUB-CON-00643,VIDEO,2024-08-08T06:28:00,1124,COMPLETED,TWR-0014,6.43,2.0
CDR-06C7B7CE-B,SUB-CON-00206,SUB-ENT-0047,SMS,2024-11-05T15:00:00,1086,COMPLETED,TWR-0119,16.32,4.4
CDR-06CD7193-A,SUB-CON-00137,SUB-CON-00393,VOICE,2024-11-11T14:00:00,2030,FAILED,TWR-0073,88.66,5.0
CDR-06D827C7-F,SUB-CON-00735,SUB-CON-00298,VIDEO,2024-06-08T21:00:00,1796,COMPLETED,TWR-0102,35.77,3.9
CDR-06D92835-0,SUB-CON-00113,SUB-CON-00407,SMS,2024-12-07T15:00:00,197,FAILED,TWR-0070,22.79,4.3
CDR-06DE1761-B,SUB-CON-00224,SUB-CON-00725,SMS,2024-10-12T11:00:00,583,COMPLETED,TWR-0053,76.25,5.0
CDR-06F83C8E-6,SUB-CON-01010,SUB-CON-00370,VOICE,2024-08-12T14:00:00,599,COMPLETED,TWR-0097,90.46,5.0
CDR-0705E2D5-8,SUB-CON-00849,SUB-CON-00409,SMS,2024-05-22T15:00:00,3389,DROPPED,TWR-0113,20.95,4.3
CDR-07312459-C,SUB-CON-00947,SUB-CON-01091,VOICE,2024-01-15T08:00:00,2054,COMPLETED,TWR-0023,94.65,4.9
CDR-07363D93-6,SUB-INF-0015,SUB-CON-00583,VIDEO,2024-03-12T09:25:00,1233,COMPLETED,TWR-0005,16.96,3.4
CDR-0740ECDA-4,SUB-CON-00505,SUB-ENT-0049,SMS,2024-04-25T21:00:00,900,COMPLETED,TWR-0082,68.85,4.3
CDR-074B3E2A-C,SUB-CON-00593,SUB-CON-00332,VOICE,2024-12-05T08:00:00,1724,COMPLETED,TWR-0048,31.86,4.7
CDR-07622582-5,SUB-CON-00251,SUB-CON-00454,VOICE,2024-08-30T18:00:00,1899,COMPLETED,TWR-0007,22.84,4.3
CDR-07707E0E-F,SUB-INF-0002,SUB-CON-00758,VIDEO,2024-07-15T14:48:00,1014,DROPPED,TWR-0011,37.63,2.5
CDR-0772650A-1,SUB-INF-0010,SUB-CON-01045,VOICE,2024-07-29T10:54:00,1404,DROPPED,TWR-0014,26.82,2.2
CDR-07764242-C,SUB-CON-00403,SUB-CON-00804,VIDEO,2024-09-07T10:00:00,1412,COMPLETED,TWR-0096,12.82,4.0
CDR-07780C9E-C,SUB-INF-0011,SUB-CON-00538,VOICE,2024-03-01T17:00:00,1705,COMPLETED,TWR-0011,30.49,3.1
CDR-077EC64E-0,SUB-INF-0004,SUB-CON-01114,VOICE,2024-04-03T06:36:00,544,DROPPED,TWR-0001,3.26,2.7
CDR-07858440-1,SUB-CON-00370,SUB-CON-00736,SMS,2024-02-05T22:00:00,1915,COMPLETED,TWR-0074,49.74,4.8
CDR-07901A35-7,SUB-CON-00725,SUB-CON-00536,SMS,2024-12-08T14:00:00,3269,COMPLETED,TWR-0078,87.5,3.4
CDR-0794BF3B-2,SUB-CON-00728,SUB-CON-00647,VIDEO,2024-07-19T12:00:00,3508,FAILED,TWR-0095,41.94,3.6
CDR-0796583A-6,SUB-CON-00992,SUB-CON-00887,SMS,2024-06-28T09:00:00,1482,DROPPED,TWR-0102,62.11,3.4
