METRIC_DATE,REGION,ACTIVE_SUBSCRIBERS,SUBSCRIBER_GROWTH_RATE,DAILY_REVENUE_USD,TOTAL_CALLS,AVG_CALL_QUALITY,NETWORK_AVAILABILITY_PCT,DATA_CONSUMED_TB,AVG_LATENCY_MS,SUPPORT_TICKETS_OPENED,SUPPORT_TICKETS_RESOLVED,CHURN_RATE,NPS_DAILY_AVG,MARKETING_SPEND_USD
2024-01-06,SOUTH,20355,0.0098,131373.03,131610,4.27,99.38,194.11,37.26,77,85,0.0074,8.0,4741.81
2024-01-06,SOUTHEAST,15561,0.0054,68607.47,102210,4.34,99.30,276.13,73.54,161,159,0.0020,6.2,5820.89
2024-01-06,SOUTHWEST,23128,0.0105,69032.25,88951,4.44,99.54,267.65,47.02,37,121,0.0064,8.8,8781.21
2024-01-06,WEST,17291,0.0054,123817.50,122967,4.61,99.64,269.13,30.62,126,69,0.0041,7.1,5550.55
2024-01-07,CENTRAL,20655,0.0116,63774.73,183083,4.46,99.25,214.00,58.49,177,19,0.0077,8.7,4216.53
2024-01-07,EAST,21737,0.0072,116334.76,79823,4.14,99.52,134.35,42.20,51,158,0.0046,8.1,6266.58
2024-01-07,NORTH,31134,0.0116,119899.85,181670,4.71,99.69,191.35,15.26,53,145,0.0041,7.3,5317.59
2024-01-07,NORTHEAST,29389,0.0085,128419.09,114378,4.49,99.25,270.37,26.22,63,135,0.0043,8.3,2062.35
2024-01-07,NORTHWEST,18139,0.0018,69993.15,62917,4.66,99.54,299.54,77.54,51,19,0.0064,8.0,6166.91
2024-01-07,SOUTH,18436,0.0055,80983.82,66078,4.49,99.59,76.41,78.80,52,165,0.0079,8.3,3219.02
2024-01-07,SOUTHEAST,32123,0.0044,52291.32,136507,4.69,99.48,190.30,45.27,122,43,0.0072,7.8,7063.67
2024-01-07,SOUTHWEST,17047,0.0125,90101.95,96684,4.60,99.63,118.04,19.65,74,121,0.0064,8.2,2948.05
2024-01-07,WEST,30450,0.0059,153339.99,199327,4.07,99.88,212.85,44.79,132,57,0.0072,7.5,3869.62
2024-01-08,CENTRAL,27378,0.0019,55293.36,83514,4.15,99.34,130.42,61.25,118,92,0.0053,7.8,2240.55
2024-01-08,EAST,26831,0.0120,81436.87,149913,4.57,99.56,136.15,17.97,103,93,0.0053,7.8,9164.70
2024-01-08,NORTH,28738,0.0026,156981.81,90076,4.04,99.60,93.16,77.16,190,157,0.0036,6.8,1320.26
2024-01-08,NORTHEAST,15610,0.0125,64986.51,93186,4.12,99.38,89.60,50.68,58,162,0.0035,8.0,8773.89
2024-01-08,NORTHWEST,21651,0.0069,92655.95,82476,4.09,99.57,217.80,17.32,91,23,0.0068,7.2,3980.41
2024-01-08,SOUTH,33831,0.0121,95383.09,67821,4.15,99.79,238.64,23.84,26,110,0.0043,6.5,7093.98
2024-01-08,SOUTHEAST,24570,0.0145,163154.36,124454,4.39,99.58,144.95,69.48,194,105,0.0074,8.2,2400.92
2024-01-08,SOUTHWEST,16699,0.0046,144486.73,85496,4.71,99.21,279.09,73.76,78,23,0.0031,8.8,9096.83
2024-01-08,WEST,17340,0.0119,60033.98,83606,4.36,99.78,289.45,66.90,89,173,0.0024,6.8,4051.26
2024-01-09,CENTRAL,25793,0.0113,78797.52,177820,4.79,99.27,75.61,76.18,61,23,0.0028,6.4,6658.29
2024-01-09,EAST,33373,0.0117,100750.08,128300,4.18,99.88,273.00,39.27,148,33,0.0058,7.5,3870.63
2024-01-09,NORTH,19226,0.0076,106307.93,149535,4.68,99.30,85.47,42.08,158,64,0.0052,6.5,9276.65
2024-01-09,NORTHEAST,31742,0.0128,83657.58,59504,4.05,99.68,206.98,41.60,44,30,0.0060,8.2,9975.07
2024-01-09,NORTHWEST,15205,0.0097,133429.00,60248,4.75,99.52,87.82,17.66,133,71,0.0057,7.4,7594.40
2024-01-09,SOUTH,21349,0.0085,118352.08,108107,4.35,99.48,253.46,63.87,24,60,0.0045,8.3,8152.30
2024-01-09,SOUTHEAST,32772,0.0045,57831.26,195282,4.66,99.87,144.27,34.61,173,83,0.0036,7.0,8645.64
2024-01-09,SOUTHWEST,17360,0.0098,163053.99,64828,4.15,99.27,168.75,61.84,25,117,0.0076,7.4,6027.19
2024-01-09,WEST,32067,0.0137,142053.48,143093,4.15,99.87,82.38,74.71,199,80,0.0032,6.5,2438.27
2024-01-10,CENTRAL,30353,0.0148,94818.72,56617,4.71,99.75,139.15,32.45,79,159,0.0062,7.0,2879.29
2024-01-10,EAST,22252,0.0082,147504.76,92525,4.77,99.64,240.17,77.36,153,96,0.0041,7.8,5682.80
2024-01-10,NORTH,20658,0.0083,122505.72,83560,4.07,99.27,297.85,23.76,124,149,0.0071,8.1,8172.41
2024-01-10,NORTHEAST,16161,0.0073,72010.02,122467,4.40,99.32,111.11,16.38,117,18,0.0077,7.8,6832.19
2024-01-10,NORTHWEST,30071,0.0019,156626.38,60043,4.14,99.51,128.19,59.87,50,54,0.0059,6.4,7676.60
2024-01-10,SOUTH,30200,0.0038,117588.78,116672,4.15,99.70,199.98,40.07,49,89,0.0046,6.5,3032.80
2024-01-10,SOUTHEAST,17446,0.0056,147643.93,61814,4.32,99.49,120.49,52.51,133,145,0.0026,6.3,5117.34
2024-01-10,SOUTHWEST,27734,0.0051,81499.42,158935,4.53,99.46,243.78,55.05,139,132,0.0071,6.2,1171.11
2024-01-10,WEST,16996,0.0054,110743.48,80462,4.29,99.52,171.50,26.45,23,65,0.0031,8.1,5565.18
2024-01-11,CENTRAL,24170,0.0065,114857.39,110475,4.25,99.80,201.29,38.60,128,86,0.0041,6.7,5058.18
2024-01-11,EAST,33013,0.0039,152672.73,114629,4.62,99.65,220.04,66.60,64,141,0.0056,7.6,3971.91
2024-01-11,NORTH,29522,0.0071,83092.88,186594,4.14,99.44,208.10,66.10,47,23,0.0052,9.0,6750.30
2024-01-11,NORTHEAST,30402,0.0148,102351.46,152027,4.41,99.64,235.63,76.15,57,45,0.0033,6.9,6563.90
2024-01-11,NORTHWEST,29747,0.0113,92240.76,102285,4.63,99.32,57.99,43.04,44,149,0.0056,6.2,3705.84
2024-01-11,SOUTH,30752,0.0136,92452.33,133300,4.16,99.72,112.21,78.22,127,92,0.0063,8.5,3696.85
2024-01-11,SOUTHEAST,27078,0.0144,77853.39,157646,4.74,99.51,190.59,19.90,63,98,0.0067,7.4,6688.87
2024-01-11,SOUTHWEST,34661,0.0067,130619.28,108204,4.32,99.78,132.42,54.70,106,48,0.0029,8.2,5746.98
2024-01-11,WEST,27423,0.0059,79511.36,152653,4.15,99.30,257.85,45.57,162,139,0.0032,8.4,7826.43
2024-01-12,CENTRAL,33967,0.0015,116396.83,77632,4.01,99.41,270.84,46.54,116,99,0.0078,8.0,5799.64
2024-01-12,EAST,33595,0.0072,139691.81,134919,4.73,99.58,100.75,51.04,194,161,0.0076,7.1,9327.61
2024-01-12,NORTH,20871,0.0070,73989.01,137856,4.54,99.67,185.19,68.24,84,75,0.0028,8.9,8567.28
2024-01-12,NORTHEAST,26602,0.0115,130095.72,133106,4.49,99.69,102.04,62.65,147,173,0.0064,6.2,2955.37
2024-01-12,NORTHWEST,34241,0.0016,118958.53,138722,4.68,99.59,281.03,57.75,46,114,0.0048,6.1,7685.22
2024-01-12,SOUTH,25384,0.0031,125583.11,128614,4.33,99.80,266.76,71.38,186,180,0.0034,8.1,6274.14
2024-01-12,SOUTHEAST,17410,0.0076,74119.17,84036,4.50,99.61,256.02,65.63,23,55,0.0032,6.4,7545.65
2024-01-12,SOUTHWEST,25112,0.0021,81156.60,129973,4.14,99.89,165.40,21.57,178,127,0.0077,8.8,6527.14
2024-01-12,WEST,34875,0.0069,114522.27,176348,4.17,99.77,189.31,57.22,92,170,0.0035,8.8,3988.11
2024-01-13,CENTRAL,15365,0.0114,82364.53,128161,4.44,99.79,250.91,65.89,95,152,0.0057,6.5,5739.21
2024-01-13,EAST,31151,0.0038,149596.14,119388,4.02,99.44,98.39,53.79,184,81,0.0034,7.1,6414.45
2024-01-13,NORTH,34227,0.0036,53421.80,108546,4.57,99.22,183.67,17.32,172,45,0.0034,6.8,2586.37
2024-01-13,NORTHEAST,26672,0.0013,105032.10,100564,4.44,99.43,84.00,51.42,151,21,0.0022,6.1,6191.74
2024-01-13,NORTHWEST,32338,0.0075,89779.15,116878,4.40,99.79,67.64,45.56,149,150,0.0061,7.8,8093.63
2024-01-13,SOUTH,25720,0.0134,108736.06,124598,4.67,99.77,159.66,48.26,162,61,0.0058,7.6,1228.46
2024-01-13,SOUTHEAST,25778,0.0015,159440.02,80042,4.66,99.30,160.95,31.54,106,176,0.0025,7.2,2867.49
2024-01-13,SOUTHWEST,25549,0.0132,71924.00,143370,4.75,99.43,209.76,45.33,128,163,0.0049,8.9,1258.31
2024-01-13,WEST,18498,0.0058,139621.57,50048,4.13,99.87,255.90,71.91,74,22,0.0054,6.2,4942.10
2024-01-14,CENTRAL,30431,0.0121,58738.06,177050,4.56,99.78,103.26,31.75,195,51,0.0038,7.6,9121.21
2024-01-14,EAST,24613,0.0025,102843.74,56082,4.79,99.80,57.42,49.48,23,124,0.0077,8.4,3044.78
2024-01-14,NORTH,19565,0.0094,134240.93,145898,4.56,99.64,135.64,31.40,60,34,0.0043,8.8,8889.49
2024-01-14,NORTHEAST,18915,0.0098,80874.50,98441,4.36,99.60,231.51,50.34,81,57,0.0050,6.9,8521.74
2024-01-14,NORTHWEST,17822,0.0035,124724.81,142434,4.29,99.49,286.89,53.26,45,31,0.0043,7.6,9056.87
2024-01-14,SOUTH,16051,0.0078,132329.08,82077,4.21,99.35,59.27,37.95,179,20,0.0044,7.4,4407.06
2024-01-14,SOUTHEAST,19026,0.0056,51921.64,55225,4.14,99.87,169.32,62.74,87,140,0.0067,6.5,6647.87
2024-01-14,SOUTHWEST,33155,0.0024,77259.22,167503,4.30,99.38,218.96,63.96,27,134,0.0036,8.4,3480.88
2024-01-14,WEST,20394,0.0105,64741.66,178038,4.41,99.73,111.89,41.01,23,155,0.0037,6.4,6097.62
2024-01-15,CENTRAL,20627,0.0093,78488.80,197402,4.04,99.41,188.29,26.33,182,43,0.0071,7.0,2593.38
2024-01-15,EAST,16010,0.0078,88030.10,143869,4.58,99.74,146.22,71.89,96,102,0.0071,8.6,8336.28
2024-01-15,NORTH,15462,0.0146,121091.04,151102,4.68,99.20,273.56,75.18,36,126,0.0022,6.6,7386.31
2024-01-15,NORTHEAST,31668,0.0043,101727.29,56711,4.00,99.52,289.35,70.50,92,163,0.0048,6.6,1720.04
2024-01-15,NORTHWEST,23630,0.0080,132490.31,193569,4.52,99.84,227.15,76.80,73,71,0.0052,8.3,8652.16
2024-01-15,SOUTH,20732,0.0041,102409.22,105507,4.42,99.30,100.08,60.95,38,20,0.0034,7.5,1190.90
2024-01-15,SOUTHEAST,21897,0.0049,98803.36,98172,4.25,99.30,56.66,23.58,114,133,0.0055,8.0,3604.81
2024-01-15,SOUTHWEST,29002,0.0077,132506.03,55154,4.41,99.65,180.55,74.06,153,22,0.0023,7.3,2482.89
2024-01-15,WEST,32520,0.0046,90132.58,74741,4.16,99.54,222.76,42.66,58,139,0.0060,8.8,8689.96
2024-01-16,CENTRAL,25185,0.0148,72007.81,133433,4.54,99.20,141.94,78.48,20,52,0.0058,7.0,6910.06
2024-01-16,EAST,27444,0.0052,138215.20,138950,4.07,99.38,116.22,54.14,70,95,0.0021,6.6,6416.11
2024-01-16,NORTH,19878,0.0041,158562.91,159785,4.18,99.53,145.64,76.38,72,68,0.0065,7.4,9699.02
2024-01-16,NORTHEAST,17763,0.0048,145671.89,100122,4.19,99.89,223.28,48.53,197,113,0.0030,8.2,9992.10
2024-01-16,NORTHWEST,28541,0.0073,131122.45,196119,4.11,99.52,95.45,21.90,165,63,0.0076,6.3,9517.54
2024-01-16,SOUTH,27584,0.0136,91932.46,169667,4.60,99.53,57.36,79.14,158,58,0.0074,6.6,2468.07
2024-01-16,SOUTHEAST,29594,0.0054,58122.78,100320,4.13,99.43,156.00,30.85,195,30,0.0058,8.7,9592.83
2024-01-16,SOUTHWEST,22237,0.0122,92200.85,87283,4.29,99.23,251.73,77.03,125,45,0.0031,7.5,2053.11
2024-01-16,WEST,22119,0.0123,98560.92,179771,4.43,99.56,110.81,67.41,68,89,0.0025,7.3,8967.79
2024-01-17,CENTRAL,28399,0.0090,87389.95,105746,4.69,99.71,218.37,59.63,56,39,0.0023,8.1,3869.27
2024-01-17,EAST,27303,0.0068,161988.22,133505,4.60,99.33,98.15,49.46,179,67,0.0033,7.1,4016.96
2024-01-17,NORTH,25576,0.0033,107014.20,121078,4.42,99.38,108.13,16.85,143,31,0.0040,6.6,8235.44
2024-01-17,NORTHEAST,22911,0.0117,59475.71,190172,4.37,99.59,196.05,30.32,188,98,0.0064,6.1,1789.12
2024-01-17,NORTHWEST,32263,0.0114,140560.37,150025,4.75,99.32,210.84,16.53,26,116,0.0063,7.5,6565.70
2024-01-17,SOUTH,22118,0.0038,117588.30,68961,4.66,99.24,130.38,16.98,189,122,0.0056,7.6,4234.94
2024-01-17,SOUTHEAST,32083,0.0111,118144.47,169184,4.36,99.34,265.63,19.29,53,114,0.0037,6.1,4474.07
2024-01-17,SOUTHWEST,18893,0.0023,86468.01,150501,4.80,99.43,209.77,53.26,184,80,0.0059,7.8,6295.72
2024-01-17,WEST,34551,0.0103,110631.83,121881,4.70,99.38,257.15,44.83,22,56,0.0032,7.3,1580.81
2024-01-18,CENTRAL,18169,0.0120,51361.79,104216,4.25,99.31,231.47,65.15,178,141,0.0063,6.4,9731.62
2024-01-18,EAST,20990,0.0107,133756.98,153354,4.42,99.57,295.33,77.71,67,167,0.0064,7.9,3458.56
2024-01-18,NORTH,20287,0.0061,91114.41,69788,4.13,99.36,154.58,41.90,64,162,0.0068,7.5,2929.65
2024-01-18,NORTHEAST,31670,0.0073,120093.26,194561,4.04,99.54,216.74,27.34,162,79,0.0067,7.2,9603.12
2024-01-18,NORTHWEST,26092,0.0074,137051.34,147474,4.20,99.33,127.63,63.80,76,78,0.0079,8.4,2338.42
2024-01-18,SOUTH,17361,0.0063,145645.96,189384,4.77,99.86,213.55,36.05,158,128,0.0056,8.2,2401.41
2024-01-18,SOUTHEAST,17749,0.0040,141687.96,191037,4.55,99.87,155.67,39.73,128,126,0.0052,8.3,7858.66
2024-01-18,SOUTHWEST,33200,0.0020,50528.12,126037,4.01,99.53,94.56,48.32,104,127,0.0022,7.7,7968.58
2024-01-18,WEST,25437,0.0028,65605.25,122618,4.00,99.75,131.03,76.15,41,93,0.0079,6.1,8025.40
2024-01-19,CENTRAL,26685,0.0131,127353.80,63747,4.22,99.86,153.45,48.61,32,148,0.0027,9.0,9267.58
2024-01-19,EAST,16199,0.0091,57811.84,176073,4.67,99.53,252.24,39.37,49,99,0.0062,6.7,3051.88
2024-01-19,NORTH,28281,0.0077,131334.68,136573,4.80,99.48,230.42,64.53,100,38,0.0061,7.2,7013.79
2024-01-19,NORTHEAST,31992,0.0017,146037.09,186390,4.35,99.20,89.34,34.70,77,58,0.0042,7.3,5926.44
2024-01-19,NORTHWEST,19297,0.0028,141979.59,52914,4.06,99.62,158.50,79.73,74,174,0.0049,6.1,3070.16
2024-01-19,SOUTH,15441,0.0026,124081.38,179207,4.69,99.21,177.96,42.58,132,112,0.0051,7.2,3515.67
2024-01-19,SOUTHEAST,33776,0.0026,80282.29,186628,4.06,99.75,248.85,15.41,145,161,0.0026,7.7,6561.37
2024-01-19,SOUTHWEST,32428,0.0014,133071.25,193914,4.33,99.74,104.61,47.95,141,22,0.0044,8.0,4780.42
2024-01-19,WEST,16877,0.0039,132095.46,192621,4.24,99.49,94.11,41.05,41,142,0.0034,7.4,5146.22
2024-01-20,CENTRAL,27670,0.0036,103661.90,173889,4.16,99.85,271.41,40.87,74,75,0.0033,7.8,6960.04
2024-01-20,EAST,24246,0.0074,75387.54,102624,4.02,99.60,208.59,48.92,197,137,0.0060,6.7,7358.35
2024-01-20,NORTH,19465,0.0116,94487.65,85724,4.49,99.68,199.00,39.29,97,25,0.0065,7.1,4035.47
2024-01-20,NORTHEAST,31328,0.0018,88567.43,117360,4.43,99.46,138.42,23.61,100,50,0.0065,7.5,7519.02
2024-01-20,NORTHWEST,34382,0.0142,114642.95,73013,4.49,99.51,167.47,52.26,151,168,0.0067,8.0,4688.78
2024-01-20,SOUTH,33794,0.0123,144206.74,86606,4.36,99.78,68.10,69.78,139,29,0.0026,7.9,2477.71
2024-01-20,SOUTHEAST,26542,0.0124,53833.92,59029,4.42,99.26,233.92,43.21,180,59,0.0056,6.6,8064.63
2024-01-20,SOUTHWEST,21934,0.0019,69576.53,83655,4.14,99.44,166.02,59.56,167,177,0.0049,8.8,2751.56
2024-01-20,WEST,21951,0.0061,134024.08,85039,4.76,99.83,150.18,39.79,93,138,0.0051,6.8,8092.57
2024-01-21,CENTRAL,26846,0.0085,54528.53,169705,4.33,99.53,192.95,56.36,57,164,0.0034,6.2,8329.86
2024-01-21,EAST,28705,0.0148,76997.62,84462,4.47,99.80,84.09,74.08,122,21,0.0031,6.9,9488.92
2024-01-21,NORTH,26770,0.0017,107900.02,64997,4.43,99.25,226.63,20.98,140,96,0.0073,7.3,3893.64
2024-01-21,NORTHEAST,28292,0.0107,134213.79,182973,4.08,99.53,110.37,55.85,57,118,0.0021,6.1,2310.13
2024-01-21,NORTHWEST,20291,0.0021,99403.42,107630,4.46,99.45,214.85,75.16,181,66,0.0060,6.4,8043.76
2024-01-21,SOUTH,23324,0.0127,114199.21,141517,4.24,99.39,82.11,23.60,114,61,0.0040,8.4,7626.40
2024-01-21,SOUTHEAST,31828,0.0080,79168.10,182262,4.44,99.48,140.83,50.57,110,157,0.0039,7.1,6889.01
2024-01-21,SOUTHWEST,17886,0.0124,73324.32,153814,4.24,99.50,123.47,72.25,193,141,0.0031,7.3,8901.83
2024-01-21,WEST,15820,0.0093,136169.45,68879,4.76,99.37,269.26,26.57,60,101,0.0070,8.5,7756.71
2024-01-22,CENTRAL,29866,0.0145,132202.56,145516,4.03,99.74,128.16,74.87,103,132,0.0035,6.5,6348.26
2024-01-22,EAST,22012,0.0074,84836.34,162244,4.36,99.75,264.79,35.34,70,40,0.0035,8.5,9401.59
2024-01-22,NORTH,21296,0.0076,125572.99,185160,4.53,99.30,258.37,71.86,137,127,0.0056,8.5,4101.15
2024-01-22,NORTHEAST,31381,0.0095,149501.64,151197,4.66,99.70,285.70,55.81,47,169,0.0031,6.3,5432.79
2024-01-22,NORTHWEST,17707,0.0122,78953.51,168523,4.32,99.62,121.76,64.88,170,56,0.0054,8.3,3006.43
2024-01-22,SOUTH,20842,0.0146,140165.33,154207,4.15,99.68,89.92,64.91,47,133,0.0049,8.2,5421.57
2024-01-22,SOUTHEAST,30807,0.0113,50689.95,172099,4.58,99.82,185.28,64.56,66,62,0.0031,8.4,5586.05
2024-01-22,SOUTHWEST,32908,0.0098,62849.69,100308,4.41,99.85,205.09,25.30,196,149,0.0048,7.7,1724.47
2024-01-22,WEST,25223,0.0089,70963.80,93298,4.67,99.59,246.84,48.33,38,141,0.0072,6.0,4106.94
2024-01-23,CENTRAL,21880,0.0080,113919.51,86785,4.38,99.74,50.43,59.59,74,118,0.0061,6.6,5872.69
2024-01-23,EAST,30859,0.0137,68846.84,75519,4.50,99.28,90.11,68.34,111,93,0.0051,7.8,9428.55
2024-01-23,NORTH,25623,0.0069,105051.31,185730,4.06,99.22,288.16,39.82,126,17,0.0054,8.4,3750.13
2024-01-23,NORTHEAST,18133,0.0124,120297.67,93457,4.03,99.51,97.16,75.27,158,76,0.0072,8.6,1743.84
2024-01-23,NORTHWEST,19027,0.0062,129879.92,131017,4.51,99.78,211.05,27.88,76,151,0.0037,7.7,2477.19
2024-01-23,SOUTH,30464,0.0093,114414.58,96986,4.71,99.72,242.36,21.35,31,74,0.0046,7.6,5346.24
2024-01-23,SOUTHEAST,27968,0.0116,86884.26,143370,4.08,99.72,218.80,21.08,21,28,0.0052,7.4,2101.63
2024-01-23,SOUTHWEST,23822,0.0128,77464.68,122226,4.14,99.33,230.50,66.58,100,39,0.0020,8.2,1719.29
2024-01-23,WEST,28219,0.0126,150707.74,54345,4.17,99.25,146.19,76.23,100,70,0.0052,6.8,2476.69
2024-01-24,CENTRAL,15639,0.0075,109461.72,56676,4.13,99.77,214.96,42.50,112,18,0.0049,7.0,9865.03
2024-01-24,EAST,33350,0.0041,105416.49,64508,4.33,99.28,50.09,68.32,182,91,0.0040,8.4,9525.26
2024-01-24,NORTH,21809,0.0090,98317.53,155912,4.33,99.28,184.85,19.71,45,175,0.0023,8.3,6774.21
2024-01-24,NORTHEAST,15845,0.0012,127615.67,103547,4.46,99.63,132.70,37.51,135,174,0.0069,9.0,6265.87
2024-01-24,NORTHWEST,24339,0.0129,112768.54,170816,4.56,99.73,70.83,76.91,96,84,0.0026,6.2,1227.60
2024-01-24,SOUTH,30201,0.0098,123262.30,171590,4.77,99.58,125.45,67.86,101,145,0.0036,8.6,1858.74
