TOWER_ID,TOWER_NAME,POSTAL_CODE,LATITUDE,LONGITUDE,TOWER_TYPE,CAPACITY_GBPS,INSTALL_DATE,STATUS,REGION
TWR-0038,NexusStream-fort-38,94126,37.59592,-122.268056,MICRO,96,2021-06-18,ACTIVE,CENTRAL
TWR-0039,NexusStream-ton-39,94182,37.650475,-122.36165,MACRO,48,2024-09-26,ACTIVE,SOUTH
TWR-0040,NexusStream-ville-40,94165,37.892879,-122.314671,MICRO,69,2021-09-22,MAINTENANCE,WEST
TWR-0041,NexusStream-burgh-41,94196,37.606851,-122.421451,SMALL_CELL,31,2024-06-11,ACTIVE,EAST
TWR-0042,NexusStream-chester-42,94175,37.831927,-122.304591,MACRO,40,2023-08-12,ACTIVE,SOUTH
TWR-0043,NexusStream-land-43,94135,37.573677,-122.763029,MICRO,88,2022-09-17,ACTIVE,WEST
TWR-0044,NexusStream-furt-44,94163,37.943068,-122.339463,SMALL_CELL,99,2023-08-11,MAINTENANCE,WEST
TWR-0045,NexusStream-mouth-45,94161,37.621992,-122.275154,MACRO,23,2023-04-29,MAINTENANCE,SOUTH
TWR-0046,NexusStream-view-46,94132,37.902055,-122.243271,MICRO,16,2023-06-06,ACTIVE,NORTH
TWR-0047,NexusStream-town-47,94168,37.56667,-122.428285,SMALL_CELL,81,2023-12-20,ACTIVE,WEST
TWR-0048,NexusStream-ville-48,94188,37.907503,-122.086384,MICRO,80,2023-12-23,MAINTENANCE,SOUTH
TWR-0049,NexusStream-side-49,94170,37.725035,-122.198579,SMALL_CELL,45,2024-04-08,MAINTENANCE,SOUTH
TWR-0050,NexusStream-view-50,94145,37.719936,-122.229164,MACRO,44,2024-05-05,ACTIVE,EAST
TWR-0051,NexusStream-mouth-51,94179,37.540289,-122.679335,MICRO,98,2021-07-20,ACTIVE,SOUTH
TWR-0052,NexusStream-port-52,94118,37.707434,-122.535295,MICRO,63,2022-12-04,ACTIVE,SOUTH
TWR-0053,NexusStream-burgh-53,94163,37.694738,-122.184163,SMALL_CELL,12,2023-01-02,MAINTENANCE,WEST
TWR-0054,NexusStream-town-54,94110,37.971371,-122.56111,MICRO,63,2024-02-23,ACTIVE,WEST
TWR-0055,NexusStream-view-55,94138,37.636468,-122.411486,MICRO,53,2023-03-16,MAINTENANCE,SOUTH
TWR-0056,NexusStream-burgh-56,94169,37.959771,-122.015422,SMALL_CELL,13,2023-03-27,MAINTENANCE,CENTRAL
TWR-0057,NexusStream-ville-57,94182,37.8315,-122.732842,MICRO,27,2024-10-11,MAINTENANCE,SOUTH
TWR-0058,NexusStream-port-58,94116,37.630078,-122.538118,MICRO,51,2024-08-27,ACTIVE,WEST
TWR-0059,NexusStream-haven-59,94145,37.876005,-122.134461,MICRO,20,2023-09-01,MAINTENANCE,NORTH
TWR-0060,NexusStream-borough-60,94179,37.526043,-122.038464,MACRO,93,2021-09-22,ACTIVE,NORTH
TWR-0061,NexusStream-stad-61,94113,37.974806,-122.640511,MACRO,89,2024-04-26,ACTIVE,SOUTH
TWR-0062,NexusStream-burgh-62,94126,37.736781,-122.708488,MACRO,69,2023-05-15,ACTIVE,EAST
TWR-0063,NexusStream-haven-63,94131,37.802946,-122.029012,SMALL_CELL,24,2024-12-24,ACTIVE,EAST
TWR-0064,NexusStream-town-64,94123,37.789342,-122.05689,SMALL_CELL,96,2023-08-16,MAINTENANCE,WEST
TWR-0065,NexusStream-mouth-65,94135,37.537998,-122.247508,SMALL_CELL,41,2023-02-26,ACTIVE,EAST
TWR-0066,NexusStream-town-66,94197,37.800206,-122.703156,SMALL_CELL,15,2021-07-20,ACTIVE,CENTRAL
TWR-0067,NexusStream-stad-67,94164,37.830761,-122.744835,SMALL_CELL,53,2024-10-24,ACTIVE,WEST
TWR-0068,NexusStream-port-68,94172,37.552769,-122.03137,SMALL_CELL,68,2022-02-03,ACTIVE,WEST
TWR-0069,NexusStream-ton-69,94132,37.866898,-122.027621,MICRO,88,2022-02-06,MAINTENANCE,WEST
TWR-0070,NexusStream-shire-70,94165,37.912867,-122.32602,MICRO,41,2021-05-30,ACTIVE,EAST
TWR-0071,NexusStream-land-71,94167,37.621932,-122.428233,SMALL_CELL,95,2024-03-09,MAINTENANCE,EAST
TWR-0072,NexusStream-fort-72,94113,37.747153,-122.539989,MICRO,37,2024-07-18,ACTIVE,EAST
TWR-0073,NexusStream-land-73,94153,37.639829,-122.323076,MICRO,81,2024-04-23,ACTIVE,CENTRAL
TWR-0074,NexusStream-side-74,94134,37.542806,-122.22394,MICRO,81,2024-05-01,ACTIVE,WEST
TWR-0075,NexusStream-berg-75,94192,37.855921,-122.44146,MACRO,21,2021-08-15,ACTIVE,SOUTH
TWR-0076,NexusStream-fort-76,94161,37.845894,-122.555035,SMALL_CELL,57,2023-06-01,MAINTENANCE,CENTRAL
TWR-0077,NexusStream-burgh-77,94177,37.671879,-122.002695,SMALL_CELL,52,2022-03-15,ACTIVE,WEST
TWR-0078,NexusStream-haven-78,94144,37.653311,-122.61557,SMALL_CELL,34,2024-10-14,ACTIVE,NORTH
TWR-0079,NexusStream-chester-79,94178,37.975439,-122.247869,MACRO,37,2021-12-23,MAINTENANCE,EAST
TWR-0080,NexusStream-side-80,94185,37.988304,-122.380291,MICRO,22,2024-04-15,ACTIVE,EAST
TWR-0081,NexusStream-borough-81,94139,37.680441,-122.558186,SMALL_CELL,78,2024-02-09,ACTIVE,EAST
TWR-0082,NexusStream-port-82,94115,37.987147,-122.357313,SMALL_CELL,26,2022-10-09,MAINTENANCE,NORTH
TWR-0083,NexusStream-stad-83,94111,37.787032,-122.424482,MICRO,53,2022-12-09,ACTIVE,NORTH
TWR-0084,NexusStream-haven-84,94142,37.970532,-122.417817,MACRO,61,2022-12-30,MAINTENANCE,NORTH
TWR-0085,NexusStream-ville-85,94183,37.814723,-122.757113,MACRO,82,2022-02-17,ACTIVE,NORTH
TWR-0086,NexusStream-bury-86,94141,37.559226,-122.188445,SMALL_CELL,86,2021-05-07,ACTIVE,CENTRAL
TWR-0087,NexusStream-mouth-87,94158,37.725257,-122.445823,SMALL_CELL,64,2021-03-01,ACTIVE,CENTRAL
TWR-0088,NexusStream-shire-88,94189,37.530115,-122.031913,MACRO,36,2023-06-07,ACTIVE,EAST
TWR-0089,NexusStream-bury-89,94194,37.540594,-122.608108,SMALL_CELL,19,2023-07-31,ACTIVE,NORTH
TWR-0090,NexusStream-bury-90,94162,37.725252,-122.324951,MICRO,14,2021-02-08,ACTIVE,EAST
TWR-0091,NexusStream-land-91,94146,37.851494,-122.436775,SMALL_CELL,39,2024-02-01,ACTIVE,CENTRAL
TWR-0092,NexusStream-ton-92,94194,37.901953,-122.641745,MACRO,79,2022-01-18,ACTIVE,SOUTH
TWR-0093,NexusStream-land-93,94144,37.913316,-122.742872,MACRO,49,2024-12-04,ACTIVE,WEST
TWR-0094,NexusStream-ton-94,94125,37.734349,-122.556727,MICRO,44,2024-09-24,MAINTENANCE,WEST
TWR-0095,NexusStream-mouth-95,94120,37.799018,-122.088462,SMALL_CELL,51,2021-05-18,ACTIVE,NORTH
TWR-0096,NexusStream-haven-96,94121,37.614462,-122.260561,SMALL_CELL,85,2022-02-01,ACTIVE,EAST
TWR-0097,NexusStream-view-97,94183,37.520116,-122.194985,MICRO,76,2023-12-03,MAINTENANCE,EAST
TWR-0098,NexusStream-fort-98,94133,37.998473,-122.451292,MICRO,21,2021-12-26,MAINTENANCE,EAST
TWR-0099,NexusStream-side-99,94162,37.666654,-122.263893,MACRO,52,2021-08-21,MAINTENANCE,WEST
TWR-0100,NexusStream-shire-100,94146,37.831292,-122.479638,SMALL_CELL,14,2023-07-12,MAINTENANCE,NORTH
TWR-0101,NexusStream-fort-101,94150,37.626199,-122.707263,MICRO,75,2022-02-09,ACTIVE,CENTRAL
TWR-0102,NexusStream-fort-102,94169,37.706624,-122.649934,MICRO,89,2024-07-05,MAINTENANCE,WEST
TWR-0103,NexusStream-chester-103,94116,37.601779,-122.360624,MICRO,66,2021-11-19,MAINTENANCE,NORTH
TWR-0104,NexusStream-ville-104,94113,37.986573,-122.312903,MACRO,100,2021-06-27,ACTIVE,EAST
TWR-0105,NexusStream-chester-105,94180,37.506837,-122.473607,MACRO,24,2022-08-01,MAINTENANCE,NORTH
TWR-0106,NexusStream-chester-106,94192,37.916072,-122.4013,SMALL_CELL,47,2022-10-28,ACTIVE,WEST
TWR-0107,NexusStream-mouth-107,94171,37.990122,-122.605015,SMALL_CELL,28,2024-09-30,MAINTENANCE,SOUTH
TWR-0108,NexusStream-ton-108,94186,37.75412,-122.096539,MACRO,45,2023-12-10,MAINTENANCE,EAST
TWR-0109,NexusStream-ville-109,94174,37.633586,-122.797948,SMALL_CELL,48,2021-05-02,MAINTENANCE,SOUTH
TWR-0110,NexusStream-furt-110,94167,37.76929,-122.523901,SMALL_CELL,79,2024-03-04,MAINTENANCE,WEST
TWR-0111,NexusStream-mouth-111,94151,37.934801,-122.01538,MACRO,83,2024-06-24,MAINTENANCE,SOUTH
TWR-0112,NexusStream-ville-112,94162,37.521824,-122.204236,SMALL_CELL,58,2022-02-18,MAINTENANCE,SOUTH
TWR-0113,NexusStream-borough-113,94173,37.982412,-122.699003,SMALL_CELL,52,2021-11-19,ACTIVE,WEST
TWR-0114,NexusStream-side-114,94122,37.762976,-122.434458,SMALL_CELL,28,2022-12-25,MAINTENANCE,SOUTH
TWR-0115,NexusStream-berg-115,94119,37.734745,-122.024637,MICRO,89,2022-11-14,MAINTENANCE,NORTH
TWR-0116,NexusStream-burgh-116,94152,37.926171,-122.112526,MICRO,50,2022-04-05,MAINTENANCE,CENTRAL
TWR-0117,NexusStream-mouth-117,94114,37.80873,-122.612184,SMALL_CELL,46,2022-02-20,ACTIVE,NORTH
TWR-0118,NexusStream-land-118,94165,37.989169,-122.191704,SMALL_CELL,22,2022-12-17,MAINTENANCE,SOUTH
TWR-0119,NexusStream-side-119,94198,37.649733,-122.776842,MICRO,17,2021-06-29,ACTIVE,EAST
TWR-0120,NexusStream-ton-120,94157,37.715343,-122.604642,MICRO,82,2023-11-07,ACTIVE,SOUTH
TWR-0121,NexusStream-land-121,94120,37.803348,-122.160784,SMALL_CELL,88,2023-04-07,ACTIVE,WEST
TWR-0122,NexusStream-creek-122,94144,37.756086,-122.024685,MICRO,99,2021-09-30,MAINTENANCE,WEST
TWR-0123,NexusStream-mont-123,94145,37.867491,-122.194133,SMALL_CELL,28,2023-07-18,ACTIVE,NORTH
TWR-0124,NexusStream-ford-124,94131,37.521668,-122.23684,MACRO,43,2022-02-08,ACTIVE,EAST
TWR-0125,NexusStream-park-125,94106,37.936535,-122.553656,MACRO,74,2022-03-22,ACTIVE,EAST
TWR-0126,NexusStream-bury-126,94129,37.878906,-122.375847,MACRO,88,2024-06-18,ACTIVE,SOUTH
TWR-0127,NexusStream-hill-127,94144,37.511134,-122.056604,SMALL_CELL,42,2022-06-16,ACTIVE,WEST
TWR-0128,NexusStream-bridge-128,94118,37.542941,-122.393514,MICRO,80,2021-10-23,MAINTENANCE,WEST
TWR-0129,NexusStream-bury-129,94135,37.965231,-122.668725,SMALL_CELL,98,2022-04-17,ACTIVE,SOUTH
TWR-0130,NexusStream-wood-130,94121,37.844444,-122.459662,MACRO,95,2023-07-25,ACTIVE,WEST
TWR-0131,NexusStream-park-131,94131,37.577999,-122.608807,SMALL_CELL,12,2024-03-18,ACTIVE,EAST
TWR-0132,NexusStream-field-132,94146,37.61261,-122.705112,MACRO,21,2021-06-26,ACTIVE,NORTH
TWR-0133,NexusStream-stad-133,94129,37.555006,-122.611693,MACRO,83,2024-02-17,ACTIVE,SOUTH
TWR-0134,NexusStream-bury-134,94144,37.618567,-122.403412,SMALL_CELL,36,2021-08-25,ACTIVE,WEST
TWR-0135,NexusStream-mont-135,94128,37.689597,-122.469407,MACRO,16,2024-10-08,MAINTENANCE,EAST
TWR-0136,NexusStream-dale-136,94112,37.53595,-122.223714,MICRO,45,2022-03-04,ACTIVE,NORTH
TWR-0137,NexusStream-wood-137,94135,37.587471,-122.654356,SMALL_CELL,52,2023-08-04,ACTIVE,SOUTH
TWR-0138,NexusStream-wood-138,94103,37.581485,-122.003655,MICRO,24,2022-06-07,MAINTENANCE,CENTRAL
TWR-0139,NexusStream-ford-139,94143,37.735191,-122.60051,SMALL_CELL,19,2023-03-26,ACTIVE,WEST
TWR-0140,NexusStream-port-140,94128,37.646978,-122.19049,SMALL_CELL,46,2025-01-04,ACTIVE,EAST
TWR-0141,NexusStream-stead-141,94136,37.836727,-122.412895,MICRO,47,2021-06-07,ACTIVE,EAST
TWR-0142,NexusStream-bridge-142,94102,37.872099,-122.753212,MACRO,82,2024-01-31,ACTIVE,SOUTH
TWR-0143,NexusStream-ford-143,94110,37.963561,-122.702118,MICRO,20,2021-06-27,ACTIVE,WEST
TWR-0144,NexusStream-mont-144,94116,37.713265,-122.072688,MACRO,41,2024-06-09,ACTIVE,EAST
TWR-0145,NexusStream-stad-145,94118,37.703269,-122.319243,SMALL_CELL,52,2022-04-02,ACTIVE,WEST
TWR-0146,NexusStream-mont-146,94129,37.6336,-122.488219,MACRO,59,2022-11-17,ACTIVE,SOUTH
TWR-0147,NexusStream-burn-147,94112,37.511311,-122.302129,MACRO,26,2024-02-14,ACTIVE,NORTH
TWR-0148,NexusStream-ton-148,94147,37.629239,-122.05344,MICRO,43,2022-09-14,ACTIVE,WEST
TWR-0149,NexusStream-ford-149,94140,37.907293,-122.241787,MACRO,81,2024-11-06,ACTIVE,NORTH
TWR-0150,NexusStream-wood-150,94126,37.949611,-122.684269,MICRO,45,2021-09-15,ACTIVE,WEST
TWR-0151,NexusStream-stead-151,94147,37.576487,-122.5488,MICRO,55,2024-12-16,ACTIVE,WEST
TWR-0152,NexusStream-dale-152,94122,37.758506,-122.601429,MICRO,32,2023-06-25,MAINTENANCE,SOUTH
TWR-0153,NexusStream-haven-153,94104,37.50854,-122.192287,MACRO,47,2023-08-01,ACTIVE,NORTH
TWR-0154,NexusStream-wood-154,94142,37.747409,-122.737294,MICRO,32,2021-04-22,ACTIVE,CENTRAL
TWR-0155,NexusStream-ridge-155,94147,37.572953,-122.666128,SMALL_CELL,58,2023-02-10,ACTIVE,WEST
TWR-0156,NexusStream-ton-156,94113,37.834148,-122.52117,MACRO,73,2021-12-21,ACTIVE,SOUTH
TWR-0157,NexusStream-field-157,94111,37.987091,-122.170523,SMALL_CELL,13,2022-12-20,ACTIVE,EAST
TWR-0158,NexusStream-vale-158,94116,37.647744,-122.18802,MICRO,58,2023-09-29,ACTIVE,EAST
TWR-0159,NexusStream-field-159,94113,37.90423,-122.437729,SMALL_CELL,50,2021-03-28,ACTIVE,SOUTH
TWR-0160,NexusStream-mont-160,94116,37.710725,-122.568494,MICRO,45,2024-09-13,ACTIVE,EAST
TWR-0161,NexusStream-park-161,94139,37.833216,-122.139151,SMALL_CELL,17,2022-07-27,ACTIVE,NORTH
TWR-0162,NexusStream-ford-162,94126,37.520161,-122.309436,SMALL_CELL,52,2024-07-03,ACTIVE,WEST
TWR-0163,NexusStream-park-163,94112,37.69185,-122.334776,MICRO,19,2023-07-21,MAINTENANCE,NORTH
TWR-0164,NexusStream-port-164,94145,37.9514,-122.36271,MACRO,39,2023-07-11,ACTIVE,NORTH
TWR-0165,NexusStream-borough-165,94141,37.801286,-122.258633,MICRO,50,2022-11-03,ACTIVE,WEST
TWR-0166,NexusStream-mont-166,94123,37.702747,-122.227595,MACRO,29,2023-06-19,ACTIVE,CENTRAL
TWR-0167,NexusStream-mont-167,94143,37.827318,-122.076595,MACRO,84,2023-05-20,ACTIVE,WEST
TWR-0168,NexusStream-wood-168,94102,37.664128,-122.633466,MACRO,98,2022-11-29,MAINTENANCE,SOUTH
TWR-0169,NexusStream-cross-169,94135,37.728887,-122.630712,SMALL_CELL,42,2021-07-31,MAINTENANCE,SOUTH
TWR-0170,NexusStream-view-170,94136,37.837675,-122.31374,MICRO,40,2022-11-05,MAINTENANCE,EAST
TWR-0171,NexusStream-field-171,94116,37.590604,-122.742282,SMALL_CELL,88,2021-07-07,MAINTENANCE,EAST
TWR-0172,NexusStream-cross-172,94123,37.949127,-122.317695,MACRO,62,2023-05-07,ACTIVE,CENTRAL
TWR-0173,NexusStream-field-173,94120,37.8171,-122.758813,MACRO,25,2023-06-28,MAINTENANCE,WEST
TWR-0174,NexusStream-field-174,94111,37.904768,-122.256418,SMALL_CELL,16,2022-07-03,ACTIVE,EAST
TWR-0175,NexusStream-land-175,94140,37.570881,-122.416773,SMALL_CELL,85,2022-11-19,ACTIVE,NORTH
TWR-0176,NexusStream-burn-176,94144,37.796238,-122.216141,SMALL_CELL,66,2023-08-10,ACTIVE,WEST
TWR-0177,NexusStream-ford-177,94149,37.920622,-122.427448,MACRO,45,2022-08-29,MAINTENANCE,NORTH
TWR-0178,NexusStream-burn-178,94147,37.734689,-122.581122,SMALL_CELL,21,2022-09-16,MAINTENANCE,WEST
TWR-0179,NexusStream-field-179,94117,37.680771,-122.10901,MICRO,27,2022-05-27,ACTIVE,EAST
TWR-0180,NexusStream-creek-180,94142,37.62646,-122.585851,SMALL_CELL,65,2024-02-24,ACTIVE,CENTRAL
TWR-0181,NexusStream-cross-181,94139,37.536744,-122.14704,SMALL_CELL,88,2021-03-20,MAINTENANCE,NORTH
TWR-0182,NexusStream-burn-182,94133,37.726594,-122.740092,SMALL_CELL,51,2023-04-17,MAINTENANCE,CENTRAL
TWR-0183,NexusStream-vale-183,94136,37.877695,-122.368428,MACRO,38,2022-05-03,ACTIVE,EAST
TWR-0184,NexusStream-haven-184,94128,37.752426,-122.486043,MACRO,96,2022-01-12,ACTIVE,EAST
TWR-0185,NexusStream-cross-185,94109,37.981094,-122.37996,SMALL_CELL,96,2024-10-27,ACTIVE,SOUTH
TWR-0186,NexusStream-port-186,94112,37.815556,-122.657716,SMALL_CELL,37,2022-07-25,ACTIVE,NORTH
TWR-0187,NexusStream-creek-187,94138,37.6085,-122.517706,MACRO,62,2023-06-21,ACTIVE,NORTH
TWR-0188,NexusStream-haven-188,94105,37.742068,-122.211786,MICRO,65,2024-10-01,ACTIVE,SOUTH
TWR-0189,NexusStream-borough-189,94110,37.864287,-122.041007,MICRO,14,2021-12-17,ACTIVE,WEST
TWR-0190,NexusStream-field-190,94120,37.729385,-122.676055,MICRO,71,2022-07-17,MAINTENANCE,WEST
TWR-0191,NexusStream-burn-191,94125,37.600379,-122.322724,MACRO,24,2022-01-09,MAINTENANCE,EAST
TWR-0192,NexusStream-view-192,94118,37.779911,-122.056765,MACRO,98,2023-05-01,ACTIVE,WEST
TWR-0193,NexusStream-wick-193,94108,37.592665,-122.232483,MACRO,44,2022-10-18,ACTIVE,CENTRAL
TWR-0194,NexusStream-mont-194,94118,37.884471,-122.332731,MICRO,56,2023-07-05,ACTIVE,WEST
TWR-0195,NexusStream-mont-195,94129,37.554116,-122.291201,MICRO,74,2021-09-12,ACTIVE,SOUTH
TWR-0196,NexusStream-vale-196,94141,37.80726,-122.132935,MACRO,31,2022-02-03,ACTIVE,WEST
TWR-0197,NexusStream-stead-197,94136,37.981957,-122.574866,SMALL_CELL,71,2023-07-20,ACTIVE,EAST
TWR-0198,NexusStream-stead-198,94117,37.674293,-122.593253,MICRO,45,2022-06-22,ACTIVE,EAST
TWR-0199,NexusStream-burn-199,94144,37.775665,-122.254983,SMALL_CELL,15,2022-12-05,ACTIVE,WEST
TWR-0200,NexusStream-ford-200,94144,37.603726,-122.15641,SMALL_CELL,47,2022-08-27,ACTIVE,WEST
TWR-0201,NexusStream-wood-201,94104,37.754978,-122.617169,MICRO,66,2024-03-21,ACTIVE,NORTH
TWR-0202,NexusStream-burn-202,94116,37.850474,-122.293816,SMALL_CELL,67,2021-08-17,ACTIVE,EAST
TWR-0203,NexusStream-view-203,94116,37.713564,-122.594891,MACRO,84,2023-10-05,ACTIVE,EAST
TWR-0204,NexusStream-wood-204,94147,37.666996,-122.005256,MACRO,54,2023-08-26,ACTIVE,WEST
TWR-0205,NexusStream-haven-205,94117,37.640377,-122.686612,MICRO,50,2024-02-10,ACTIVE,EAST
TWR-0206,NexusStream-burn-206,94149,37.595766,-122.598616,SMALL_CELL,49,2024-05-30,MAINTENANCE,NORTH
TWR-0207,NexusStream-burn-207,94130,37.821815,-122.017571,MICRO,50,2023-02-17,ACTIVE,CENTRAL
TWR-0208,NexusStream-ford-208,94132,37.513633,-122.365872,MICRO,19,2024-03-17,ACTIVE,NORTH
TWR-0209,NexusStream-view-209,94149,37.960293,-122.289889,MACRO,76,2021-03-05,ACTIVE,NORTH
TWR-0210,NexusStream-bridge-210,94126,37.727383,-122.428126,MICRO,18,2023-10-14,ACTIVE,WEST
TWR-0211,NexusStream-land-211,94112,37.699301,-122.70285,MACRO,20,2021-12-10,ACTIVE,NORTH
TWR-0212,NexusStream-bridge-212,94117,37.560863,-122.591237,MACRO,63,2024-06-12,ACTIVE,EAST
TWR-0213,NexusStream-shore-213,94108,37.900532,-122.462474,SMALL_CELL,51,2023-07-06,ACTIVE,CENTRAL
TWR-0214,NexusStream-view-214,94146,37.805123,-122.310573,MACRO,26,2022-04-09,MAINTENANCE,NORTH
TWR-0215,NexusStream-dale-215,94121,37.628972,-122.701299,MICRO,34,2021-07-11,ACTIVE,WEST
TWR-0216,NexusStream-ford-216,94110,37.698122,-122.238877,SMALL_CELL,49,2022-05-28,ACTIVE,WEST
TWR-0217,NexusStream-view-217,94126,37.839656,-122.417814,MACRO,41,2024-08-11,ACTIVE,WEST
TWR-0218,NexusStream-bridge-218,94137,37.912945,-122.597812,MICRO,82,2024-09-26,ACTIVE,CENTRAL
TWR-0219,NexusStream-bury-219,94117,37.915541,-122.72344,MICRO,49,2024-04-18,ACTIVE,EAST
TWR-0220,NexusStream-view-220,94127,37.613942,-122.233918,MACRO,64,2023-11-29,ACTIVE,CENTRAL
TWR-0221,NexusStream-wood-221,94131,37.729521,-122.329612,SMALL_CELL,51,2022-07-05,ACTIVE,EAST
TWR-0222,NexusStream-port-222,94103,37.659953,-122.244579,MACRO,88,2024-11-15,ACTIVE,CENTRAL
TWR-0223,NexusStream-haven-223,94102,37.879186,-122.660849,SMALL_CELL,77,2022-02-14,ACTIVE,SOUTH
TWR-0224,NexusStream-bridge-224,94134,37.819092,-122.413139,MICRO,81,2023-05-25,ACTIVE,SOUTH
TWR-0225,NexusStream-hill-225,94129,37.835646,-122.126714,SMALL_CELL,73,2023-11-19,MAINTENANCE,SOUTH
TWR-0226,NexusStream-view-226,94143,37.892805,-122.344772,SMALL_CELL,23,2022-07-09,ACTIVE,WEST
TWR-0227,NexusStream-hill-227,94105,37.97616,-122.481654,SMALL_CELL,21,2024-02-24,MAINTENANCE,SOUTH
TWR-0228,NexusStream-cross-228,94139,37.532872,-122.377369,MACRO,77,2023-08-02,MAINTENANCE,NORTH
TWR-0229,NexusStream-burn-229,94102,37.61715,-122.368146,MICRO,77,2023-10-28,MAINTENANCE,SOUTH
TWR-0230,NexusStream-land-230,94100,37.985628,-122.32151,MICRO,100,2022-11-06,ACTIVE,EAST
TWR-0231,NexusStream-wood-231,94110,37.767207,-122.692159,MICRO,71,2024-09-26,ACTIVE,WEST
TWR-0232,NexusStream-bury-232,94144,37.950042,-122.541117,MACRO,46,2023-10-24,ACTIVE,WEST
