UNIT_ID,OPERATION,MACHINE_ID,SHIFT,RUN_TS
U-00007,REFLOW,REF-03,DAY,2026-02-05T00:00:00
U-00007,FINAL_ASSEMBLY,ASM-01,DAY,2026-02-05T00:00:00
U-00007,FUNCTIONAL_TEST,TST-02,DAY,2026-02-05T00:00:00
U-00008,SMT_PLACEMENT,SMT-01,DAY,2026-02-10T00:00:00
U-00008,REFLOW,REF-01,DAY,2026-02-10T00:00:00
U-00008,FINAL_ASSEMBLY,ASM-01,DAY,2026-02-10T00:00:00
U-00008,FUNCTIONAL_TEST,TST-02,DAY,2026-02-10T00:00:00
U-00009,SMT_PLACEMENT,SMT-01,NIGHT,2026-02-10T00:00:00
U-00009,REFLOW,REF-02,NIGHT,2026-02-10T00:00:00
U-00009,FINAL_ASSEMBLY,ASM-01,NIGHT,2026-02-10T00:00:00
U-00009,FUNCTIONAL_TEST,TST-01,NIGHT,2026-02-10T00:00:00
U-00010,SMT_PLACEMENT,SMT-01,DAY,2026-02-06T00:00:00
U-00010,REFLOW,REF-03,DAY,2026-02-06T00:00:00
U-00010,FINAL_ASSEMBLY,ASM-01,DAY,2026-02-06T00:00:00
U-00010,FUNCTIONAL_TEST,TST-02,DAY,2026-02-06T00:00:00
U-00011,SMT_PLACEMENT,SMT-02,NIGHT,2026-02-15T00:00:00
U-00011,REFLOW,REF-03,NIGHT,2026-02-15T00:00:00
U-00011,FINAL_ASSEMBLY,ASM-01,NIGHT,2026-02-15T00:00:00
U-00011,FUNCTIONAL_TEST,TST-01,NIGHT,2026-02-15T00:00:00
U-00012,SMT_PLACEMENT,SMT-01,SWING,2026-02-15T00:00:00
U-00012,REFLOW,REF-01,SWING,2026-02-15T00:00:00
U-00012,FINAL_ASSEMBLY,ASM-01,SWING,2026-02-15T00:00:00
U-00012,FUNCTIONAL_TEST,TST-02,SWING,2026-02-15T00:00:00
U-00013,SMT_PLACEMENT,SMT-02,NIGHT,2026-02-09T00:00:00
U-00013,REFLOW,REF-01,NIGHT,2026-02-09T00:00:00
U-00013,FINAL_ASSEMBLY,ASM-02,NIGHT,2026-02-09T00:00:00
U-00013,FUNCTIONAL_TEST,TST-02,NIGHT,2026-02-09T00:00:00
U-00014,SMT_PLACEMENT,SMT-03,DAY,2026-02-19T00:00:00
U-00014,REFLOW,REF-01,DAY,2026-02-19T00:00:00
U-00014,FINAL_ASSEMBLY,ASM-01,DAY,2026-02-19T00:00:00
U-00014,FUNCTIONAL_TEST,TST-02,DAY,2026-02-19T00:00:00
U-00015,SMT_PLACEMENT,SMT-01,DAY,2026-02-15T00:00:00
U-00015,REFLOW,REF-03,DAY,2026-02-15T00:00:00
U-00015,FINAL_ASSEMBLY,ASM-02,DAY,2026-02-15T00:00:00
U-00015,FUNCTIONAL_TEST,TST-01,DAY,2026-02-15T00:00:00
U-00016,SMT_PLACEMENT,SMT-01,DAY,2026-02-08T00:00:00
U-00016,REFLOW,REF-02,DAY,2026-02-08T00:00:00
U-00016,FINAL_ASSEMBLY,ASM-02,DAY,2026-02-08T00:00:00
U-00016,FUNCTIONAL_TEST,TST-02,DAY,2026-02-08T00:00:00
U-00017,SMT_PLACEMENT,SMT-01,SWING,2026-02-11T00:00:00
U-00017,REFLOW,REF-03,SWING,2026-02-11T00:00:00
U-00017,FINAL_ASSEMBLY,ASM-01,SWING,2026-02-11T00:00:00
U-00017,FUNCTIONAL_TEST,TST-02,SWING,2026-02-11T00:00:00
U-00018,SMT_PLACEMENT,SMT-01,DAY,2026-02-11T00:00:00
U-00018,REFLOW,REF-02,DAY,2026-02-11T00:00:00
U-00018,FINAL_ASSEMBLY,ASM-02,DAY,2026-02-11T00:00:00
U-00018,FUNCTIONAL_TEST,TST-01,DAY,2026-02-11T00:00:00
U-00019,SMT_PLACEMENT,SMT-01,DAY,2026-02-21T00:00:00
U-00019,REFLOW,REF-01,DAY,2026-02-21T00:00:00
U-00019,FINAL_ASSEMBLY,ASM-01,DAY,2026-02-21T00:00:00
U-00019,FUNCTIONAL_TEST,TST-02,DAY,2026-02-21T00:00:00
U-00020,SMT_PLACEMENT,SMT-01,SWING,2026-02-16T00:00:00
U-00020,REFLOW,REF-02,SWING,2026-02-16T00:00:00
U-00020,FINAL_ASSEMBLY,ASM-01,SWING,2026-02-16T00:00:00
U-00020,FUNCTIONAL_TEST,TST-01,SWING,2026-02-16T00:00:00
U-00021,SMT_PLACEMENT,SMT-01,DAY,2026-02-18T00:00:00
U-00021,REFLOW,REF-03,DAY,2026-02-18T00:00:00
U-00021,FINAL_ASSEMBLY,ASM-02,DAY,2026-02-18T00:00:00
U-00021,FUNCTIONAL_TEST,TST-02,DAY,2026-02-18T00:00:00
U-00022,SMT_PLACEMENT,SMT-01,DAY,2026-02-18T00:00:00
U-00022,REFLOW,REF-03,DAY,2026-02-18T00:00:00
U-00022,FINAL_ASSEMBLY,ASM-01,DAY,2026-02-18T00:00:00
U-00022,FUNCTIONAL_TEST,TST-02,DAY,2026-02-18T00:00:00
U-00023,SMT_PLACEMENT,SMT-01,DAY,2026-02-22T00:00:00
U-00023,REFLOW,REF-03,DAY,2026-02-22T00:00:00
U-00023,FINAL_ASSEMBLY,ASM-01,DAY,2026-02-22T00:00:00
U-00023,FUNCTIONAL_TEST,TST-01,DAY,2026-02-22T00:00:00
U-00024,SMT_PLACEMENT,SMT-01,DAY,2026-02-06T00:00:00
U-00024,REFLOW,REF-01,DAY,2026-02-06T00:00:00
U-00024,FINAL_ASSEMBLY,ASM-02,DAY,2026-02-06T00:00:00
U-00024,FUNCTIONAL_TEST,TST-02,DAY,2026-02-06T00:00:00
U-00025,SMT_PLACEMENT,SMT-01,NIGHT,2026-02-02T00:00:00
U-00025,REFLOW,REF-01,NIGHT,2026-02-02T00:00:00
U-00025,FINAL_ASSEMBLY,ASM-02,NIGHT,2026-02-02T00:00:00
U-00025,FUNCTIONAL_TEST,TST-01,NIGHT,2026-02-02T00:00:00
U-00026,SMT_PLACEMENT,SMT-02,NIGHT,2026-02-17T00:00:00
U-00026,REFLOW,REF-03,NIGHT,2026-02-17T00:00:00
U-00026,FINAL_ASSEMBLY,ASM-01,NIGHT,2026-02-17T00:00:00
U-00026,FUNCTIONAL_TEST,TST-02,NIGHT,2026-02-17T00:00:00
U-00027,SMT_PLACEMENT,SMT-01,DAY,2026-02-04T00:00:00
U-00027,REFLOW,REF-01,DAY,2026-02-04T00:00:00
U-00027,FINAL_ASSEMBLY,ASM-02,DAY,2026-02-04T00:00:00
U-00027,FUNCTIONAL_TEST,TST-02,DAY,2026-02-04T00:00:00
U-00028,SMT_PLACEMENT,SMT-01,NIGHT,2026-02-15T00:00:00
U-00028,REFLOW,REF-03,NIGHT,2026-02-15T00:00:00
U-00028,FINAL_ASSEMBLY,ASM-01,NIGHT,2026-02-15T00:00:00
U-00028,FUNCTIONAL_TEST,TST-01,NIGHT,2026-02-15T00:00:00
U-00029,SMT_PLACEMENT,SMT-01,DAY,2026-02-09T00:00:00
U-00029,REFLOW,REF-01,DAY,2026-02-09T00:00:00
U-00029,FINAL_ASSEMBLY,ASM-01,DAY,2026-02-09T00:00:00
U-00029,FUNCTIONAL_TEST,TST-02,DAY,2026-02-09T00:00:00
U-00030,SMT_PLACEMENT,SMT-03,SWING,2026-02-07T00:00:00
U-00030,REFLOW,REF-02,SWING,2026-02-07T00:00:00
U-00030,FINAL_ASSEMBLY,ASM-02,SWING,2026-02-07T00:00:00
U-00030,FUNCTIONAL_TEST,TST-02,SWING,2026-02-07T00:00:00
U-00031,SMT_PLACEMENT,SMT-01,DAY,2026-02-20T00:00:00
U-00031,REFLOW,REF-03,DAY,2026-02-20T00:00:00
U-00031,FINAL_ASSEMBLY,ASM-02,DAY,2026-02-20T00:00:00
U-00031,FUNCTIONAL_TEST,TST-02,DAY,2026-02-20T00:00:00
U-00032,SMT_PLACEMENT,SMT-01,NIGHT,2026-02-02T00:00:00
U-00032,REFLOW,REF-03,NIGHT,2026-02-02T00:00:00
U-00032,FINAL_ASSEMBLY,ASM-01,NIGHT,2026-02-02T00:00:00
U-00032,FUNCTIONAL_TEST,TST-02,NIGHT,2026-02-02T00:00:00
U-00033,SMT_PLACEMENT,SMT-02,SWING,2026-02-22T00:00:00
U-00033,REFLOW,REF-02,SWING,2026-02-22T00:00:00
U-00033,FINAL_ASSEMBLY,ASM-02,SWING,2026-02-22T00:00:00
U-00033,FUNCTIONAL_TEST,TST-01,SWING,2026-02-22T00:00:00
U-00034,SMT_PLACEMENT,SMT-02,DAY,2026-02-16T00:00:00
U-00034,REFLOW,REF-01,DAY,2026-02-16T00:00:00
U-00034,FINAL_ASSEMBLY,ASM-01,DAY,2026-02-16T00:00:00
U-00034,FUNCTIONAL_TEST,TST-02,DAY,2026-02-16T00:00:00
U-00035,SMT_PLACEMENT,SMT-02,SWING,2026-02-21T00:00:00
U-00035,REFLOW,REF-01,SWING,2026-02-21T00:00:00
U-00035,FINAL_ASSEMBLY,ASM-01,SWING,2026-02-21T00:00:00
U-00035,FUNCTIONAL_TEST,TST-02,SWING,2026-02-21T00:00:00
U-00036,SMT_PLACEMENT,SMT-01,SWING,2026-02-04T00:00:00
U-00036,REFLOW,REF-01,SWING,2026-02-04T00:00:00
U-00036,FINAL_ASSEMBLY,ASM-02,SWING,2026-02-04T00:00:00
U-00036,FUNCTIONAL_TEST,TST-02,SWING,2026-02-04T00:00:00
U-00037,SMT_PLACEMENT,SMT-02,DAY,2026-02-13T00:00:00
U-00037,REFLOW,REF-01,DAY,2026-02-13T00:00:00
U-00037,FINAL_ASSEMBLY,ASM-01,DAY,2026-02-13T00:00:00
U-00037,FUNCTIONAL_TEST,TST-01,DAY,2026-02-13T00:00:00
U-00038,SMT_PLACEMENT,SMT-01,DAY,2026-02-18T00:00:00
U-00038,REFLOW,REF-01,DAY,2026-02-18T00:00:00
U-00038,FINAL_ASSEMBLY,ASM-01,DAY,2026-02-18T00:00:00
U-00038,FUNCTIONAL_TEST,TST-02,DAY,2026-02-18T00:00:00
U-00039,SMT_PLACEMENT,SMT-01,DAY,2026-02-11T00:00:00
U-00039,REFLOW,REF-03,DAY,2026-02-11T00:00:00
U-00039,FINAL_ASSEMBLY,ASM-01,DAY,2026-02-11T00:00:00
U-00039,FUNCTIONAL_TEST,TST-01,DAY,2026-02-11T00:00:00
U-00040,SMT_PLACEMENT,SMT-02,NIGHT,2026-02-04T00:00:00
U-00040,REFLOW,REF-01,NIGHT,2026-02-04T00:00:00
U-00040,FINAL_ASSEMBLY,ASM-01,NIGHT,2026-02-04T00:00:00
U-00040,FUNCTIONAL_TEST,TST-01,NIGHT,2026-02-04T00:00:00
U-00041,SMT_PLACEMENT,SMT-01,NIGHT,2026-02-21T00:00:00
U-00041,REFLOW,REF-02,NIGHT,2026-02-21T00:00:00
U-00041,FINAL_ASSEMBLY,ASM-02,NIGHT,2026-02-21T00:00:00
U-00041,FUNCTIONAL_TEST,TST-02,NIGHT,2026-02-21T00:00:00
U-00042,SMT_PLACEMENT,SMT-01,DAY,2026-02-05T00:00:00
U-00042,REFLOW,REF-01,DAY,2026-02-05T00:00:00
U-00042,FINAL_ASSEMBLY,ASM-01,DAY,2026-02-05T00:00:00
U-00042,FUNCTIONAL_TEST,TST-02,DAY,2026-02-05T00:00:00
U-00043,SMT_PLACEMENT,SMT-01,SWING,2026-02-11T00:00:00
U-00043,REFLOW,REF-03,SWING,2026-02-11T00:00:00
U-00043,FINAL_ASSEMBLY,ASM-02,SWING,2026-02-11T00:00:00
U-00043,FUNCTIONAL_TEST,TST-01,SWING,2026-02-11T00:00:00
U-00044,SMT_PLACEMENT,SMT-02,SWING,2026-02-22T00:00:00
U-00044,REFLOW,REF-01,SWING,2026-02-22T00:00:00
U-00044,FINAL_ASSEMBLY,ASM-02,SWING,2026-02-22T00:00:00
U-00044,FUNCTIONAL_TEST,TST-02,SWING,2026-02-22T00:00:00
U-00045,SMT_PLACEMENT,SMT-01,DAY,2026-02-10T00:00:00
U-00045,REFLOW,REF-01,DAY,2026-02-10T00:00:00
U-00045,FINAL_ASSEMBLY,ASM-02,DAY,2026-02-10T00:00:00
U-00045,FUNCTIONAL_TEST,TST-02,DAY,2026-02-10T00:00:00
U-00046,SMT_PLACEMENT,SMT-01,SWING,2026-02-20T00:00:00
U-00046,REFLOW,REF-03,SWING,2026-02-20T00:00:00
U-00046,FINAL_ASSEMBLY,ASM-02,SWING,2026-02-20T00:00:00
U-00046,FUNCTIONAL_TEST,TST-02,SWING,2026-02-20T00:00:00
U-00047,SMT_PLACEMENT,SMT-01,DAY,2026-02-22T00:00:00
U-00047,REFLOW,REF-02,DAY,2026-02-22T00:00:00
U-00047,FINAL_ASSEMBLY,ASM-01,DAY,2026-02-22T00:00:00
U-00047,FUNCTIONAL_TEST,TST-02,DAY,2026-02-22T00:00:00
U-00048,SMT_PLACEMENT,SMT-01,NIGHT,2026-02-14T00:00:00
U-00048,REFLOW,REF-01,NIGHT,2026-02-14T00:00:00
U-00048,FINAL_ASSEMBLY,ASM-02,NIGHT,2026-02-14T00:00:00
U-00048,FUNCTIONAL_TEST,TST-01,NIGHT,2026-02-14T00:00:00
U-00049,SMT_PLACEMENT,SMT-01,DAY,2026-02-15T00:00:00
U-00049,REFLOW,REF-02,DAY,2026-02-15T00:00:00
U-00049,FINAL_ASSEMBLY,ASM-01,DAY,2026-02-15T00:00:00
U-00049,FUNCTIONAL_TEST,TST-01,DAY,2026-02-15T00:00:00
U-00050,SMT_PLACEMENT,SMT-01,DAY,2026-02-17T00:00:00
U-00050,REFLOW,REF-03,DAY,2026-02-17T00:00:00
U-00050,FINAL_ASSEMBLY,ASM-02,DAY,2026-02-17T00:00:00
U-00050,FUNCTIONAL_TEST,TST-01,DAY,2026-02-17T00:00:00
U-00051,SMT_PLACEMENT,SMT-01,SWING,2026-02-05T00:00:00
U-00051,REFLOW,REF-03,SWING,2026-02-05T00:00:00
U-00051,FINAL_ASSEMBLY,ASM-02,SWING,2026-02-05T00:00:00
U-00051,FUNCTIONAL_TEST,TST-02,SWING,2026-02-05T00:00:00
U-00052,SMT_PLACEMENT,SMT-01,SWING,2026-02-19T00:00:00
U-00052,REFLOW,REF-03,SWING,2026-02-19T00:00:00
U-00052,FINAL_ASSEMBLY,ASM-02,SWING,2026-02-19T00:00:00
U-00052,FUNCTIONAL_TEST,TST-02,SWING,2026-02-19T00:00:00
U-00053,SMT_PLACEMENT,SMT-01,SWING,2026-02-11T00:00:00
U-00053,REFLOW,REF-03,SWING,2026-02-11T00:00:00
U-00053,FINAL_ASSEMBLY,ASM-02,SWING,2026-02-11T00:00:00
U-00053,FUNCTIONAL_TEST,TST-02,SWING,2026-02-11T00:00:00
U-00054,SMT_PLACEMENT,SMT-01,DAY,2026-02-08T00:00:00
U-00054,REFLOW,REF-03,DAY,2026-02-08T00:00:00
U-00054,FINAL_ASSEMBLY,ASM-02,DAY,2026-02-08T00:00:00
U-00054,FUNCTIONAL_TEST,TST-02,DAY,2026-02-08T00:00:00
U-00055,SMT_PLACEMENT,SMT-01,NIGHT,2026-02-22T00:00:00
U-00055,REFLOW,REF-02,NIGHT,2026-02-22T00:00:00
U-00055,FINAL_ASSEMBLY,ASM-02,NIGHT,2026-02-22T00:00:00
U-00055,FUNCTIONAL_TEST,TST-01,NIGHT,2026-02-22T00:00:00
U-00056,SMT_PLACEMENT,SMT-01,SWING,2026-02-22T00:00:00
U-00056,REFLOW,REF-01,SWING,2026-02-22T00:00:00
U-00056,FINAL_ASSEMBLY,ASM-02,SWING,2026-02-22T00:00:00
U-00056,FUNCTIONAL_TEST,TST-02,SWING,2026-02-22T00:00:00
U-00057,SMT_PLACEMENT,SMT-01,DAY,2026-02-17T00:00:00
U-00057,REFLOW,REF-01,DAY,2026-02-17T00:00:00
U-00057,FINAL_ASSEMBLY,ASM-01,DAY,2026-02-17T00:00:00
U-00057,FUNCTIONAL_TEST,TST-01,DAY,2026-02-17T00:00:00
U-00058,SMT_PLACEMENT,SMT-01,SWING,2026-02-22T00:00:00
U-00058,REFLOW,REF-03,SWING,2026-02-22T00:00:00
U-00058,FINAL_ASSEMBLY,ASM-02,SWING,2026-02-22T00:00:00
U-00058,FUNCTIONAL_TEST,TST-02,SWING,2026-02-22T00:00:00
U-00059,SMT_PLACEMENT,SMT-01,DAY,2026-02-18T00:00:00
U-00059,REFLOW,REF-01,DAY,2026-02-18T00:00:00
U-00059,FINAL_ASSEMBLY,ASM-01,DAY,2026-02-18T00:00:00
U-00059,FUNCTIONAL_TEST,TST-02,DAY,2026-02-18T00:00:00
U-00060,SMT_PLACEMENT,SMT-01,DAY,2026-02-16T00:00:00
U-00060,REFLOW,REF-03,DAY,2026-02-16T00:00:00
U-00060,FINAL_ASSEMBLY,ASM-01,DAY,2026-02-16T00:00:00
U-00060,FUNCTIONAL_TEST,TST-01,DAY,2026-02-16T00:00:00
U-00061,SMT_PLACEMENT,SMT-01,SWING,2026-02-22T00:00:00
U-00061,REFLOW,REF-01,SWING,2026-02-22T00:00:00
U-00061,FINAL_ASSEMBLY,ASM-01,SWING,2026-02-22T00:00:00
U-00061,FUNCTIONAL_TEST,TST-02,SWING,2026-02-22T00:00:00
U-00062,SMT_PLACEMENT,SMT-01,SWING,2026-02-11T00:00:00
U-00062,REFLOW,REF-02,SWING,2026-02-11T00:00:00
U-00062,FINAL_ASSEMBLY,ASM-01,SWING,2026-02-11T00:00:00
U-00062,FUNCTIONAL_TEST,TST-02,SWING,2026-02-11T00:00:00
U-00063,SMT_PLACEMENT,SMT-01,SWING,2026-02-09T00:00:00
U-00063,REFLOW,REF-02,SWING,2026-02-09T00:00:00
U-00063,FINAL_ASSEMBLY,ASM-01,SWING,2026-02-09T00:00:00
U-00063,FUNCTIONAL_TEST,TST-01,SWING,2026-02-09T00:00:00
U-00064,SMT_PLACEMENT,SMT-01,SWING,2026-02-16T00:00:00
U-00064,REFLOW,REF-01,SWING,2026-02-16T00:00:00
U-00064,FINAL_ASSEMBLY,ASM-01,SWING,2026-02-16T00:00:00
U-00064,FUNCTIONAL_TEST,TST-01,SWING,2026-02-16T00:00:00
U-00065,SMT_PLACEMENT,SMT-02,SWING,2026-02-13T00:00:00
U-00065,REFLOW,REF-01,SWING,2026-02-13T00:00:00
U-00065,FINAL_ASSEMBLY,ASM-02,SWING,2026-02-13T00:00:00
U-00065,FUNCTIONAL_TEST,TST-02,SWING,2026-02-13T00:00:00
U-00066,SMT_PLACEMENT,SMT-01,DAY,2026-02-04T00:00:00
U-00066,REFLOW,REF-01,DAY,2026-02-04T00:00:00
U-00066,FINAL_ASSEMBLY,ASM-01,DAY,2026-02-04T00:00:00
U-00066,FUNCTIONAL_TEST,TST-02,DAY,2026-02-04T00:00:00
U-00067,SMT_PLACEMENT,SMT-01,SWING,2026-02-10T00:00:00
U-00067,REFLOW,REF-03,SWING,2026-02-10T00:00:00
U-00067,FINAL_ASSEMBLY,ASM-02,SWING,2026-02-10T00:00:00
U-00067,FUNCTIONAL_TEST,TST-01,SWING,2026-02-10T00:00:00
U-00068,SMT_PLACEMENT,SMT-01,NIGHT,2026-02-16T00:00:00
U-00068,REFLOW,REF-01,NIGHT,2026-02-16T00:00:00
U-00068,FINAL_ASSEMBLY,ASM-01,NIGHT,2026-02-16T00:00:00
U-00068,FUNCTIONAL_TEST,TST-01,NIGHT,2026-02-16T00:00:00
U-00069,SMT_PLACEMENT,SMT-02,NIGHT,2026-02-14T00:00:00
U-00069,REFLOW,REF-03,NIGHT,2026-02-14T00:00:00
U-00069,FINAL_ASSEMBLY,ASM-01,NIGHT,2026-02-14T00:00:00
U-00069,FUNCTIONAL_TEST,TST-02,NIGHT,2026-02-14T00:00:00
U-00070,SMT_PLACEMENT,SMT-01,SWING,2026-02-13T00:00:00
U-00070,REFLOW,REF-03,SWING,2026-02-13T00:00:00
U-00070,FINAL_ASSEMBLY,ASM-02,SWING,2026-02-13T00:00:00
U-00070,FUNCTIONAL_TEST,TST-01,SWING,2026-02-13T00:00:00
U-00071,SMT_PLACEMENT,SMT-01,NIGHT,2026-02-05T00:00:00
U-00071,REFLOW,REF-01,NIGHT,2026-02-05T00:00:00
U-00071,FINAL_ASSEMBLY,ASM-01,NIGHT,2026-02-05T00:00:00
U-00071,FUNCTIONAL_TEST,TST-01,NIGHT,2026-02-05T00:00:00
U-00072,SMT_PLACEMENT,SMT-01,DAY,2026-02-20T00:00:00
U-00072,REFLOW,REF-03,DAY,2026-02-20T00:00:00
U-00072,FINAL_ASSEMBLY,ASM-01,DAY,2026-02-20T00:00:00
U-00072,FUNCTIONAL_TEST,TST-01,DAY,2026-02-20T00:00:00
U-00073,SMT_PLACEMENT,SMT-01,DAY,2026-02-05T00:00:00
U-00073,REFLOW,REF-03,DAY,2026-02-05T00:00:00
U-00073,FINAL_ASSEMBLY,ASM-01,DAY,2026-02-05T00:00:00
U-00073,FUNCTIONAL_TEST,TST-02,DAY,2026-02-05T00:00:00
U-00074,SMT_PLACEMENT,SMT-01,DAY,2026-02-18T00:00:00
U-00074,REFLOW,REF-03,DAY,2026-02-18T00:00:00
U-00074,FINAL_ASSEMBLY,ASM-01,DAY,2026-02-18T00:00:00
U-00074,FUNCTIONAL_TEST,TST-01,DAY,2026-02-18T00:00:00
U-00075,SMT_PLACEMENT,SMT-02,DAY,2026-02-18T00:00:00
U-00075,REFLOW,REF-03,DAY,2026-02-18T00:00:00
U-00075,FINAL_ASSEMBLY,ASM-01,DAY,2026-02-18T00:00:00
U-00075,FUNCTIONAL_TEST,TST-02,DAY,2026-02-18T00:00:00
U-00076,SMT_PLACEMENT,SMT-01,SWING,2026-02-04T00:00:00
U-00076,REFLOW,REF-01,SWING,2026-02-04T00:00:00
U-00076,FINAL_ASSEMBLY,ASM-02,SWING,2026-02-04T00:00:00
U-00076,FUNCTIONAL_TEST,TST-02,SWING,2026-02-04T00:00:00
U-00077,SMT_PLACEMENT,SMT-01,SWING,2026-02-16T00:00:00
U-00077,REFLOW,REF-03,SWING,2026-02-16T00:00:00
U-00077,FINAL_ASSEMBLY,ASM-01,SWING,2026-02-16T00:00:00
U-00077,FUNCTIONAL_TEST,TST-02,SWING,2026-02-16T00:00:00
U-00078,SMT_PLACEMENT,SMT-01,DAY,2026-02-12T00:00:00
U-00078,REFLOW,REF-01,DAY,2026-02-12T00:00:00
U-00078,FINAL_ASSEMBLY,ASM-01,DAY,2026-02-12T00:00:00
U-00078,FUNCTIONAL_TEST,TST-02,DAY,2026-02-12T00:00:00
U-00079,SMT_PLACEMENT,SMT-01,DAY,2026-02-05T00:00:00
U-00079,REFLOW,REF-02,DAY,2026-02-05T00:00:00
U-00079,FINAL_ASSEMBLY,ASM-01,DAY,2026-02-05T00:00:00
U-00079,FUNCTIONAL_TEST,TST-02,DAY,2026-02-05T00:00:00
U-00080,SMT_PLACEMENT,SMT-01,DAY,2026-02-15T00:00:00
U-00080,REFLOW,REF-01,DAY,2026-02-15T00:00:00
U-00080,FINAL_ASSEMBLY,ASM-02,DAY,2026-02-15T00:00:00
U-00080,FUNCTIONAL_TEST,TST-01,DAY,2026-02-15T00:00:00
U-00081,SMT_PLACEMENT,SMT-02,NIGHT,2026-02-19T00:00:00
U-00081,REFLOW,REF-03,NIGHT,2026-02-19T00:00:00
U-00081,FINAL_ASSEMBLY,ASM-01,NIGHT,2026-02-19T00:00:00
U-00081,FUNCTIONAL_TEST,TST-02,NIGHT,2026-02-19T00:00:00
U-00082,SMT_PLACEMENT,SMT-01,DAY,2026-02-11T00:00:00
U-00082,REFLOW,REF-03,DAY,2026-02-11T00:00:00
U-00082,FINAL_ASSEMBLY,ASM-01,DAY,2026-02-11T00:00:00
U-00082,FUNCTIONAL_TEST,TST-01,DAY,2026-02-11T00:00:00
U-00083,SMT_PLACEMENT,SMT-02,SWING,2026-02-14T00:00:00
U-00083,REFLOW,REF-01,SWING,2026-02-14T00:00:00
U-00083,FINAL_ASSEMBLY,ASM-01,SWING,2026-02-14T00:00:00
U-00083,FUNCTIONAL_TEST,TST-01,SWING,2026-02-14T00:00:00
U-00084,SMT_PLACEMENT,SMT-01,DAY,2026-02-03T00:00:00
U-00084,REFLOW,REF-02,DAY,2026-02-03T00:00:00
U-00084,FINAL_ASSEMBLY,ASM-01,DAY,2026-02-03T00:00:00
U-00084,FUNCTIONAL_TEST,TST-02,DAY,2026-02-03T00:00:00
U-00085,SMT_PLACEMENT,SMT-03,DAY,2026-02-20T00:00:00
U-00085,REFLOW,REF-01,DAY,2026-02-20T00:00:00
U-00085,FINAL_ASSEMBLY,ASM-01,DAY,2026-02-20T00:00:00
U-00085,FUNCTIONAL_TEST,TST-02,DAY,2026-02-20T00:00:00
U-00086,SMT_PLACEMENT,SMT-01,DAY,2026-02-10T00:00:00
U-00086,REFLOW,REF-02,DAY,2026-02-10T00:00:00
U-00086,FINAL_ASSEMBLY,ASM-01,DAY,2026-02-10T00:00:00
U-00086,FUNCTIONAL_TEST,TST-02,DAY,2026-02-10T00:00:00
U-00087,SMT_PLACEMENT,SMT-02,DAY,2026-02-02T00:00:00
U-00087,REFLOW,REF-02,DAY,2026-02-02T00:00:00
U-00087,FINAL_ASSEMBLY,ASM-01,DAY,2026-02-02T00:00:00
U-00087,FUNCTIONAL_TEST,TST-02,DAY,2026-02-02T00:00:00
U-00088,SMT_PLACEMENT,SMT-01,SWING,2026-02-21T00:00:00
U-00088,REFLOW,REF-03,SWING,2026-02-21T00:00:00
U-00088,FINAL_ASSEMBLY,ASM-01,SWING,2026-02-21T00:00:00
U-00088,FUNCTIONAL_TEST,TST-02,SWING,2026-02-21T00:00:00
U-00089,SMT_PLACEMENT,SMT-01,SWING,2026-02-07T00:00:00
