FACTOR_ID,KIND,LABEL,REF_ID
LOT::SA-BATT-L09,LOT,SA-BATT lot SA-BATT-L09,SA-BATT-L09
LOT::SA-BATT-L10,LOT,SA-BATT lot SA-BATT-L10,SA-BATT-L10
LOT::SA-DISP-L01,LOT,SA-DISP lot SA-DISP-L01,SA-DISP-L01
LOT::SA-DISP-L02,LOT,SA-DISP lot SA-DISP-L02,SA-DISP-L02
LOT::SA-DISP-L03,LOT,SA-DISP lot SA-DISP-L03,SA-DISP-L03
LOT::SA-DISP-L04,LOT,SA-DISP lot SA-DISP-L04,SA-DISP-L04
LOT::SA-DISP-L05,LOT,SA-DISP lot SA-DISP-L05,SA-DISP-L05
LOT::SA-DISP-L06,LOT,SA-DISP lot SA-DISP-L06,SA-DISP-L06
LOT::SA-DISP-L07,LOT,SA-DISP lot SA-DISP-L07,SA-DISP-L07
LOT::SA-DISP-L08,LOT,SA-DISP lot SA-DISP-L08,SA-DISP-L08
LOT::SA-DISP-L09,LOT,SA-DISP lot SA-DISP-L09,SA-DISP-L09
LOT::SA-DISP-L10,LOT,SA-DISP lot SA-DISP-L10,SA-DISP-L10
LOT::SA-ENC-L01,LOT,SA-ENC lot SA-ENC-L01,SA-ENC-L01
LOT::SA-ENC-L02,LOT,SA-ENC lot SA-ENC-L02,SA-ENC-L02
LOT::SA-ENC-L03,LOT,SA-ENC lot SA-ENC-L03,SA-ENC-L03
LOT::SA-ENC-L04,LOT,SA-ENC lot SA-ENC-L04,SA-ENC-L04
LOT::SA-ENC-L05,LOT,SA-ENC lot SA-ENC-L05,SA-ENC-L05
LOT::SA-ENC-L06,LOT,SA-ENC lot SA-ENC-L06,SA-ENC-L06
LOT::SA-ENC-L07,LOT,SA-ENC lot SA-ENC-L07,SA-ENC-L07
LOT::SA-ENC-L08,LOT,SA-ENC lot SA-ENC-L08,SA-ENC-L08
LOT::CP-PCB-L01,LOT,CP-PCB lot CP-PCB-L01,CP-PCB-L01
LOT::CP-PCB-L02,LOT,CP-PCB lot CP-PCB-L02,CP-PCB-L02
LOT::CP-PCB-L03,LOT,CP-PCB lot CP-PCB-L03,CP-PCB-L03
LOT::CP-PCB-L04,LOT,CP-PCB lot CP-PCB-L04,CP-PCB-L04
LOT::CP-PCB-L05,LOT,CP-PCB lot CP-PCB-L05,CP-PCB-L05
LOT::CP-PCB-L06,LOT,CP-PCB lot CP-PCB-L06,CP-PCB-L06
LOT::CP-PCB-L07,LOT,CP-PCB lot CP-PCB-L07,CP-PCB-L07
LOT::CP-PCB-L08,LOT,CP-PCB lot CP-PCB-L08,CP-PCB-L08
LOT::SP-0419,LOT,CP-PASTE lot SP-0419,SP-0419
LOT::SP-0420,LOT,CP-PASTE lot SP-0420,SP-0420
LOT::SP-0421,LOT,CP-PASTE lot SP-0421,SP-0421
LOT::SP-0422,LOT,CP-PASTE lot SP-0422,SP-0422
LOT::SP-0423,LOT,CP-PASTE lot SP-0423,SP-0423
LOT::SP-0424,LOT,CP-PASTE lot SP-0424,SP-0424
LOT::CP-SOC-L01,LOT,CP-SOC lot CP-SOC-L01,CP-SOC-L01
LOT::CP-SOC-L02,LOT,CP-SOC lot CP-SOC-L02,CP-SOC-L02
LOT::CP-SOC-L03,LOT,CP-SOC lot CP-SOC-L03,CP-SOC-L03
LOT::CP-SOC-L04,LOT,CP-SOC lot CP-SOC-L04,CP-SOC-L04
LOT::CP-SOC-L05,LOT,CP-SOC lot CP-SOC-L05,CP-SOC-L05
LOT::CP-MEM-L01,LOT,CP-MEM lot CP-MEM-L01,CP-MEM-L01
LOT::CP-MEM-L02,LOT,CP-MEM lot CP-MEM-L02,CP-MEM-L02
LOT::CP-MEM-L03,LOT,CP-MEM lot CP-MEM-L03,CP-MEM-L03
LOT::CP-MEM-L04,LOT,CP-MEM lot CP-MEM-L04,CP-MEM-L04
LOT::CP-MEM-L05,LOT,CP-MEM lot CP-MEM-L05,CP-MEM-L05
LOT::CP-PASS-L01,LOT,CP-PASS lot CP-PASS-L01,CP-PASS-L01
LOT::CP-PASS-L02,LOT,CP-PASS lot CP-PASS-L02,CP-PASS-L02
LOT::CP-PASS-L03,LOT,CP-PASS lot CP-PASS-L03,CP-PASS-L03
LOT::CP-PASS-L04,LOT,CP-PASS lot CP-PASS-L04,CP-PASS-L04
LOT::CP-CELL-L01,LOT,CP-CELL lot CP-CELL-L01,CP-CELL-L01
LOT::CP-CELL-L02,LOT,CP-CELL lot CP-CELL-L02,CP-CELL-L02
LOT::CP-CELL-L03,LOT,CP-CELL lot CP-CELL-L03,CP-CELL-L03
LOT::CP-CELL-L04,LOT,CP-CELL lot CP-CELL-L04,CP-CELL-L04
LOT::CP-CELL-L05,LOT,CP-CELL lot CP-CELL-L05,CP-CELL-L05
LOT::CP-CELL-L06,LOT,CP-CELL lot CP-CELL-L06,CP-CELL-L06
LOT::CP-LCD-L01,LOT,CP-LCD lot CP-LCD-L01,CP-LCD-L01
LOT::CP-LCD-L02,LOT,CP-LCD lot CP-LCD-L02,CP-LCD-L02
LOT::CP-LCD-L03,LOT,CP-LCD lot CP-LCD-L03,CP-LCD-L03
LOT::CP-LCD-L04,LOT,CP-LCD lot CP-LCD-L04,CP-LCD-L04
LOT::CP-LCD-L05,LOT,CP-LCD lot CP-LCD-L05,CP-LCD-L05
LOT::CP-LCD-L06,LOT,CP-LCD lot CP-LCD-L06,CP-LCD-L06
LOT::CP-HOUS-L01,LOT,CP-HOUS lot CP-HOUS-L01,CP-HOUS-L01
LOT::CP-HOUS-L02,LOT,CP-HOUS lot CP-HOUS-L02,CP-HOUS-L02
LOT::RM-CU-L01,LOT,RM-CU lot RM-CU-L01,RM-CU-L01
LOT::RM-CU-L02,LOT,RM-CU lot RM-CU-L02,RM-CU-L02
LOT::RM-CU-L03,LOT,RM-CU lot RM-CU-L03,RM-CU-L03
LOT::RM-RESIN-L01,LOT,RM-RESIN lot RM-RESIN-L01,RM-RESIN-L01
LOT::RM-RESIN-L02,LOT,RM-RESIN lot RM-RESIN-L02,RM-RESIN-L02
LOT::RM-RESIN-L03,LOT,RM-RESIN lot RM-RESIN-L03,RM-RESIN-L03
LOT::RM-LI-L01,LOT,RM-LI lot RM-LI-L01,RM-LI-L01
LOT::RM-LI-L02,LOT,RM-LI lot RM-LI-L02,RM-LI-L02
LOT::RM-LI-L03,LOT,RM-LI lot RM-LI-L03,RM-LI-L03
LOT::RM-SI-L01,LOT,RM-SI lot RM-SI-L01,RM-SI-L01
LOT::RM-SI-L02,LOT,RM-SI lot RM-SI-L02,RM-SI-L02
LOT::RM-SI-L03,LOT,RM-SI lot RM-SI-L03,RM-SI-L03
LOT::RM-SI-L04,LOT,RM-SI lot RM-SI-L04,RM-SI-L04
LOT::RM-POLY-L01,LOT,RM-POLY lot RM-POLY-L01,RM-POLY-L01
LOT::RM-POLY-L02,LOT,RM-POLY lot RM-POLY-L02,RM-POLY-L02
MACHINE::SMT-01,MACHINE,Pick-and-place line 1 (SMT_PLACEMENT),SMT-01
MACHINE::SMT-02,MACHINE,Pick-and-place line 2 (SMT_PLACEMENT),SMT-02
MACHINE::SMT-03,MACHINE,Pick-and-place line 3 (SMT_PLACEMENT),SMT-03
MACHINE::REF-01,MACHINE,Reflow oven 1 (REFLOW),REF-01
MACHINE::REF-02,MACHINE,Reflow oven 2 (REFLOW),REF-02
MACHINE::REF-03,MACHINE,Reflow oven 3 (REFLOW),REF-03
MACHINE::ASM-01,MACHINE,Final assembly cell 1 (FINAL_ASSEMBLY),ASM-01
MACHINE::ASM-02,MACHINE,Final assembly cell 2 (FINAL_ASSEMBLY),ASM-02
MACHINE::TST-01,MACHINE,Functional test rig 1 (FUNCTIONAL_TEST),TST-01
MACHINE::TST-02,MACHINE,Functional test rig 2 (FUNCTIONAL_TEST),TST-02
SHIFT::DAY,SHIFT,DAY shift,DAY
SHIFT::SWING,SHIFT,SWING shift,SWING
SHIFT::NIGHT,SHIFT,NIGHT shift,NIGHT
