LOT_ID,SKU_ID,SUPPLIER_ID,RECEIVED_DATE
SA-ENC-L07,SA-ENC,SUP-INTERNAL,2026-02-16
SA-ENC-L08,SA-ENC,SUP-INTERNAL,2026-02-19
CP-PCB-L01,CP-PCB,SUP-APEX,2026-02-05
CP-PCB-L02,CP-PCB,SUP-APEX,2026-02-14
CP-PCB-L03,CP-PCB,SUP-APEX,2026-02-04
CP-PCB-L04,CP-PCB,SUP-APEX,2026-02-19
CP-PCB-L05,CP-PCB,SUP-APEX,2026-02-11
CP-PCB-L06,CP-PCB,SUP-APEX,2026-02-22
CP-PCB-L07,CP-PCB,SUP-APEX,2026-02-21
CP-PCB-L08,CP-PCB,SUP-APEX,2026-02-13
SP-0419,CP-PASTE,SUP-MERIDIAN,2026-02-20
SP-0420,CP-PASTE,SUP-MERIDIAN,2026-02-08
SP-0421,CP-PASTE,SUP-MERIDIAN,2026-02-04
SP-0422,CP-PASTE,SUP-MERIDIAN,2026-02-03
SP-0423,CP-PASTE,SUP-MERIDIAN,2026-02-09
SP-0424,CP-PASTE,SUP-MERIDIAN,2026-02-09
CP-SOC-L01,CP-SOC,SUP-PACIFICA,2026-02-11
CP-SOC-L02,CP-SOC,SUP-PACIFICA,2026-02-04
CP-SOC-L03,CP-SOC,SUP-PACIFICA,2026-02-09
CP-SOC-L04,CP-SOC,SUP-PACIFICA,2026-02-05
CP-SOC-L05,CP-SOC,SUP-PACIFICA,2026-02-14
CP-MEM-L01,CP-MEM,SUP-PACIFICA,2026-02-10
CP-MEM-L02,CP-MEM,SUP-PACIFICA,2026-02-16
CP-MEM-L03,CP-MEM,SUP-PACIFICA,2026-02-22
CP-MEM-L04,CP-MEM,SUP-PACIFICA,2026-02-13
CP-MEM-L05,CP-MEM,SUP-PACIFICA,2026-02-07
CP-PASS-L01,CP-PASS,SUP-NORTHGATE,2026-02-13
CP-PASS-L02,CP-PASS,SUP-NORTHGATE,2026-02-13
CP-PASS-L03,CP-PASS,SUP-NORTHGATE,2026-02-08
CP-PASS-L04,CP-PASS,SUP-NORTHGATE,2026-02-10
CP-CELL-L01,CP-CELL,SUP-VANTAGE,2026-02-22
CP-CELL-L02,CP-CELL,SUP-VANTAGE,2026-02-04
CP-CELL-L03,CP-CELL,SUP-VANTAGE,2026-02-21
CP-CELL-L04,CP-CELL,SUP-VANTAGE,2026-02-22
CP-CELL-L05,CP-CELL,SUP-VANTAGE,2026-02-07
CP-CELL-L06,CP-CELL,SUP-VANTAGE,2026-02-19
CP-LCD-L01,CP-LCD,SUP-CLARITY,2026-02-09
CP-LCD-L02,CP-LCD,SUP-CLARITY,2026-02-07
CP-LCD-L03,CP-LCD,SUP-CLARITY,2026-02-16
CP-LCD-L04,CP-LCD,SUP-CLARITY,2026-02-14
CP-LCD-L05,CP-LCD,SUP-CLARITY,2026-02-10
CP-LCD-L06,CP-LCD,SUP-CLARITY,2026-02-22
CP-HOUS-L01,CP-HOUS,SUP-IRONWOOD,2026-02-19
CP-HOUS-L02,CP-HOUS,SUP-IRONWOOD,2026-02-09
RM-CU-L01,RM-CU,SUP-NORTHGATE,2026-02-12
RM-CU-L02,RM-CU,SUP-NORTHGATE,2026-02-03
RM-CU-L03,RM-CU,SUP-NORTHGATE,2026-02-09
RM-RESIN-L01,RM-RESIN,SUP-APEX,2026-02-03
RM-RESIN-L02,RM-RESIN,SUP-APEX,2026-02-12
RM-RESIN-L03,RM-RESIN,SUP-APEX,2026-02-14
RM-LI-L01,RM-LI,SUP-VANTAGE,2026-02-10
RM-LI-L02,RM-LI,SUP-VANTAGE,2026-02-04
RM-LI-L03,RM-LI,SUP-VANTAGE,2026-02-08
RM-SI-L01,RM-SI,SUP-PACIFICA,2026-02-20
RM-SI-L02,RM-SI,SUP-PACIFICA,2026-02-12
RM-SI-L03,RM-SI,SUP-PACIFICA,2026-02-08
RM-SI-L04,RM-SI,SUP-PACIFICA,2026-02-22
RM-POLY-L01,RM-POLY,SUP-IRONWOOD,2026-02-17
RM-POLY-L02,RM-POLY,SUP-IRONWOOD,2026-02-14
