PARENT_LOT_ID,CHILD_LOT_ID
SA-PCBA-L12,CP-PCB-L02
SA-PCBA-L12,CP-SOC-L03
SA-PCBA-L12,CP-MEM-L03
SA-PCBA-L12,CP-PASS-L02
SA-PCBA-L13,SP-0419
SA-PCBA-L13,CP-PCB-L04
SA-PCBA-L13,CP-SOC-L05
SA-PCBA-L13,CP-MEM-L01
SA-PCBA-L13,CP-PASS-L01
SA-PCBA-L14,SP-0422
SA-PCBA-L14,CP-PCB-L02
SA-PCBA-L14,CP-SOC-L05
SA-PCBA-L14,CP-MEM-L02
SA-PCBA-L14,CP-PASS-L02
SA-PCBA-L15,SP-0423
SA-PCBA-L15,CP-PCB-L08
SA-PCBA-L15,CP-SOC-L05
SA-PCBA-L15,CP-MEM-L02
SA-PCBA-L15,CP-PASS-L03
SA-PCBA-L16,SP-0424
SA-PCBA-L16,CP-PCB-L07
SA-PCBA-L16,CP-SOC-L02
SA-PCBA-L16,CP-MEM-L05
SA-PCBA-L16,CP-PASS-L02
SA-PCBA-L17,SP-0421
SA-PCBA-L17,CP-PCB-L07
SA-PCBA-L17,CP-SOC-L03
SA-PCBA-L17,CP-MEM-L04
SA-PCBA-L17,CP-PASS-L04
SA-PCBA-L18,SP-0419
SA-PCBA-L18,CP-PCB-L04
SA-PCBA-L18,CP-SOC-L02
SA-PCBA-L18,CP-MEM-L01
SA-PCBA-L18,CP-PASS-L03
SA-PCBA-L19,SP-0419
SA-PCBA-L19,CP-PCB-L04
SA-PCBA-L19,CP-SOC-L05
SA-PCBA-L19,CP-MEM-L02
SA-PCBA-L19,CP-PASS-L01
SA-PCBA-L20,SP-0419
SA-PCBA-L20,CP-PCB-L01
SA-PCBA-L20,CP-SOC-L02
SA-PCBA-L20,CP-MEM-L01
SA-PCBA-L20,CP-PASS-L01
SA-BATT-L01,CP-CELL-L03
SA-BATT-L02,CP-CELL-L01
SA-BATT-L03,CP-CELL-L05
SA-BATT-L04,CP-CELL-L02
SA-BATT-L05,CP-CELL-L03
SA-BATT-L06,CP-CELL-L06
SA-BATT-L07,CP-CELL-L04
SA-BATT-L08,CP-CELL-L02
SA-BATT-L09,CP-CELL-L05
SA-BATT-L10,CP-CELL-L02
SA-DISP-L01,CP-LCD-L06
SA-DISP-L02,CP-LCD-L05
SA-DISP-L03,CP-LCD-L05
SA-DISP-L04,CP-LCD-L04
SA-DISP-L05,CP-LCD-L02
SA-DISP-L06,CP-LCD-L04
SA-DISP-L07,CP-LCD-L04
SA-DISP-L08,CP-LCD-L02
SA-DISP-L09,CP-LCD-L01
SA-DISP-L10,CP-LCD-L01
SA-ENC-L01,CP-HOUS-L02
SA-ENC-L02,CP-HOUS-L01
SA-ENC-L03,CP-HOUS-L01
SA-ENC-L04,CP-HOUS-L01
SA-ENC-L05,CP-HOUS-L01
SA-ENC-L06,CP-HOUS-L01
SA-ENC-L07,CP-HOUS-L01
SA-ENC-L08,CP-HOUS-L01
CP-PCB-L01,RM-CU-L03
CP-PCB-L01,RM-RESIN-L02
CP-PCB-L02,RM-CU-L02
CP-PCB-L02,RM-RESIN-L02
CP-PCB-L03,RM-CU-L02
CP-PCB-L03,RM-RESIN-L02
CP-PCB-L04,RM-CU-L03
CP-PCB-L04,RM-RESIN-L01
CP-PCB-L05,RM-CU-L03
CP-PCB-L05,RM-RESIN-L03
CP-PCB-L06,RM-CU-L03
CP-PCB-L06,RM-RESIN-L01
CP-PCB-L07,RM-CU-L01
CP-PCB-L07,RM-RESIN-L02
CP-PCB-L08,RM-CU-L03
CP-PCB-L08,RM-RESIN-L02
CP-CELL-L01,RM-LI-L01
CP-CELL-L02,RM-LI-L01
CP-CELL-L03,RM-LI-L01
CP-CELL-L04,RM-LI-L01
CP-CELL-L05,RM-LI-L03
CP-CELL-L06,RM-LI-L02
CP-SOC-L01,RM-SI-L02
CP-SOC-L02,RM-SI-L04
CP-SOC-L03,RM-SI-L02
CP-SOC-L04,RM-SI-L03
CP-SOC-L05,RM-SI-L04
CP-MEM-L01,RM-SI-L02
CP-MEM-L02,RM-SI-L01
CP-MEM-L03,RM-SI-L04
CP-MEM-L04,RM-SI-L01
CP-MEM-L05,RM-SI-L01
CP-HOUS-L01,RM-POLY-L01
CP-HOUS-L02,RM-POLY-L01
