technician_id,period,available,availability_reason
T011,10,1.0,Available
T011,11,1.0,Available
T011,12,1.0,Available
T012,1,1.0,Available
T012,2,1.0,Available
T012,3,1.0,Available
T012,4,1.0,Available
T012,5,1.0,Available
T012,6,1.0,Available
T012,7,0.0,Sick_Leave
T012,8,1.0,Available
T012,9,1.0,Available
T012,10,1.0,Available
T012,11,1.0,Available
T012,12,1.0,Available
T013,1,0.5,Part_Time
T013,2,0.5,Part_Time
T013,3,0.5,Part_Time
T013,4,0.5,Part_Time
T013,5,0.5,Part_Time
T013,6,0.5,Part_Time
T013,7,0.5,Part_Time
T013,8,0.5,Part_Time
T013,9,0.5,Part_Time
T013,10,0.5,Part_Time
T013,11,0.5,Part_Time
T013,12,0.5,Part_Time
T014,1,1.0,Available
T014,2,1.0,Available
T014,3,1.0,Available
T014,4,1.0,Available
T014,5,1.0,Available
T014,6,1.0,Available
T014,7,1.0,Available
T014,8,1.0,Available
T014,9,1.0,Available
T014,10,1.0,Available
T014,11,1.0,Available
T014,12,1.0,Available
T015,1,1.0,Available
T015,2,1.0,Available
T015,3,1.0,Available
T015,4,1.0,Available
T015,5,1.0,Available
T015,6,1.0,Available
T015,7,1.0,Available
T015,8,1.0,Available
T015,9,0.0,Vacation
T015,10,0.0,Vacation
T015,11,1.0,Available
T015,12,1.0,Available
T016,1,1.0,Available
T016,2,1.0,Available
T016,3,1.0,Available
T016,4,1.0,Available
T016,5,1.0,Available
T016,6,1.0,Available
T016,7,1.0,Available
T016,8,1.0,Available
T016,9,1.0,Available
T016,10,1.0,Available
T016,11,1.0,Available
T016,12,1.0,Available
T017,1,1.0,Available
T017,2,1.0,Available
T017,3,1.0,Available
T017,4,1.0,Available
T017,5,1.0,Available
T017,6,1.0,Available
T017,7,1.0,Available
T017,8,1.0,Available
T017,9,1.0,Available
T017,10,1.0,Available
T017,11,1.0,Available
T017,12,1.0,Available
T018,1,1.0,Available
T018,2,1.0,Available
T018,3,1.0,Available
T018,4,1.0,Available
T018,5,1.0,Available
T018,6,0.0,Training
T018,7,1.0,Available
T018,8,1.0,Available
T018,9,1.0,Available
T018,10,1.0,Available
T018,11,1.0,Available
T018,12,1.0,Available
T019,1,1.0,Available
T019,2,1.0,Available
T019,3,1.0,Available
T019,4,1.0,Available
T019,5,1.0,Available
T019,6,1.0,Available
T019,7,1.0,Available
T019,8,1.0,Available
T019,9,1.0,Available
T019,10,1.0,Available
T019,11,1.0,Available
T019,12,1.0,Available
T020,1,1.0,Available
T020,2,1.0,Available
T020,3,1.0,Available
T020,4,1.0,Available
T020,5,1.0,Available
T020,6,1.0,Available
T020,7,1.0,Available
T020,8,1.0,Available
T020,9,1.0,Available
T020,10,1.0,Available
T020,11,1.0,Available
T020,12,1.0,Available
T021,1,1.0,Available
T021,2,1.0,Available
T021,3,1.0,Available
T021,4,1.0,Available
T021,5,1.0,Available
T021,6,1.0,Available
T021,7,1.0,Available
T021,8,0.0,Vacation
T021,9,0.0,Vacation
T021,10,1.0,Available
T021,11,1.0,Available
T021,12,1.0,Available
T022,1,1.0,Available
T022,2,1.0,Available
T022,3,1.0,Available
T022,4,1.0,Available
T022,5,1.0,Available
T022,6,1.0,Available
T022,7,1.0,Available
T022,8,1.0,Available
T022,9,1.0,Available
T022,10,1.0,Available
T022,11,1.0,Available
T022,12,1.0,Available
T023,1,1.0,Available
T023,2,1.0,Available
T023,3,1.0,Available
T023,4,1.0,Available
T023,5,1.0,Available
T023,6,1.0,Available
T023,7,1.0,Available
T023,8,1.0,Available
T023,9,1.0,Available
T023,10,1.0,Available
T023,11,1.0,Available
T023,12,1.0,Available
T024,1,1.0,Available
T024,2,1.0,Available
T024,3,1.0,Available
T024,4,1.0,Available
T024,5,1.0,Available
T024,6,1.0,Available
T024,7,1.0,Available
T024,8,1.0,Available
T024,9,1.0,Available
T024,10,1.0,Available
T024,11,1.0,Available
T024,12,1.0,Available
T025,1,1.0,Available
T025,2,1.0,Available
T025,3,1.0,Available
T025,4,1.0,Available
T025,5,1.0,Available
T025,6,0.0,Training
T025,7,0.0,Training
T025,8,1.0,Available
T025,9,1.0,Available
T025,10,1.0,Available
T025,11,1.0,Available
T025,12,1.0,Available
T026,1,1.0,Available
T026,2,1.0,Available
T026,3,1.0,Available
T026,4,1.0,Available
T026,5,1.0,Available
T026,6,1.0,Available
T026,7,1.0,Available
T026,8,1.0,Available
T026,9,1.0,Available
T026,10,1.0,Available
T026,11,1.0,Available
T026,12,1.0,Available
T027,1,1.0,Available
T027,2,1.0,Available
T027,3,1.0,Available
T027,4,1.0,Available
T027,5,1.0,Available
T027,6,1.0,Available
T027,7,1.0,Available
T027,8,1.0,Available
T027,9,1.0,Available
T027,10,1.0,Available
T027,11,1.0,Available
T027,12,1.0,Available
T028,1,1.0,Available
T028,2,1.0,Available
T028,3,1.0,Available
T028,4,1.0,Available
T028,5,1.0,Available
T028,6,1.0,Available
T028,7,1.0,Available
T028,8,1.0,Available
T028,9,1.0,Available
T028,10,0.0,Vacation
T028,11,1.0,Available
T028,12,1.0,Available
T029,1,1.0,Available
T029,2,1.0,Available
T029,3,1.0,Available
T029,4,1.0,Available
T029,5,1.0,Available
T029,6,1.0,Available
T029,7,1.0,Available
T029,8,1.0,Available
T029,9,1.0,Available
T029,10,1.0,Available
T029,11,1.0,Available
T029,12,1.0,Available
T030,1,1.0,Available
T030,2,1.0,Available
T030,3,1.0,Available
T030,4,1.0,Available
T030,5,1.0,Available
T030,6,1.0,Available
T030,7,1.0,Available
T030,8,1.0,Available
T030,9,1.0,Available
T030,10,1.0,Available
T030,11,1.0,Available
T030,12,1.0,Available
T031,1,0.0,Onboarding
T031,2,0.5,Onboarding
T031,3,1.0,Available
T031,4,1.0,Available
T031,5,1.0,Available
T031,6,1.0,Available
T031,7,1.0,Available
T031,8,1.0,Available
T031,9,1.0,Available
T031,10,1.0,Available
T031,11,1.0,Available
T031,12,1.0,Available
T032,1,1.0,Available
T032,2,1.0,Available
T032,3,1.0,Available
T032,4,1.0,Available
T032,5,1.0,Available
T032,6,1.0,Available
T032,7,1.0,Available
T032,8,1.0,Available
T032,9,1.0,Available
T032,10,1.0,Available
T032,11,1.0,Available
T032,12,1.0,Available
T033,1,1.0,Available
T033,2,1.0,Available
T033,3,1.0,Available
T033,4,1.0,Available
T033,5,1.0,Available
T033,6,1.0,Available
T033,7,1.0,Available
T033,8,1.0,Available
T033,9,1.0,Available
T033,10,1.0,Available
T033,11,1.0,Available
T033,12,1.0,Available
T034,1,1.0,Available
T034,2,1.0,Available
T034,3,1.0,Available
T034,4,1.0,Available
T034,5,1.0,Available
T034,6,1.0,Available
T034,7,1.0,Available
T034,8,1.0,Available
T034,9,1.0,Available
T034,10,1.0,Available
T034,11,1.0,Available
T034,12,0.0,Vacation
T035,1,1.0,Available
T035,2,1.0,Available
T035,3,1.0,Available
T035,4,1.0,Available
T035,5,1.0,Available
T035,6,1.0,Available
T035,7,1.0,Available
T035,8,1.0,Available
T035,9,1.0,Available
T035,10,1.0,Available
T035,11,1.0,Available
T035,12,1.0,Available
T036,1,1.0,Available
T036,2,1.0,Available
T036,3,1.0,Available
T036,4,1.0,Available
T036,5,1.0,Available
T036,6,1.0,Available
T036,7,1.0,Available
T036,8,1.0,Available
T036,9,1.0,Available
T036,10,1.0,Available
T036,11,1.0,Available
T036,12,1.0,Available
T037,1,1.0,Available
T037,2,1.0,Available
T037,3,1.0,Available
T037,4,1.0,Available
T037,5,1.0,Available
T037,6,1.0,Available
T037,7,1.0,Available
T037,8,1.0,Available
T037,9,1.0,Available
T037,10,1.0,Available
T037,11,1.0,Available
T037,12,1.0,Available
T038,1,1.0,Available
T038,2,1.0,Available
T038,3,1.0,Available
T038,4,1.0,Available
T038,5,1.0,Available
T038,6,1.0,Available
T038,7,1.0,Available
T038,8,1.0,Available
T038,9,1.0,Available
T038,10,1.0,Available
T038,11,1.0,Available
T038,12,1.0,Available
T039,1,1.0,Available
T039,2,1.0,Available
T039,3,1.0,Available
T039,4,1.0,Available
T039,5,1.0,Available
T039,6,1.0,Available
T039,7,1.0,Available
T039,8,1.0,Available
T039,9,1.0,Available
T039,10,1.0,Available
T039,11,1.0,Available
T039,12,1.0,Available
T040,1,1.0,Available
T040,2,1.0,Available
T040,3,1.0,Available
T040,4,1.0,Available
T040,5,1.0,Available
T040,6,1.0,Available
T040,7,1.0,Available
T040,8,1.0,Available
T040,9,1.0,Available
T040,10,1.0,Available
T040,11,1.0,Available
T040,12,1.0,Available
