account_id,account_type_prefix
C1150396076,C
C1592579801,C
C219565806,C
C1847805632,C
C1311962270,C
C1450763584,C
C1402888663,C
C2016608062,C
C1703320349,C
C1534029642,C
C2050347482,C
C281192595,C
C1580498026,C
C1490771263,C
C1303640793,C
C1239064572,C
C1416715436,C
C1080532676,C
C1868561547,C
C336424141,C
C324284770,C
C1253782028,C
C556778822,C
C1007340530,C
C824162538,C
C786761311,C
C1347260506,C
C1621152719,C
C2080670113,C
C1026095459,C
C1764964932,C
C2034388364,C
C1098121804,C
C498487420,C
C1014801297,C
C1176642944,C
C1888967333,C
C920351883,C
C1046165855,C
C130756294,C
C1523375549,C
C164529897,C
C871130115,C
C1475741299,C
C305170048,C
C812117475,C
C642784724,C
C594373709,C
C1348930195,C
C342830098,C
C1504417393,C
C164414473,C
C26863670,C
C1211163896,C
C56420164,C
C1783931496,C
C1372422681,C
C891661824,C
C27851538,C
C792304062,C
C601045727,C
C1739766839,C
C265373063,C
C452762754,C
C1740425869,C
C1538202070,C
C844374854,C
C161250720,C
C2008095547,C
C417155290,C
C1265105517,C
C778649018,C
C1300397389,C
C1482147814,C
C1242785699,C
C1906191746,C
C549084804,C
C1928586113,C
C781854007,C
C1376125371,C
C1521419599,C
C262523758,C
C1531491177,C
C154984801,C
C2113748548,C
C1887925622,C
C1696223343,C
C1599388160,C
C103568596,C
C550919269,C
C1628118722,C
C922540199,C
C1212058932,C
C871849346,C
C77061220,C
C1970087901,C
C1309686505,C
C767812247,C
C2033769078,C
C823071811,C
C701624448,C
C982033387,C
C1518317318,C
C1325441477,C
C1957386166,C
C498898060,C
C1257554854,C
C1174268918,C
C2100014537,C
C1124488417,C
C382183787,C
C346564353,C
C182885762,C
C1665891733,C
C908924241,C
C586357331,C
C1588860395,C
C1839099341,C
C875012263,C
C1959772119,C
C1123186349,C
C1514931968,C
C1737756635,C
C557853233,C
C415175436,C
C1252877111,C
C1295901724,C
C1422736429,C
C1322194641,C
C1948643468,C
C1102225556,C
C921148283,C
C1705883896,C
C1291955358,C
C215367825,C
C45849369,C
C1267412847,C
C1623831712,C
C1236277288,C
C1963426051,C
C1989252199,C
C380770269,C
C1606328682,C
C757773886,C
C1491503658,C
C891728685,C
C1234309969,C
C1766384320,C
C1938531779,C
C1034219836,C
C1616917685,C
C263490500,C
C674889652,C
C22633845,C
C1046302165,C
C1841114862,C
C941946048,C
C994615498,C
C1645658263,C
C216622685,C
C1368211833,C
C1948667603,C
C1787192091,C
C62391457,C
C227175045,C
C1205222550,C
C1454005383,C
C230584214,C
C1679629000,C
C1639051922,C
C2099503502,C
C1069976593,C
C131696791,C
C948610987,C
C1387254094,C
C1488379371,C
C148278282,C
C1908563566,C
C1651029918,C
C615216082,C
C268984152,C
C2099173172,C
C390809517,C
C1042205751,C
C31496887,C
C1552522980,C
C208900966,C
C1652591304,C
C1913107196,C
C1646413392,C
C1850551215,C
C450736794,C
C1631159234,C
C1088706462,C
C2078425187,C
C296954388,C
C1093228638,C
C155057445,C
C1915521741,C
C1388874845,C
C1690526837,C
C1680484681,C
C453950944,C
C1990530716,C
C1316763794,C
C1788207069,C
C2009706800,C
C80846525,C
C1001502110,C
C1174743769,C
C67590104,C
C1336358470,C
C164780972,C
C2117667677,C
C2096186041,C
C891641649,C
C2126524189,C
C1054903406,C
C1148860488,C
C273810651,C
C1340594574,C
C2113225596,C
C1810824811,C
C1505845506,C
C1676208609,C
C149561769,C
C901300638,C
C1019966301,C
C711282389,C
C587295712,C
C2035870900,C
C553330015,C
C1392276809,C
C1786268119,C
C1122962082,C
C694879733,C
C1387708046,C
C690982245,C
C2034468811,C
C1980807641,C
C1509490957,C
C1263894741,C
C1443740367,C
C242486334,C
C666789182,C
C401144837,C
C1217403648,C
C845998191,C
C1088367372,C
C189532677,C
C6427083,C
C1166718398,C
C191022874,C
C531303821,C
C261442623,C
C1252823569,C
C1706729494,C
C51604499,C
C847685508,C
C259533000,C
C1240594546,C
C2072430566,C
C985862912,C
C1601578028,C
C1524901222,C
C1214117196,C
C2105090352,C
C2113222251,C
C1084557701,C
C1784961866,C
C1472150101,C
C2043174746,C
C1634056682,C
C559212856,C
C82447693,C
C1078953751,C
C886454465,C
C533036823,C
C220187177,C
C252215515,C
C677695730,C
C1266534236,C
C1814618614,C
C2028520999,C
C101899927,C
C2016779189,C
C2081035860,C
C144539116,C
C1099589919,C
C1103643720,C
C1046953551,C
C1423828327,C
C464058059,C
C1637857325,C
C1256441971,C
C1101966116,C
C204083284,C
C1076978731,C
C139064393,C
C793449159,C
C105621575,C
C1573658797,C
C961593229,C
C458910630,C
C1243484566,C
C1103482150,C
C1963979196,C
C42860047,C
C2033783780,C
C1563990563,C
C1327508355,C
C1890995732,C
C470923235,C
C140508825,C
C1063225525,C
C966800981,C
C1556536002,C
C1433873566,C
C72877698,C
C13225797,C
C2036950441,C
C1256381168,C
C1654232238,C
C680895990,C
C1282559075,C
C1893271248,C
C403918851,C
C430646886,C
C1503324262,C
C957078136,C
C953570770,C
C1995557473,C
C1892591356,C
C1584590974,C
C793345855,C
C982640738,C
C1738720604,C
C234084293,C
C2015128737,C
C539030556,C
C1055498407,C
C341573287,C
C910554500,C
C1303610178,C
C1307432615,C
C1175168835,C
C116396210,C
C1146047523,C
C1383952651,C
C1183549962,C
C701154420,C
C1798326039,C
C1552242254,C
C1216463302,C
C2050469537,C
C1350438562,C
C764984089,C
C274755504,C
C1936051617,C
C178797605,C
C939367162,C
C2047607420,C
C1683055902,C
C694643897,C
C458914580,C
C190430667,C
C211307247,C
C364029634,C
C1890311568,C
C1624474426,C
C304547800,C
C203547819,C
C66770799,C
C1853440908,C
C1273953731,C
C1984303480,C
C647312158,C
C865693269,C
C663505369,C
C1825366085,C
C1893512468,C
C1544286887,C
C143661926,C
C17156930,C
C2042509361,C
C1875051976,C
C1896561078,C
C1121795717,C
C149785547,C
C790140463,C
C687615410,C
C673817136,C
C1143980021,C
C832042719,C
C1158947315,C
C983611149,C
C1057374681,C
C1150317761,C
C1503500428,C
C1369592440,C
C1660861590,C
C636518520,C
C820959255,C
C1801565118,C
C1444290021,C
C1631161002,C
C2082041963,C
C2044046492,C
C1034067842,C
C958390765,C
C1102672587,C
C1419156412,C
C774406325,C
C1716123140,C
C1884888294,C
C1580456535,C
C611232899,C
C925348777,C
C686995087,C
C652139882,C
C414097064,C
C930865438,C
C182381369,C
C23815928,C
C653094177,C
C1551140519,C
C985122055,C
C951665065,C
C830197617,C
C342895615,C
C512814353,C
C678293431,C
C1536280530,C
C873127645,C
C1014317223,C
C2139042212,C
C1481245598,C
C1568440872,C
C577110078,C
C2147008654,C
C1327882647,C
C2109247284,C
C1544506396,C
C1987801451,C
C889342614,C
C721463239,C
C143128287,C
C22483962,C
C1451318490,C
C1314353010,C
C692748109,C
C2115812382,C
C1829721095,C
C23978336,C
C1547608919,C
C1101705841,C
C2001894571,C
C1052712571,C
C1177659319,C
C553116899,C
C1299375115,C
C891576822,C
C1687542005,C
C684758020,C
C487836667,C
C1267379776,C
C925945124,C
C1107109708,C
C488688199,C
C930019406,C
C1778038801,C
C273379425,C
C1426147702,C
C431017892,C
C376772843,C
C497301603,C
C1332434443,C
C94784819,C
C96305554,C
C1657837758,C
C1914252459,C
C1783698648,C
C498447652,C
C1899026016,C
C2134600514,C
C1280032442,C
C177530844,C
C1245702576,C
C538261432,C
C1255348086,C
C471940168,C
C1978786060,C
C449928915,C
C964891508,C
C1362232046,C
C89529092,C
C1309913724,C
C2134635077,C
C415854001,C
C1006070662,C
C1263064209,C
C1187062508,C
C1492492778,C
C496377670,C
C1832996597,C
C366293837,C
C579573451,C
C1795418715,C
C1747039292,C
C391739076,C
C898544683,C
C649566267,C
C190390354,C
C1788765730,C
C1526528147,C
C58219748,C
C792080060,C
C1944496530,C
C2134692608,C
C267854618,C
C421977911,C
C748720874,C
C482903309,C
C1365004104,C
C1033789899,C
C6496251,C
C1045305148,C
C99979309,C
C445439516,C
C1961977509,C
C1979899014,C
C94446998,C
C49558128,C
C355084897,C
C1332933514,C
C1811823904,C
C1978041486,C
C570967174,C
C517887396,C
C305484258,C
C1610092094,C
C1005865597,C
C975284917,C
C1796020538,C
C1119545712,C
C525184465,C
C1311987596,C
C709213920,C
C593606771,C
C433043561,C
C1200170938,C
C1805538854,C
C105634611,C
C2099365767,C
C1570003080,C
C1219414151,C
C853148295,C
C2116720360,C
C1886391505,C
C149249593,C
C793182060,C
C557594255,C
C1131063500,C
C140342626,C
C377492902,C
C497899403,C
C1237943319,C
C1181074676,C
C1596180537,C
C1216424178,C
C712828337,C
C1410981762,C
C1722183074,C
C1501009751,C
C946520806,C
C1433180577,C
C1913258318,C
C1533833580,C
C958487787,C
C2057725638,C
C1877026811,C
C240587052,C
C1811394203,C
C636335978,C
C365896510,C
C1187969526,C
C1042432895,C
C1871531961,C
C1020162327,C
C827998367,C
C1699499962,C
C1109883695,C
C1393439924,C
C1080269027,C
C1872313936,C
C1889901787,C
C1524282385,C
C356970118,C
C760539036,C
C1069506468,C
C1967857939,C
C1322284840,C
C1901678626,C
C1705629934,C
C1415686677,C
C650153052,C
C1065521926,C
C1614163884,C
C679238677,C
C617343530,C
C336646253,C
C248574519,C
C2019434914,C
C60034474,C
C1005866728,C
C866984681,C
C1226913771,C
C1588115862,C
C1439743203,C
C448309103,C
C1741494580,C
C1294911601,C
C488866911,C
C1078701629,C
C662766800,C
C733392488,C
C1713336918,C
C1653463466,C
C448078690,C
C1043016955,C
C163966870,C
C805284167,C
C1200746478,C
C2135024951,C
C871569877,C
C1917384564,C
C1966790403,C
C1529008245,C
C1544214940,C
C2089667221,C
C1157826581,C
C1062323122,C
C1488307964,C
C1216165942,C
C1648016185,C
C808321528,C
C197380205,C
C142345179,C
C2119042675,C
C493293420,C
C987835991,C
C895840599,C
C1301200002,C
C633571752,C
C464619881,C
C2118985658,C
C1310393345,C
C670354135,C
C279725500,C
C1268763135,C
C108977816,C
C1362743884,C
C1937000851,C
C293639029,C
C759178467,C
C1470546513,C
C661000203,C
C1719409828,C
C99167526,C
C321325775,C
C599107139,C
C227991403,C
C116163072,C
C911485222,C
C2023583001,C
C248073362,C
C1237450345,C
C623166788,C
C1300586295,C
C1489218978,C
C547948167,C
C2035809060,C
C1923595906,C
C1226399379,C
C1466532646,C
C375834345,C
C938760363,C
C1741197566,C
C1757802152,C
C505649715,C
C1323638722,C
C497404985,C
C1314499487,C
C47005930,C
C1157332975,C
C103717157,C
C1272892550,C
C729596950,C
C132712782,C
C1011365011,C
C13125673,C
C2042317659,C
C1141104763,C
C671668065,C
C1244993988,C
C2090245061,C
C856398760,C
C1452457191,C
C2041509795,C
C1323954293,C
C2032783178,C
C684110102,C
C1069063335,C
C1171262237,C
C1229108245,C
C875824206,C
C44010556,C
C80217426,C
C770294842,C
C1854018757,C
C1047897914,C
C1233827125,C
C1214281287,C
C2126162917,C
C1709776685,C
C1429931627,C
C666227771,C
C1590333538,C
C2139368373,C
C679742636,C
C2082489253,C
C954271625,C
C1274651891,C
C1830717509,C
C523588838,C
C2114382325,C
C1600989345,C
C1747601044,C
C937962430,C
C711547506,C
C489058843,C
C262166214,C
C306405849,C
C134929321,C
C564551248,C
C343552522,C
C210195067,C
C1767277816,C
C1079337250,C
C2064974440,C
C407268332,C
C1965091899,C
C1681820700,C
C1464744174,C
C1728598925,C
C1280852753,C
C152458471,C
C1028061031,C
C1678673198,C
C1518032354,C
C1003890696,C
C926108639,C
C1821195885,C
C756922979,C
C1821246962,C
C1868708567,C
C1278802703,C
C1500602777,C
C1888706179,C
C103126839,C
C2079922010,C
C523584731,C
C2081856005,C
C1936176559,C
C1558078875,C
C1632458023,C
C1520540866,C
C628191436,C
C1617773163,C
C1818258995,C
C994950684,C
C168076174,C
C1358335938,C
C1116091809,C
C1834473109,C
C420905412,C
C1892216157,C
C709940546,C
C1789723757,C
C1765119291,C
C1604150303,C
C1536469398,C
C1618863822,C
C1123936021,C
C2106211047,C
C744898547,C
C325039568,C
C671943963,C
C891657273,C
C1381173172,C
C1058662402,C
C845082210,C
C1128510858,C
C1190492026,C
C1739933512,C
C1004271827,C
C1383705337,C
C1277761503,C
C337026029,C
C1749184895,C
C15178195,C
C378910639,C
C941436174,C
C395839623,C
C537819008,C
C317799734,C
C1254000350,C
C1507237385,C
C1600621160,C
C1346698733,C
C162879753,C
C2146413788,C
C1932908432,C
C1202085584,C
C1107960128,C
C198831985,C
C1591981184,C
C338600181,C
C1684571589,C
C1275336083,C
C152636559,C
C1115286085,C
C850424960,C
C1039891737,C
C821777202,C
C1642432032,C
C1227085633,C
C378522825,C
C163085808,C
C13476489,C
C526265092,C
C514076656,C
C914236533,C
C1542662229,C
C1044355469,C
C389860590,C
C974262278,C
C1771024241,C
C250061568,C
C1645390284,C
C639529489,C
C1590661770,C
C1938399138,C
C374230144,C
C277291899,C
C244481215,C
C1830554141,C
C1654422641,C
C640732216,C
C1916647961,C
C1012053866,C
C1392636479,C
C629527902,C
C240977939,C
C970512156,C
C1528610338,C
C1500954135,C
C1426577344,C
C1376899480,C
C1071591900,C
C1000074914,C
C1921354292,C
C334882914,C
C918480550,C
C220852922,C
C994853402,C
C963749685,C
C726481893,C
C75850393,C
C17491956,C
C1677945005,C
C569133281,C
C1009756239,C
C2093347986,C
C1012366293,C
C1732640667,C
C1873188115,C
C733728584,C
C485713115,C
C1348396248,C
C1591055868,C
C1268829282,C
C284996828,C
C744932119,C
C1652874527,C
C1424747794,C
C108630257,C
C1666959162,C
C1822149837,C
C724659447,C
C1717556818,C
C886007554,C
C1093983453,C
C452081223,C
C2076791258,C
C695823841,C
C849209216,C
C182044942,C
C1994058043,C
C781269019,C
C1840111283,C
C334945623,C
C1865960549,C
C369936121,C
C398393259,C
C1978188091,C
C1402611552,C
C1647733984,C
C82923637,C
C1876397453,C
C2071265703,C
C1692091342,C
C1587077521,C
C732302754,C
C116538946,C
C1733889808,C
C86350927,C
C1016708170,C
C448865084,C
C1408363064,C
C34016039,C
C1416902922,C
C2039894074,C
C1348435155,C
C735929753,C
C1293936707,C
C1971349522,C
C549010172,C
C1128269552,C
C1718340176,C
C349661042,C
C1743133432,C
C1131916326,C
C605707294,C
C748895238,C
C98299573,C
C638438531,C
C1484961754,C
C268715683,C
C1878410871,C
C433588108,C
C659631962,C
C796773856,C
C174708557,C
C1270223061,C
C1056458251,C
C257290900,C
C809054944,C
C2087654131,C
C99920625,C
C810552146,C
C726327731,C
C1171171367,C
C367057131,C
C566930093,C
C468213080,C
C954298206,C
C1482114822,C
C541992132,C
C1251317715,C
C330958414,C
C530984971,C
C827701716,C
C1586938309,C
C387111566,C
C8490852,C
C1856352651,C
C1364179333,C
C619482373,C
C588956129,C
C1085308330,C
C2101131639,C
C365402039,C
C92605772,C
C39479490,C
C1963047520,C
C283919359,C
C1327744407,C
C1151172465,C
C73803190,C
C1742096414,C
C1579238917,C
C2132033219,C
C729003789,C
C1334461887,C
C1566359738,C
C1037819437,C
C1098253871,C
C1183463100,C
C111625109,C
C1196784232,C
C782494245,C
C35093455,C
C1907033447,C
C418753808,C
C1229304317,C
C74206025,C
C1456454236,C
C556543778,C
C997616929,C
C1376850977,C
C717867656,C
C696266580,C
C1862862476,C
C2054794661,C
C183849466,C
C74534388,C
C1457598442,C
C1028654745,C
C1766993065,C
C579843849,C
C672069660,C
C2105904849,C
C139177272,C
C1568924384,C
C1659496122,C
C1315392572,C
C1999053459,C
C151499440,C
C1689700172,C
C1063377815,C
C369923953,C
C106838136,C
C2018224474,C
C1979921242,C
C342648059,C
C1647948627,C
C44196449,C
C1260807440,C
C1884250016,C
C1927843897,C
C1982019124,C
C1535783313,C
C794633160,C
C1072839704,C
C393417767,C
C1452319023,C
C1088129769,C
C774105103,C
C729726930,C
C2041261993,C
C1310120773,C
C615664562,C
C1008425405,C
C903383636,C
C214324289,C
C10602288,C
C1205421023,C
C1367284336,C
C1396691078,C
C780368561,C
C634439523,C
C1963696342,C
C778960214,C
C1907944035,C
C594348983,C
C1843161513,C
C2035780043,C
C949792674,C
C1189296912,C
C1419011226,C
C29771339,C
C1967421709,C
C1836733284,C
C886711961,C
C236258946,C
C981510308,C
C1141482204,C
C1824582344,C
C1222706934,C
C440064491,C
C1347405899,C
C68634680,C
C1117447229,C
C538317086,C
C1294844332,C
C1398662623,C
C2034903774,C
C1064588715,C
C275606531,C
C629133108,C
C22941522,C
C1528612318,C
C492320995,C
C612277580,C
C1425421675,C
C133858617,C
C1353766424,C
C1977671601,C
C1184365797,C
C2044919518,C
C176649818,C
C786548391,C
C1761423631,C
C49877168,C
C143098705,C
C219294261,C
C319152938,C
C2105531766,C
C1439740840,C
C219912505,C
C1390208933,C
C1596276883,C
C1171618572,C
C1687942952,C
C55496576,C
C802640967,C
C545378002,C
C1170479917,C
C1672430326,C
C1899996143,C
C1318711287,C
C1852471994,C
C696026207,C
C1589409352,C
C1707545075,C
C51014680,C
C1049419908,C
C1537381109,C
C671228809,C
C981338831,C
C489879149,C
C100399782,C
C1668561632,C
C792171575,C
C864985630,C
C1976016501,C
C2010688271,C
C1603743252,C
C104939187,C
C828529108,C
C2023614214,C
C724206684,C
C1939845368,C
C327308103,C
C188968777,C
C1121009176,C
C380813286,C
C427901435,C
C29153340,C
C421559992,C
C1115372378,C
C517543393,C
C985677650,C
C175795205,C
C684191207,C
C723019595,C
C1314274977,C
C1077290418,C
C1859146424,C
C357089378,C
C863787360,C
C1364952326,C
C361868064,C
C290327744,C
C765450059,C
C64473743,C
C1127218122,C
C1983440446,C
C149735283,C
C1090338431,C
C725915377,C
C1518348392,C
C923759331,C
C1518895613,C
C154039,C
C497827854,C
C1091954556,C
C750854927,C
C382501993,C
C1648040674,C
C395089844,C
C1207384939,C
C948739004,C
C153745102,C
C1202037060,C
C2010719751,C
C742050054,C
C1600390479,C
C1920929687,C
C853501994,C
C2030295854,C
C1130163945,C
C41051822,C
C625994500,C
C2029147678,C
C71817191,C
C1194310018,C
C1449123921,C
C2008189700,C
C180127057,C
C808555337,C
C937915251,C
C1226580672,C
C1200211692,C
C1919174675,C
C1627766514,C
C1587691701,C
C26257867,C
C2026773227,C
C889382301,C
C1569272920,C
C110549779,C
C2012983997,C
C1510799617,C
C88290164,C
C1987026797,C
C2017736577,C
C1687143541,C
C727455113,C
C1766811336,C
C449747546,C
C828281311,C
C1689577300,C
C1532111392,C
C42674436,C
C424300388,C
C1968269776,C
C1087234685,C
C1613638223,C
C363240405,C
C1737948543,C
C429282035,C
C902520408,C
C482285608,C
C2115055382,C
C429020184,C
C982362402,C
C181726291,C
C726447484,C
C1196516221,C
C761504463,C
C1642294930,C
C1700987687,C
C246939575,C
C1940127707,C
C1346194314,C
C340714134,C
C2055248009,C
C99376351,C
C1010536295,C
C1086250876,C
C1182171944,C
C397472180,C
C1313940667,C
C126871882,C
C325102191,C
C1541771460,C
C1123478197,C
C1010252616,C
C121156353,C
C808555938,C
C129288131,C
C2007750863,C
C446606084,C
C1013101723,C
C2110396645,C
C369017752,C
C1330451334,C
C110569777,C
C1323957695,C
C1357526537,C
C1958431275,C
C121941111,C
C1970284944,C
C456239358,C
C856445004,C
C1257016310,C
C168040565,C
C1057053428,C
C435003043,C
C418787765,C
C1981957922,C
C1766897700,C
C468143864,C
C38874174,C
C813143271,C
C467632528,C
C253446049,C
C1656297831,C
C1883235599,C
C80308678,C
C1119251343,C
C997942901,C
C1631482807,C
C1638129006,C
C1147697657,C
C987072193,C
C114294327,C
C22591109,C
C2045680723,C
C432486983,C
C1739274011,C
C1252796356,C
C1123748598,C
C609937899,C
C1047102725,C
C1390087503,C
C157135535,C
C810305173,C
C1251552687,C
C1360063640,C
C1461019839,C
C279799028,C
C424696326,C
C908235796,C
C543788062,C
C1550599239,C
C48892155,C
C195861117,C
C2080725270,C
C1805399811,C
C1433143249,C
C918655375,C
C1409902854,C
C1034418491,C
C1032151084,C
C1062431728,C
C660277148,C
C835522117,C
C294300042,C
C1683729969,C
C890173337,C
C803982089,C
C784559856,C
C14417080,C
C1868228472,C
C839366750,C
C1294508143,C
C1949843837,C
C1132246468,C
C1126139628,C
C1981839007,C
C2105673103,C
C381386757,C
C390716812,C
C1100506284,C
C1104065774,C
C1308676481,C
C634886428,C
C361844769,C
C772883681,C
C1695141990,C
C806333119,C
C1764669069,C
C558746350,C
C913849813,C
C515711721,C
C43545501,C
C1223797124,C
C1160684690,C
C615237336,C
C1996857872,C
C960265779,C
C1356014393,C
C1712206850,C
C1608267319,C
C1149059890,C
C1301705076,C
C1899955459,C
C1837436553,C
C1063081567,C
C1852508844,C
C1699496065,C
C1471675468,C
C1909573304,C
C631767317,C
C1093183182,C
C1555882195,C
C1595104027,C
C313455237,C
C1645177442,C
C2138181723,C
C412927880,C
C90164537,C
C1522531237,C
C1147340186,C
C1867471421,C
C146036421,C
C1495450640,C
C907941485,C
C890580817,C
C980953067,C
C1651237467,C
C166679673,C
C247557474,C
C1436118706,C
C1116093088,C
C1402549847,C
C353449899,C
C1778106585,C
C748275134,C
C643919206,C
C2094963184,C
C1290569824,C
C340172632,C
C63538570,C
C258022206,C
C185770751,C
C641285611,C
C491289068,C
C805363487,C
C2122405146,C
C2016177370,C
C872969627,C
C1004068843,C
C1402144865,C
C498197079,C
C1075495848,C
C1373114632,C
C1978325769,C
C112638782,C
C647322090,C
C2039288515,C
C288991663,C
C1612729972,C
C510752777,C
C1889751415,C
C606197100,C
C1780532253,C
C1562312616,C
C1734574432,C
C1392488521,C
C1444276641,C
C1985701449,C
C1935695147,C
C326519862,C
C466016751,C
C1969168470,C
C308889454,C
C1383213814,C
C1107477281,C
C719455279,C
C1268057291,C
C1581230062,C
C315104891,C
C1160129504,C
C692543363,C
C2103265286,C
C543601110,C
C879392645,C
C2058293916,C
C1626793558,C
C872960203,C
C1862192948,C
C1089341002,C
C1579869749,C
C352486546,C
C357338686,C
C1041148299,C
C1893109609,C
C2102374682,C
C1960730830,C
C771544520,C
C159267828,C
C117773462,C
C336307904,C
C1899367925,C
C1196367936,C
C1701934694,C
C1572906420,C
C1246640836,C
C56082246,C
C1405076522,C
C864622150,C
C1751529795,C
C1781875041,C
C2115449921,C
C321662798,C
C1153823414,C
C964839785,C
C413256119,C
C1046364344,C
C1206953389,C
C907729353,C
C1270362988,C
C1092956271,C
C1724722512,C
C1233267015,C
C34710589,C
C2061405959,C
C1632763821,C
C1357888616,C
C866278032,C
C392281625,C
C94148084,C
C136906216,C
C978676782,C
C2046853066,C
C972148639,C
C1497963652,C
C892131822,C
C551643409,C
C951986519,C
C1994295670,C
C1737325183,C
C1010063091,C
C307213904,C
C501596907,C
C768827256,C
C1405500066,C
C1387416875,C
C1600031018,C
C1031839238,C
C1386348788,C
C560293680,C
C46562879,C
C1861301059,C
C1311186566,C
C2126545173,C
C2031660996,C
C78608080,C
C1411461059,C
C1971517817,C
C103279884,C
C219594713,C
C929088608,C
C1790329459,C
C2050040141,C
C324354535,C
C1120752458,C
C246366655,C
C196135268,C
C1816149555,C
C802694570,C
C1974415387,C
C1232628334,C
C1357164451,C
C1778632856,C
C1085329562,C
C1473906713,C
C992727914,C
C1513064965,C
C27701306,C
C39283390,C
C936472036,C
C1499900306,C
C1215509660,C
C1676645284,C
C571876459,C
C1523616238,C
C127671231,C
C2065360031,C
C834571675,C
C528223181,C
C1586930420,C
C711131179,C
C1265971736,C
C927649567,C
C1619286752,C
C2036470716,C
C809314999,C
C806437930,C
C392971006,C
C65129899,C
C27960358,C
C1561774472,C
C1065069374,C
C766712968,C
C1216671275,C
C1154403636,C
C273631269,C
C1514527764,C
C1210833971,C
C1993924057,C
C1746999041,C
C1817821840,C
C966152886,C
C674772056,C
C411933305,C
C1607707310,C
C231514009,C
C568175103,C
C1983049564,C
C72958099,C
C172426650,C
C364009492,C
C666284351,C
C2043269100,C
C1619755811,C
C1877543118,C
C91165547,C
C1774416966,C
C1586733239,C
C1225956631,C
C1561375633,C
C197049364,C
C1412325787,C
C1848080177,C
C927008034,C
C1161262444,C
C1944439526,C
C1065374290,C
C616881371,C
C826677509,C
C1494570595,C
C1272725918,C
C132599700,C
C2066112660,C
C505568694,C
C573619362,C
C1554022122,C
C1750249599,C
C1309775985,C
C219204628,C
C168512457,C
C1539106643,C
C2091648247,C
C1757307922,C
C366088606,C
C1465621958,C
C623145698,C
C1500009160,C
C834706204,C
C718090801,C
C1288408822,C
C1499351231,C
C1407139053,C
C637015951,C
C2132462996,C
C1904352957,C
C1615084842,C
C1584841041,C
C1930526816,C
C469202951,C
C1060139357,C
C1541357574,C
C763225876,C
C231322789,C
C59078102,C
C1839358501,C
C359146196,C
C477094811,C
C1418213529,C
C525104705,C
C376454889,C
C796414235,C
C1004854077,C
C998015371,C
C396736184,C
C2062946234,C
C1209224134,C
C1290249623,C
C1346995049,C
C835240491,C
C1876689114,C
C863602835,C
C1419487252,C
C937056998,C
C646114338,C
C1796720582,C
C347328249,C
C468322137,C
C529488328,C
C1649956184,C
C406659405,C
C774814056,C
C967077917,C
C1376272223,C
C1167167977,C
C648567722,C
C1141317489,C
C1783296124,C
C741331613,C
C1404787693,C
C108505415,C
C1416729408,C
C1221197048,C
C647787340,C
C505602061,C
C373005707,C
C1668034607,C
C1624970173,C
C166736834,C
C1777520781,C
C2000069930,C
C1621453124,C
C650187374,C
C220059815,C
C1931102615,C
C382463809,C
C1461463577,C
C1968649265,C
C295721351,C
C656154265,C
